COUNTYFP,GEOID,ALAND,population,children_under_18,county,land_sq_mi,people_per_sq_mi,child_share,log_density
041,08041002300,3129892,2139,161,El Paso,1.2084580573615067,1770.0241948572025,0.07526881720430108,3.247979202870935
041,08041006600,2516901,2427,444,El Paso,0.97178090906371,2497.4765169428597,0.18294190358467244,3.3975014133704597
041,08041006100,1355660,4069,1147,El Paso,0.523423252317556,7773.823539523184,0.2818874416318506,3.8906346782194645
041,08041006200,3609651,5354,1340,El Paso,1.3936940428657028,3841.5892120706403,0.250280164363093,3.5845109231313272
035,08035014300,492002471,781,110,Douglas,189.9632160859611,4.111322265920083,0.14084507042253522,0.613981520279581
035,08035014107,2746510,3812,1011,Douglas,1.0604334395959834,3594.75650018387,0.26521511017838406,3.555669477693018
035,08035013904,5325682,4198,812,Douglas,2.056257316177409,2041.5732831550963,0.19342544068604098,3.3099649737268853
035,08035014503,9399038,6166,1438,Douglas,3.6289888604932634,1699.0958740947742,0.23321440155692508,3.2302178852937447
041,08041006400,3260681,7445,2194,El Paso,1.2589559725816657,5913.630152397613,0.2946944257891202,3.771854159588889
041,08041005900,6259859,6930,1417,El Paso,2.4169450723849075,2867.2558922333556,0.20447330447330447,3.457466453890213
035,08035014108,3090461,4823,1123,Douglas,1.1932336631460443,4041.9577061577547,0.23284262906904415,3.6065917648748806
035,08035013909,63706425,6407,1581,Douglas,24.597188208713437,260.4769271038204,0.24676135476822225,2.4157692597841756
035,08035014115,2585072,4075,841,Douglas,0.9981018793171217,4082.7495513664608,0.20638036809815952,3.6109527397575363
035,08035014116,3976441,6184,1143,Douglas,1.5353124536158587,4027.8446158864167,0.18483182406209572,3.605072708216054
035,08035014123,5624143,4012,802,Douglas,2.1714937525330957,1847.5761191207264,0.19990029910269191,3.266602340129435
035,08035013905,3645627,5468,1267,Douglas,1.4075844541232276,3884.669217525545,0.2317117776152158,3.5893540442130094
041,08041006501,1600530,4062,1271,El Paso,0.6179680878921101,6573.154956683098,0.3129000492368291,3.817773870533702
041,08041008000,2829739,4331,757,El Paso,1.0925683361534815,3964.0541069017318,0.1747864234587855,3.5981395737063977
041,08041003708,3161771,2984,543,El Paso,1.2207666080752781,2444.3656799432974,0.18197050938337803,3.388166177389517
041,08041004008,40212609,3020,1000,El Paso,15.526175137537601,194.51023663249504,0.33112582781456956,2.2889424621965335
041,08041004901,1694879,3771,877,El Paso,0.6543964404531571,5762.561907257096,0.23256430654998675,3.7606156040524947
035,08035014146,1667194,4896,1449,Douglas,0.6437072021925229,7605.942551712637,0.2959558823529412,3.8811530408272836
014,08014030200,2583065,2134,399,Broomfield,0.9973269722848265,2139.7195296053333,0.18697282099343954,3.330356850579335
035,08035014504,6443623,5656,1271,Douglas,2.4878967494565063,2273.4062421342774,0.22471711456859972,3.356677048110801
041,08041005122,36853007,11238,3673,El Paso,14.229025553325803,789.7940697262505,0.3268375155721659,2.8975138684549258
041,08041005114,2430096,1804,480,El Paso,0.938265311187085,1922.6971076204395,0.2660753880266075,3.2839108729800555
041,08041004513,7147564,3723,1019,El Paso,2.759689889078294,1349.0646230701816,0.27370400214880475,3.1300327538013155
041,08041004708,2143714,5176,1138,El Paso,0.8276926028050376,6253.5293688243855,0.21986089644513138,3.7961251937899454
005,08005007103,165400308,1715,339,Arapahoe,63.86141595067014,26.855026223107153,0.197667638483965,1.42902558078693
005,08005080500,1264541,3854,609,Arapahoe,0.48824200972876286,7893.626363985034,0.1580176440062273,3.897276565700253
005,08005083900,1376216,3220,479,Arapahoe,0.5313599682895842,6059.922071971259,0.14875776397515528,3.782467039359277
013,08013013703,179045632,1213,150,Boulder,69.12990500176467,17.546675349388025,0.1236603462489695,1.2441948407907033
013,08013013705,161508384,1923,279,Boulder,62.358735693192045,30.83770026161614,0.14508580343213728,1.489081982837717
013,08013013706,176989300,3863,527,Boulder,68.33595077778176,56.52954200581617,0.13642246958322546,1.7522754668832121
059,08059009901,3794783,3121,230,Jefferson,1.465173907690256,2130.1225633481545,0.07369432874078821,3.328404592666165
059,08059010001,5074551,4096,445,Jefferson,1.959295094987907,2090.547774287814,0.108642578125,3.3202600967237927
041,08041005000,4962505,5445,1282,El Paso,1.9160338925262481,2841.807768244062,0.23544536271809,3.4535946970909475
013,08013012206,1021887,3319,115,Boulder,0.39455277653764986,8412.055870257669,0.0346489906598373,3.92490214847268
013,08013012107,1652360,4200,749,Boulder,0.6379797627719612,6583.280920622624,0.17833333333333334,3.8184423876263627
013,08013013214,9723387,5508,1400,Boulder,3.7542207095305935,1467.1486910764736,0.2541757443718228,3.1664741305042465
013,08013013215,10490981,5788,1654,Boulder,4.050590409853272,1428.9274931181362,0.2857636489288182,3.1550101923055967
041,08041000102,1615912,3413,711,El Paso,0.6239071112955804,5470.365601239424,0.20832112510987402,3.7380163525299412
041,08041000202,2657713,4472,882,El Paso,1.026148726219442,4358.042733703752,0.1972271914132379,3.6392914844969138
041,08041000301,1867287,3262,618,El Paso,0.720963541411779,4524.5006337108325,0.1894543225015328,3.655570653377375
041,08041000400,1716903,2486,414,El Paso,0.6628999543939992,3750.1888233988757,0.166532582461786,3.5740531351665616
041,08041000500,1331116,2016,275,El Paso,0.5139467609370608,3922.585281643373,0.13640873015873015,3.5935723944373055
035,08035013912,27302420,7399,1393,Douglas,10.5415232968,701.8909688551418,0.18826868495742669,2.846269654434424
035,08035013913,18767008,2660,595,Douglas,7.245982299123374,367.09998592210326,0.2236842105263158,2.5647843678492523
035,08035014144,9850098,6089,2021,Douglas,3.803144100148012,1601.0437258380575,0.3319100016423058,3.2044031930254007
035,08035014142,6261563,1884,332,Douglas,2.4176029904631493,779.284277622057,0.1762208067940552,2.8916959142593766
035,08035014141,7489048,5447,1428,Douglas,2.891537598603107,1883.77284204481,0.26216265834404257,3.2750285314747103
035,08035013914,21555544,3757,731,Douglas,8.322642068036366,451.41914902588405,0.19457013574660634,2.6545799777366152
035,08035013915,6104715,3177,630,Douglas,2.3570436390922276,1347.8749172516652,0.19830028328611898,3.129649591555473
035,08035014143,1653932,3153,1078,Douglas,0.6385867153652687,4937.4656943755845,0.3418966064065969,3.69350409115702
035,08035014410,10857440,12675,3718,Douglas,4.192081020788933,3023.5579744626725,0.29333333333333333,3.4805183002936535
035,08035014407,67151075,3595,762,Douglas,25.927175009309213,138.65760533915503,0.21196105702364396,2.1419436955240005
035,08035014017,9328603,3287,673,Douglas,3.601793754952798,912.6008382573468,0.20474596896866443,2.960280863352238
035,08035014409,26498317,3918,1338,Douglas,10.231057392769268,382.9516197190938,0.34150076569678406,2.5831439107409264
035,08035014206,55220164,788,149,Douglas,21.320624518233792,36.95951773486222,0.18908629441624367,1.5677262957067646
035,08035014408,93050132,2553,435,Douglas,35.92685682252032,71.06104529577668,0.17038777908343125,1.8516315915975656
