countyfips,placefips,municipality,year,population
071,760,Aguilar,1980,624.0
071,760,Aguilar,1981,632.0
071,760,Aguilar,1982,637.0
071,760,Aguilar,1983,622.0
071,760,Aguilar,1984,591.0
071,760,Aguilar,1985,591.0
071,760,Aguilar,1986,574.0
071,760,Aguilar,1987,575.0
071,760,Aguilar,1988,558.0
071,760,Aguilar,1989,537.0
071,760,Aguilar,1990,520.0
071,760,Aguilar,1991,521.0
071,760,Aguilar,1992,528.0
071,760,Aguilar,1993,558.0
071,760,Aguilar,1994,592.0
071,760,Aguilar,1995,594.0
071,760,Aguilar,1996,597.0
071,760,Aguilar,1997,593.0
071,760,Aguilar,1998,589.0
071,760,Aguilar,1999,592.0
071,760,Aguilar,2000,595.0
071,760,Aguilar,2001,590.0
071,760,Aguilar,2002,589.0
071,760,Aguilar,2003,588.0
071,760,Aguilar,2004,568.0
071,760,Aguilar,2005,559.0
071,760,Aguilar,2006,554.0
071,760,Aguilar,2007,550.0
071,760,Aguilar,2008,541.0
071,760,Aguilar,2009,538.0
071,760,Aguilar,2010,534.0
071,760,Aguilar,2011,517.0
071,760,Aguilar,2012,509.0
071,760,Aguilar,2013,498.0
071,760,Aguilar,2014,492.0
071,760,Aguilar,2015,487.0
071,760,Aguilar,2016,482.0
071,760,Aguilar,2017,477.0
071,760,Aguilar,2018,471.0
071,760,Aguilar,2019,465.0
071,760,Aguilar,2020,457.0
071,760,Aguilar,2021,458.0
071,760,Aguilar,2022,455.0
071,760,Aguilar,2023,454.0
071,760,Aguilar,2024,450.0
121,925,Akron,1980,1716.0
121,925,Akron,1981,1723.0
121,925,Akron,1982,1825.0
121,925,Akron,1983,1868.0
121,925,Akron,1984,1839.0
121,925,Akron,1985,1803.0
121,925,Akron,1986,1739.0
121,925,Akron,1987,1734.0
121,925,Akron,1988,1715.0
121,925,Akron,1989,1644.0
121,925,Akron,1990,1599.0
121,925,Akron,1991,1601.0
121,925,Akron,1992,1643.0
121,925,Akron,1993,1739.0
121,925,Akron,1994,1765.0
121,925,Akron,1995,1778.0
121,925,Akron,1996,1778.0
121,925,Akron,1997,1788.0
121,925,Akron,1998,1778.0
121,925,Akron,1999,1740.0
121,925,Akron,2000,1729.0
121,925,Akron,2001,1714.0
121,925,Akron,2002,1898.0
121,925,Akron,2003,1843.0
121,925,Akron,2004,1843.0
121,925,Akron,2005,1815.0
121,925,Akron,2006,1803.0
121,925,Akron,2007,1778.0
121,925,Akron,2008,1730.0
121,925,Akron,2009,1718.0
121,925,Akron,2010,1651.0
121,925,Akron,2011,1688.0
121,925,Akron,2012,1627.0
121,925,Akron,2013,1670.0
121,925,Akron,2014,1660.0
121,925,Akron,2015,1711.0
121,925,Akron,2016,1755.0
121,925,Akron,2017,1836.0
121,925,Akron,2018,1788.0
121,925,Akron,2019,1776.0
121,925,Akron,2020,1752.0
121,925,Akron,2021,1766.0
121,925,Akron,2022,1755.0
121,925,Akron,2023,1759.0
121,925,Akron,2024,1731.0
003,1090,Alamosa,1980,6830.0
003,1090,Alamosa,1981,7012.0
003,1090,Alamosa,1982,7000.0
003,1090,Alamosa,1983,7160.0
003,1090,Alamosa,1984,7260.0
003,1090,Alamosa,1985,7257.0
003,1090,Alamosa,1986,7426.0
003,1090,Alamosa,1987,7492.0
003,1090,Alamosa,1988,7628.0
003,1090,Alamosa,1989,7592.0
003,1090,Alamosa,1990,7579.0
003,1090,Alamosa,1991,7528.0
003,1090,Alamosa,1992,7453.0
003,1090,Alamosa,1993,7428.0
003,1090,Alamosa,1994,7520.0
003,1090,Alamosa,1995,7642.0
003,1090,Alamosa,1996,7706.0
003,1090,Alamosa,1997,7773.0
003,1090,Alamosa,1998,7799.0
003,1090,Alamosa,1999,7894.0
003,1090,Alamosa,2000,8489.0
003,1090,Alamosa,2001,8596.0
003,1090,Alamosa,2002,8648.0
003,1090,Alamosa,2003,8751.0
003,1090,Alamosa,2004,8812.0
003,1090,Alamosa,2005,8830.0
003,1090,Alamosa,2006,8826.0
003,1090,Alamosa,2007,8808.0
003,1090,Alamosa,2008,8828.0
003,1090,Alamosa,2009,8823.0
003,1090,Alamosa,2010,8796.0
003,1090,Alamosa,2011,8866.0
003,1090,Alamosa,2012,8947.0
003,1090,Alamosa,2013,9049.0
003,1090,Alamosa,2014,9169.0
003,1090,Alamosa,2015,9259.0
003,1090,Alamosa,2016,9302.0
003,1090,Alamosa,2017,9455.0
003,1090,Alamosa,2018,9583.0
003,1090,Alamosa,2019,9677.0
003,1090,Alamosa,2020,9824.0
003,1090,Alamosa,2021,9911.0
003,1090,Alamosa,2022,9872.0
003,1090,Alamosa,2023,9885.0
003,1090,Alamosa,2024,9888.0
093,1530,Alma,1980,132.0
093,1530,Alma,1981,144.0
093,1530,Alma,1982,148.0
093,1530,Alma,1983,143.0
093,1530,Alma,1984,125.0
093,1530,Alma,1985,114.0
093,1530,Alma,1986,113.0
093,1530,Alma,1987,111.0
093,1530,Alma,1988,130.0
093,1530,Alma,1989,148.0
093,1530,Alma,1990,148.0
093,1530,Alma,1991,151.0
093,1530,Alma,1992,154.0
093,1530,Alma,1993,149.0
093,1530,Alma,1994,153.0
093,1530,Alma,1995,156.0
093,1530,Alma,1996,162.0
093,1530,Alma,1997,169.0
