level,school_year,attendance_area,students_living_in_area,oe_out_of_area,placed_out_of_area,staying_in_neighborhood_school,pct_staying_in_neighborhood_school,year
elementary,2016-2017,Bear Creek*,253.0,30.0,1.0,222.0,0.8774703557312253,2017
elementary,2016-2017,Columbine,687.0,270.0,18.0,399.0,0.5807860262008734,2017
elementary,2016-2017,Creekside*,514.0,290.0,4.0,220.0,0.4280155642023346,2017
elementary,2016-2017,Crest View,904.0,349.0,17.0,538.0,0.5951327433628318,2017
elementary,2016-2017,Douglass,451.0,82.0,17.0,352.0,0.7804878048780488,2017
elementary,2016-2017,Eisenhower,495.0,173.0,4.0,318.0,0.6424242424242425,2017
elementary,2016-2017,Flatirons,258.0,77.0,4.0,177.0,0.686046511627907,2017
elementary,2016-2017,Foothill,628.0,137.0,10.0,481.0,0.7659235668789809,2017
elementary,2016-2017,Heatherwood,397.0,75.0,2.0,320.0,0.8060453400503779,2017
elementary,2016-2017,Mesa*,237.0,47.0,3.0,187.0,0.7890295358649789,2017
elementary,2016-2017,Whittier,497.0,113.0,8.0,376.0,0.7565392354124748,2017
elementary,2016-2017,Creekside,48.0,5.0,0.0,43.0,0.8958333333333334,2017
elementary,2016-2017,Optional Bear Creek/Mesa,203.0,37.0,3.0,163.0,0.8029556650246306,2017
elementary,2016-2017,Aspen Creek K-8,427.0,92.0,18.0,317.0,0.7423887587822015,2017
elementary,2016-2017,Birch,362.0,104.0,7.0,251.0,0.6933701657458563,2017
elementary,2016-2017,Emerald,383.0,120.0,10.0,253.0,0.660574412532637,2017
elementary,2016-2017,Kohl,344.0,60.0,8.0,276.0,0.8023255813953488,2017
elementary,2016-2017,Lafayette,945.0,384.0,12.0,549.0,0.580952380952381,2017
elementary,2016-2017,Ryan,555.0,220.0,10.0,325.0,0.5855855855855856,2017
elementary,2016-2017,Sanchez,648.0,335.0,27.0,286.0,0.44135802469135804,2017
elementary,2016-2017,Coal Creek,447.0,78.0,4.0,365.0,0.8165548098434005,2017
elementary,2016-2017,Fireside,398.0,56.0,4.0,338.0,0.8492462311557789,2017
elementary,2016-2017,Louisville,635.0,107.0,8.0,520.0,0.8188976377952756,2017
elementary,2016-2017,Monarch K-8,333.0,77.0,14.0,242.0,0.7267267267267268,2017
elementary,2016-2017,Eldorado K-8,441.0,73.0,0.0,368.0,0.8344671201814059,2017
elementary,2016-2017,Superior,482.0,57.0,12.0,413.0,0.8568464730290456,2017
elementary,2016-2017,Gold Hill,9.0,0.0,0.0,9.0,1.0,2017
elementary,2016-2017,Jamestown,11.0,5.0,0.0,6.0,0.5454545454545454,2017
elementary,2016-2017,Nederland,304.0,48.0,0.0,256.0,0.8421052631578947,2017
elementary,2017-2018,Bear Creek*,254.0,29.0,0.0,225.0,0.8858267716535433,2018
elementary,2017-2018,Columbine,651.0,232.0,19.0,400.0,0.6144393241167435,2018
elementary,2017-2018,Creekside*,500.0,277.0,8.0,215.0,0.43,2018
elementary,2017-2018,Crest View,885.0,339.0,21.0,525.0,0.5932203389830508,2018
elementary,2017-2018,Douglass,431.0,82.0,15.0,334.0,0.7749419953596288,2018
elementary,2017-2018,Eisenhower,462.0,165.0,5.0,292.0,0.6320346320346321,2018
elementary,2017-2018,Flatirons,275.0,94.0,6.0,175.0,0.6363636363636364,2018
elementary,2017-2018,Foothill,598.0,150.0,10.0,438.0,0.7324414715719063,2018
elementary,2017-2018,Heatherwood,380.0,71.0,4.0,305.0,0.8026315789473685,2018
elementary,2017-2018,Mesa*,227.0,41.0,2.0,184.0,0.8105726872246696,2018
elementary,2017-2018,Whittier,438.0,107.0,6.0,325.0,0.7420091324200914,2018
elementary,2017-2018,Creekside,44.0,5.0,0.0,39.0,0.8863636363636364,2018
elementary,2017-2018,Optional Bear Creek/Mesa,208.0,32.0,7.0,169.0,0.8125,2018
elementary,2017-2018,Aspen Creek K-8,420.0,85.0,14.0,321.0,0.7642857142857142,2018
elementary,2017-2018,Birch,370.0,106.0,7.0,257.0,0.6945945945945946,2018
elementary,2017-2018,Emerald,365.0,94.0,10.0,261.0,0.7150684931506849,2018
elementary,2017-2018,Kohl,332.0,61.0,16.0,255.0,0.7680722891566265,2018
elementary,2017-2018,Lafayette,651.0,277.0,11.0,363.0,0.5576036866359447,2018
elementary,2017-2018,Ryan,605.0,223.0,20.0,362.0,0.5983471074380166,2018
elementary,2017-2018,Sanchez,686.0,354.0,32.0,300.0,0.43731778425655976,2018
elementary,2017-2018,Meadowlark,372.0,102.0,9.0,261.0,0.7016129032258065,2018
elementary,2017-2018,Coal Creek,470.0,94.0,9.0,367.0,0.7808510638297872,2018
elementary,2017-2018,Fireside,379.0,58.0,0.0,321.0,0.8469656992084432,2018
elementary,2017-2018,Louisville,628.0,113.0,9.0,506.0,0.8057324840764332,2018
elementary,2017-2018,Monarch K-8,333.0,67.0,13.0,253.0,0.7597597597597597,2018
elementary,2017-2018,Eldorado K-8,414.0,74.0,0.0,340.0,0.821256038647343,2018
elementary,2017-2018,Superior,468.0,53.0,10.0,405.0,0.8653846153846154,2018
elementary,2017-2018,Gold Hill,7.0,3.0,0.0,4.0,0.5714285714285714,2018
elementary,2017-2018,Jamestown,12.0,5.0,0.0,7.0,0.5833333333333334,2018
elementary,2017-2018,Nederland,284.0,36.0,0.0,248.0,0.8732394366197183,2018
elementary,2018-2019,Bear Creek*,242.0,27.0,0.0,215.0,0.8884297520661157,2019
elementary,2018-2019,Columbine,618.0,225.0,16.0,377.0,0.610032362459547,2019
elementary,2018-2019,Creekside*,499.0,269.0,10.0,220.0,0.4408817635270541,2019
elementary,2018-2019,Crest View,882.0,352.0,26.0,504.0,0.5714285714285714,2019
elementary,2018-2019,Douglass,402.0,82.0,15.0,305.0,0.7587064676616916,2019
elementary,2018-2019,Eisenhower,489.0,170.0,4.0,315.0,0.6441717791411042,2019
elementary,2018-2019,Flatirons,233.0,78.0,1.0,154.0,0.6609442060085837,2019
elementary,2018-2019,Foothill,574.0,146.0,12.0,416.0,0.7247386759581882,2019
elementary,2018-2019,Heatherwood,343.0,74.0,5.0,264.0,0.7696793002915452,2019
elementary,2018-2019,Mesa*,221.0,39.0,4.0,178.0,0.8054298642533937,2019
elementary,2018-2019,Whittier,458.0,118.0,8.0,332.0,0.7248908296943232,2019
elementary,2018-2019,Creekside,41.0,1.0,0.0,40.0,0.975609756097561,2019
elementary,2018-2019,Optional Bear Creek/Mesa,202.0,36.0,4.0,162.0,0.801980198019802,2019
elementary,2018-2019,Aspen Creek K-8,391.0,81.0,11.0,299.0,0.7647058823529411,2019
elementary,2018-2019,Birch,347.0,91.0,7.0,249.0,0.7175792507204611,2019
elementary,2018-2019,Emerald,382.0,86.0,12.0,284.0,0.743455497382199,2019
elementary,2018-2019,Kohl,329.0,58.0,12.0,259.0,0.7872340425531915,2019
elementary,2018-2019,Lafayette,622.0,264.0,13.0,345.0,0.5546623794212219,2019
elementary,2018-2019,Ryan,647.0,224.0,21.0,402.0,0.6213292117465224,2019
elementary,2018-2019,Sanchez,640.0,319.0,36.0,285.0,0.4453125,2019
elementary,2018-2019,Meadowlark,477.0,94.0,9.0,374.0,0.7840670859538784,2019
elementary,2018-2019,Coal Creek,470.0,95.0,8.0,367.0,0.7808510638297872,2019
elementary,2018-2019,Fireside,388.0,57.0,3.0,328.0,0.845360824742268,2019
elementary,2018-2019,Louisville,650.0,120.0,9.0,521.0,0.8015384615384615,2019
elementary,2018-2019,Monarch K-8,302.0,70.0,8.0,224.0,0.7417218543046358,2019
elementary,2018-2019,Eldorado K-8,390.0,56.0,2.0,332.0,0.8512820512820513,2019
elementary,2018-2019,Superior,452.0,54.0,7.0,391.0,0.8650442477876106,2019
elementary,2018-2019,Gold Hill,6.0,2.0,0.0,4.0,0.6666666666666666,2019
elementary,2018-2019,Jamestown,11.0,4.0,0.0,7.0,0.6363636363636364,2019
elementary,2018-2019,Nederland,279.0,36.0,0.0,243.0,0.8709677419354839,2019
elementary,2019-2020,Bear Creek*,226.0,27.0,0.0,199.0,0.8805309734513275,2020
elementary,2019-2020,Columbine,621.0,223.0,9.0,389.0,0.6264090177133655,2020
elementary,2019-2020,Creekside*,526.0,247.0,5.0,274.0,0.5209125475285171,2020
elementary,2019-2020,Crest View,836.0,341.0,17.0,478.0,0.5717703349282297,2020
elementary,2019-2020,Douglass,367.0,78.0,9.0,280.0,0.7629427792915532,2020
elementary,2019-2020,Eisenhower,483.0,155.0,3.0,325.0,0.6728778467908902,2020
elementary,2019-2020,Flatirons,233.0,82.0,1.0,150.0,0.6437768240343348,2020
elementary,2019-2020,Foothill,555.0,134.0,7.0,414.0,0.745945945945946,2020
elementary,2019-2020,Heatherwood,313.0,71.0,1.0,241.0,0.7699680511182109,2020
elementary,2019-2020,Mesa*,221.0,48.0,1.0,172.0,0.7782805429864253,2020
elementary,2019-2020,Whittier,419.0,118.0,9.0,292.0,0.6968973747016707,2020
elementary,2019-2020,Optional Bear Creek/Creekside,43.0,3.0,0.0,40.0,0.9302325581395349,2020
elementary,2019-2020,Optional Bear Creek/Mesa,198.0,38.0,2.0,158.0,0.797979797979798,2020
elementary,2019-2020,Aspen Creek K-8,370.0,87.0,10.0,273.0,0.7378378378378379,2020
elementary,2019-2020,Birch,342.0,98.0,6.0,238.0,0.695906432748538,2020
elementary,2019-2020,Emerald,372.0,85.0,11.0,276.0,0.7419354838709677,2020
elementary,2019-2020,Kohl,317.0,57.0,20.0,240.0,0.7570977917981072,2020
elementary,2019-2020,Lafayette,671.0,269.0,11.0,391.0,0.5827123695976155,2020
elementary,2019-2020,Ryan,720.0,254.0,19.0,447.0,0.6208333333333333,2020
elementary,2019-2020,Sanchez,598.0,325.0,15.0,258.0,0.431438127090301,2020
elementary,2019-2020,Meadowlark,532.0,107.0,10.0,415.0,0.7800751879699248,2020
