school_rows_exact,school_rows,oe_out_total,oe_in_total,oe_gap,oe_balances,pct_checked,pct_agree,pct_worst,level,school_year,areas,areas_exact,schools,rows,columns,headings,row_tolerance,year
36,36,3501.0,3502.0,1.0,False,29,29,0.004867256637168138,elementary,2016-2017,29,29,36,43,38,44,5.0,2017
37,37,3429.0,3430.0,1.0,False,30,29,0.7016129032258065,elementary,2017-2018,30,30,37,41,39,42,5.0,2018
36,36,3328.0,3328.0,0.0,True,30,29,0.7840670859538784,elementary,2018-2019,30,30,36,40,39,43,5.0,2019
36,37,3349.0,3350.0,1.0,False,30,30,0.004285714285714337,elementary,2019-2020,30,30,37,41,39,42,5.0,2020
37,37,3370.0,3372.0,2.0,False,30,30,0.004919786096256762,elementary,2020-2021,30,30,37,41,39,42,5.0,2021
37,37,3131.0,3135.0,4.0,False,30,30,0.0047863247863247915,elementary,2021-2022,30,30,37,41,39,42,5.0,2022
37,37,3100.0,3104.0,4.0,False,30,29,0.0050000000000000044,elementary,2022-2023,30,30,37,41,39,43,5.0,2023
37,37,3155.0,3160.0,5.0,False,30,30,0.004979919678714917,elementary,2023-2024,30,30,37,42,39,43,5.0,2024
37,37,3265.0,3272.0,7.0,False,30,29,0.0050000000000000044,elementary,2024-2025,30,30,37,41,39,42,5.0,2025
37,37,3325.0,3330.0,5.0,False,30,30,0.004871794871794899,elementary,2025-2026,30,30,37,41,39,42,5.0,2026
13,13,2383.0,2383.0,0.0,True,7,6,0.005164835164835235,high,2016-2017,7,6,13,17,16,21,5.0,2017
13,13,2334.0,2334.0,0.0,True,7,7,0.004729241877256318,high,2017-2018,7,7,13,17,16,21,5.0,2018
13,13,2411.0,2411.0,0.0,True,7,7,0.004037538192928847,high,2018-2019,7,7,13,17,16,21,5.0,2019
13,13,2326.0,2326.0,0.0,True,7,7,0.004615384615384577,high,2019-2020,7,7,13,19,16,21,5.0,2020
13,13,2370.0,2370.0,0.0,True,7,7,0.004940530649588326,high,2020-2021,7,7,13,17,16,21,5.0,2021
13,13,2261.0,2261.0,0.0,True,7,7,0.0035369774919613572,high,2021-2022,7,7,13,17,16,21,5.0,2022
13,13,2223.0,2223.0,0.0,True,7,7,0.003838080959520318,high,2022-2023,7,7,13,17,16,21,5.0,2023
13,13,2328.0,2328.0,0.0,True,7,7,0.00492194674012858,high,2023-2024,7,7,13,17,16,21,5.0,2024
13,13,2310.0,2310.0,0.0,True,7,7,0.00439061317183953,high,2024-2025,7,7,13,17,16,21,5.0,2025
13,13,2306.0,2306.0,0.0,True,7,7,0.0034361233480176834,high,2025-2026,7,7,13,17,16,21,5.0,2026
18,18,1872.0,1872.0,0.0,True,12,12,0.004705882352941115,middle,2016-2017,12,12,18,22,21,26,5.0,2017
19,19,1949.0,1949.0,0.0,True,13,13,0.004882629107981207,middle,2017-2018,13,13,19,23,22,27,5.0,2018
19,19,1854.0,1854.0,0.0,True,12,12,0.004697406340057664,middle,2018-2019,13,13,19,23,22,27,5.0,2019
19,19,1844.0,1844.0,0.0,True,13,13,0.0043801652892562215,middle,2019-2020,13,13,19,23,22,27,5.0,2020
19,19,2015.0,2015.0,0.0,True,13,13,0.0043536711478801005,middle,2020-2021,13,13,19,23,22,27,5.0,2021
18,18,1771.0,1771.0,0.0,True,13,12,0.0050000000000000044,middle,2021-2022,13,13,18,22,22,27,5.0,2022
19,19,1787.0,1787.0,0.0,True,13,13,0.004551422319474863,middle,2022-2023,13,13,19,23,22,27,5.0,2023
19,19,1968.0,1968.0,0.0,True,13,13,0.0040000000000000036,middle,2023-2024,13,13,19,23,22,27,5.0,2024
19,19,2091.0,2091.0,0.0,True,13,13,0.0049157581764122105,middle,2024-2025,13,13,19,23,22,27,5.0,2025
19,19,2208.0,2208.0,0.0,True,13,13,0.0045259938837920455,middle,2025-2026,13,13,19,23,22,27,5.0,2026
