level,school,attendance_area,students
elementary,Peak to Peak,Creekside*,1.0
elementary,Peak to Peak,Crest View,3.0
elementary,Peak to Peak,Douglass,9.0
elementary,Peak to Peak,Heatherwood,2.0
elementary,Peak to Peak,Aspen Creek K-8,17.0
elementary,Peak to Peak,Birch,10.0
elementary,Peak to Peak,Emerald,2.0
elementary,Peak to Peak,Kohl,9.0
elementary,Peak to Peak,Lafayette,55.0
elementary,Peak to Peak,Ryan,68.0
elementary,Peak to Peak,Sanchez,84.0
elementary,Peak to Peak,Meadowlark,83.0
elementary,Peak to Peak,Coal Creek,18.0
elementary,Peak to Peak,Fireside,5.0
elementary,Peak to Peak,Louisville,12.0
elementary,Peak to Peak,Monarch K-8,10.0
elementary,Peak to Peak,Eldorado K-8,2.0
elementary,Peak to Peak,Superior,8.0
elementary,Horizons,Columbine,17.0
elementary,Horizons,Creekside*,15.0
elementary,Horizons,Crest View,16.0
elementary,Horizons,Douglass,15.0
elementary,Horizons,Eisenhower,49.0
elementary,Horizons,Flatirons,4.0
elementary,Horizons,Foothill,6.0
elementary,Horizons,Heatherwood,9.0
elementary,Horizons,Mesa*,3.0
elementary,Horizons,Whittier,9.0
elementary,Horizons,Optional Bear Creek/CreeksideOptional CBreeaerk Csirdeeek/,1.0
elementary,Horizons,Aspen Creek K-8,1.0
elementary,Horizons,Birch,1.0
elementary,Horizons,Emerald,1.0
elementary,Horizons,Kohl,1.0
elementary,Horizons,Lafayette,9.0
elementary,Horizons,Ryan,8.0
elementary,Horizons,Sanchez,9.0
elementary,Horizons,Meadowlark,4.0
elementary,Horizons,Coal Creek,13.0
elementary,Horizons,Fireside,8.0
elementary,Horizons,Louisville,5.0
elementary,Horizons,Monarch K-8,2.0
elementary,Horizons,Eldorado K-8,2.0
elementary,Horizons,Jamestown,2.0
elementary,Horizons,Nederland,2.0
elementary,Pioneer,Creekside*,1.0
elementary,Pioneer,Crest View,1.0
elementary,Pioneer,Douglass,6.0
elementary,Pioneer,Eisenhower,1.0
elementary,Pioneer,Aspen Creek K-8,4.0
elementary,Pioneer,Birch,2.0
elementary,Pioneer,Emerald,3.0
elementary,Pioneer,Kohl,12.0
elementary,Pioneer,Lafayette,55.0
elementary,Pioneer,Ryan,44.0
elementary,Pioneer,Sanchez,114.0
elementary,Pioneer,Meadowlark,30.0
elementary,Pioneer,Coal Creek,6.0
elementary,Pioneer,Fireside,2.0
elementary,Pioneer,Louisville,6.0
elementary,Pioneer,Monarch K-8,2.0
elementary,Uni-Hill Int.,Bear Creek*,5.0
elementary,Uni-Hill Int.,Columbine,58.0
elementary,Uni-Hill Int.,Creekside*,41.0
elementary,Uni-Hill Int.,Crest View,98.0
elementary,Uni-Hill Int.,Douglass,9.0
elementary,Uni-Hill Int.,Eisenhower,13.0
elementary,Uni-Hill Int.,Flatirons,15.0
elementary,Uni-Hill Int.,Foothill,20.0
elementary,Uni-Hill Int.,Heatherwood,3.0
elementary,Uni-Hill Int.,Mesa*,5.0
elementary,Uni-Hill Int.,Whittier,42.0
elementary,Uni-Hill Int.,Optional Bear Creek/CreeksideOptional CBreeaerk Csirdeeek/,1.0
elementary,Uni-Hill Int.,Optional Bear Creek/Mesa,2.0
elementary,Uni-Hill Int.,Emerald,2.0
elementary,Uni-Hill Int.,Kohl,3.0
elementary,Uni-Hill Int.,Lafayette,5.0
elementary,Uni-Hill Int.,Ryan,1.0
elementary,Uni-Hill Int.,Sanchez,1.0
elementary,Uni-Hill Int.,Coal Creek,2.0
elementary,Uni-Hill Int.,Fireside,2.0
elementary,Uni-Hill Int.,Louisville,4.0
elementary,Uni-Hill Int.,Monarch K-8,2.0
elementary,Uni-Hill Int.,Gold Hill,1.0
elementary,Uni-Hill Int.,Nederland,1.0
elementary,Comm. Montessori,Columbine,13.0
elementary,Comm. Montessori,Creekside*,24.0
elementary,Comm. Montessori,Crest View,12.0
elementary,Comm. Montessori,Douglass,6.0
elementary,Comm. Montessori,Eisenhower,9.0
elementary,Comm. Montessori,Flatirons,4.0
elementary,Comm. Montessori,Foothill,2.0
elementary,Comm. Montessori,Mesa*,8.0
elementary,Comm. Montessori,Whittier,5.0
elementary,Comm. Montessori,Optional Bear Creek/CreeksideOptional CBreeaerk Csirdeeek/,4.0
elementary,Comm. Montessori,Optional Bear Creek/Mesa,15.0
elementary,Comm. Montessori,Aspen Creek K-8,2.0
elementary,Comm. Montessori,Emerald,1.0
elementary,Comm. Montessori,Kohl,1.0
elementary,Comm. Montessori,Lafayette,7.0
elementary,Comm. Montessori,Ryan,7.0
elementary,Comm. Montessori,Sanchez,7.0
elementary,Comm. Montessori,Meadowlark,4.0
elementary,Comm. Montessori,Coal Creek,11.0
elementary,Comm. Montessori,Fireside,1.0
elementary,Comm. Montessori,Louisville,7.0
elementary,Comm. Montessori,Monarch K-8,12.0
elementary,Comm. Montessori,Eldorado K-8,3.0
elementary,High Peaks,Bear Creek*,5.0
elementary,High Peaks,Columbine,10.0
elementary,High Peaks,Creekside*,33.0
elementary,High Peaks,Crest View,43.0
elementary,High Peaks,Douglass,8.0
elementary,High Peaks,Eisenhower,25.0
elementary,High Peaks,Flatirons,10.0
elementary,High Peaks,Foothill,20.0
elementary,High Peaks,Heatherwood,9.0
elementary,High Peaks,Mesa*,3.0
elementary,High Peaks,Whittier,12.0
elementary,High Peaks,Optional Bear Creek/CreeksideOptional CBreeaerk Csirdeeek/,1.0
elementary,High Peaks,Optional Bear Creek/Mesa,3.0
elementary,High Peaks,Aspen Creek K-8,2.0
elementary,High Peaks,Kohl,1.0
elementary,High Peaks,Lafayette,10.0
elementary,High Peaks,Ryan,4.0
elementary,High Peaks,Sanchez,5.0
elementary,High Peaks,Meadowlark,12.0
elementary,High Peaks,Coal Creek,5.0
elementary,High Peaks,Fireside,2.0
elementary,High Peaks,Louisville,6.0
elementary,High Peaks,Monarch K-8,4.0
elementary,High Peaks,Eldorado K-8,7.0
elementary,High Peaks,Superior,9.0
