level,school,attending_neighborhood_school,oe_in_from_district,oe_in_from_outside,placements_into_school,unmatched_addresses,total_within_bvsd,total_enrollment,pct_from_neighborhood_area
elementary,Peak to Peak,,398.0,52.0,0.0,0.0,398.0,450.0,
elementary,Horizons,,212.0,22.0,11.0,0.0,223.0,245.0,
elementary,Pioneer,,289.0,64.0,18.0,0.0,307.0,371.0,
elementary,Uni-Hill Int.,,336.0,21.0,9.0,2.0,347.0,368.0,
elementary,Comm. Montessori,,165.0,25.0,1.0,2.0,168.0,193.0,
elementary,High Peaks,,252.0,28.0,1.0,2.0,255.0,283.0,
elementary,Halcyon,,1.0,0.0,3.0,0.0,4.0,4.0,
elementary,Boulder Universal,,15.0,24.0,0.0,0.0,15.0,39.0,
elementary,BCSIS,,231.0,17.0,4.0,1.0,236.0,253.0,
elementary,Nederland Elem.,163.0,2.0,1.0,0.0,0.0,165.0,166.0,0.98
elementary,Jamestown,6.0,11.0,0.0,0.0,0.0,17.0,17.0,0.35
elementary,Gold Hill,7.0,4.0,0.0,0.0,0.0,11.0,11.0,0.64
elementary,Superior,313.0,97.0,10.0,13.0,0.0,423.0,433.0,0.72
elementary,Eldorado K-8,169.0,47.0,23.0,11.0,2.0,229.0,252.0,0.67
elementary,Monarch K-8,149.0,65.0,31.0,17.0,2.0,233.0,264.0,0.56
elementary,Louisville Elem.,317.0,46.0,5.0,14.0,0.0,377.0,382.0,0.83
elementary,Fireside,259.0,117.0,16.0,12.0,1.0,389.0,405.0,0.64
elementary,Coal Creek,223.0,30.0,8.0,8.0,0.0,261.0,269.0,0.83
elementary,Meadowlark,406.0,30.0,26.0,9.0,0.0,445.0,471.0,0.86
elementary,Sanchez,225.0,39.0,9.0,3.0,0.0,267.0,276.0,0.82
elementary,Ryan,342.0,30.0,13.0,8.0,0.0,380.0,393.0,0.87
elementary,Lafayette Elem.,331.0,103.0,7.0,9.0,0.0,443.0,450.0,0.74
elementary,Kohl,187.0,28.0,31.0,9.0,1.0,225.0,256.0,0.73
elementary,Emerald,243.0,42.0,74.0,6.0,0.0,291.0,365.0,0.67
elementary,Birch,183.0,23.0,45.0,7.0,1.0,214.0,259.0,0.71
elementary,Aspen Creek K-8,244.0,87.0,131.0,10.0,0.0,341.0,472.0,0.52
elementary,Whittier,152.0,94.0,6.0,5.0,0.0,251.0,257.0,0.59
elementary,Mesa *,156.0,48.0,10.0,10.0,0.0,214.0,224.0,0.7
elementary,Heatherwood,190.0,17.0,11.0,7.0,0.0,214.0,225.0,0.84
elementary,Foothill,304.0,115.0,4.0,11.0,0.0,430.0,434.0,0.7
elementary,Flatirons,116.0,24.0,4.0,7.0,0.0,147.0,151.0,0.77
elementary,Eisenhower,206.0,45.0,2.0,12.0,0.0,263.0,265.0,0.78
elementary,Douglass,164.0,95.0,8.0,13.0,1.0,273.0,281.0,0.58
elementary,Crest View,303.0,16.0,6.0,5.0,0.0,324.0,330.0,0.92
elementary,Creekside *,240.0,37.0,1.0,10.0,0.0,287.0,288.0,0.83
elementary,Columbine,221.0,69.0,17.0,4.0,2.0,296.0,313.0,0.71
elementary,Bear Creek *,216.0,70.0,13.0,13.0,0.0,299.0,312.0,0.69
middle,Peak to Peak,,332.0,71.0,1.0,,333.0,404.0,
middle,Justice High,,2.0,2.0,2.0,,4.0,6.0,
middle,Summit,,358.0,3.0,3.0,1.0,362.0,365.0,
middle,Horizons,,115.0,6.0,2.0,,117.0,123.0,
middle,Halcyon,,4.0,,,,4.0,4.0,
middle,Boulder Universal,,19.0,13.0,1.0,,20.0,33.0,
middle,Nederland,86.0,,5.0,,,86.0,91.0,0.95
middle,Eldorado K-8,136.0,17.0,9.0,5.0,,158.0,167.0,0.81
middle,Monarch K-8,169.0,206.0,35.0,12.0,1.0,388.0,423.0,0.4
middle,Louisville Middle,399.0,208.0,12.0,6.0,,613.0,625.0,0.64
middle,Meadowlark,208.0,17.0,10.0,3.0,,228.0,238.0,0.87
middle,Angevine,551.0,18.0,12.0,4.0,3.0,576.0,588.0,0.94
middle,Broomfield Heights,250.0,69.0,151.0,10.0,1.0,330.0,481.0,0.52
middle,Aspen Creek K-8,235.0,35.0,127.0,12.0,,282.0,409.0,0.57
middle,Southern Hills,317.0,219.0,14.0,7.0,1.0,544.0,558.0,0.57
middle,Platt,266.0,201.0,12.0,8.0,,475.0,487.0,0.55
middle,Centennial,432.0,119.0,7.0,1.0,,552.0,559.0,0.77
middle,Casey,254.0,54.0,9.0,1.0,1.0,310.0,319.0,0.8
middle,Manhattan,178.0,215.0,34.0,25.0,,418.0,452.0,0.39
high,Justice High,,46.0,32.0,11.0,,57.0,89.0,
high,Peak-to-Peak,,476.0,112.0,4.0,2.0,482.0,594.0,
high,Boulder Prep,,47.0,27.0,13.0,1.0,61.0,88.0,
high,New Vista,,265.0,42.0,4.0,,269.0,311.0,
high,Halcyon,,9.0,,2.0,,11.0,11.0,
high,Boulder Universal,,92.0,41.0,18.0,1.0,111.0,152.0,
high,Arapahoe Ridge,,121.0,29.0,26.0,1.0,148.0,177.0,
high,Nederland,93.0,1.0,7.0,,,94.0,101.0,0.92
high,Monarch,1188.0,161.0,101.0,7.0,10.0,1366.0,1467.0,0.81
high,Centaurus,1198.0,268.0,65.0,17.0,8.0,1491.0,1556.0,0.77
high,Broomfield,797.0,22.0,849.0,1.0,,820.0,1669.0,0.48
high,Fairview,1153.0,614.0,75.0,13.0,4.0,1784.0,1859.0,0.62
high,Boulder,1547.0,184.0,28.0,11.0,4.0,1746.0,1774.0,0.87
