name,value,what_it_is,slide,source
classes_per_grade_2025_26,2.0,"average classes per grade, elementary",5.0,"BOE work session, 2026-09-15, slide 5"
classes_per_grade_2030_31,2.5,average classes per grade with the proposal,5.0,"BOE work session, 2026-09-15, slide 5"
schools_below_two_2025_26,14.0,elementary schools below two classes per grade,5.0,"BOE work session, 2026-09-15, slide 5"
schools_below_two_2030_31,6.0,"the same, in 2030-31 with the proposal",5.0,"BOE work session, 2026-09-15, slide 5"
utilization_2025_26,0.68,district building utilisation,5.0,"BOE work session, 2026-09-15, slide 5"
utilization_2030_31,0.75,district building utilisation with the proposal,5.0,"BOE work session, 2026-09-15, slide 5"
students_per_class_round,25.0,a 'round' is one class of 25,5.0,"BOE work session, 2026-09-15, slide 5"
two_rounds_enrollment,300.0,two classes a grade is about 300 pupils,5.0,"BOE work session, 2026-09-15, slide 5"
schools_below_two_2030_no_action,14.0,"if no action were taken, by 2030",,"Resolution 26-27, 2026-09-15"
decline_since_2017,3675.0,school-aged children lost since 2017,,"Resolution 26-27, 2026-09-15"
decline_to_2030,1706.0,further decline anticipated by 2030,,"Resolution 26-27, 2026-09-15"
neighbourhood_share_low,0.67,share attending their neighbourhood school,21.0,"BOE work session, 2026-09-15, slide 21"
neighbourhood_share_high,0.7,"the same, upper end",21.0,"BOE work session, 2026-09-15, slide 21"
class_max_k1,26.0,"negotiated class size maximum, grades K-1",34.0,"BOE work session, 2026-09-15, slide 34"
class_max_2_3,29.0,"negotiated class size maximum, grades 2-3",34.0,"BOE work session, 2026-09-15, slide 34"
class_max_4_5,31.0,"negotiated class size maximum, grades 4-5",34.0,"BOE work session, 2026-09-15, slide 34"
traveling_teachers_2024_25,13.0,specials teachers working across schools,35.0,"BOE work session, 2026-09-15, slide 35"
traveling_teachers_2025_26,29.0,specials teachers working across schools,35.0,"BOE work session, 2026-09-15, slide 35"
traveling_teachers_2026_27,36.0,specials teachers working across schools,35.0,"BOE work session, 2026-09-15, slide 35"
traveling_teachers_2027_28_no_action,40.0,projected without the proposal,35.0,"BOE work session, 2026-09-15, slide 35"
traveling_teachers_2027_28_with_plan,18.0,projected with the proposal,35.0,"BOE work session, 2026-09-15, slide 35"
split_positions_2027_28_no_action,12.0,"posts with no home school, without the proposal",35.0,"BOE work session, 2026-09-15, slide 35"
split_positions_2027_28_with_plan,0.0,"posts with no home school, with the proposal",35.0,"BOE work session, 2026-09-15, slide 35"
