year,ncessch,school_code,district_code,school_name,enrollment_total_cde,enrollment_total_ccd,teacher_fte_cde,teacher_fte_ccd,status,enrollment,teacher_fte,closure_label,closure_confidence,last_year,years_to_last
1986,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,184.0,,10.0,1.0,184.0,10.0,still_open,high,2024,38
1987,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,139.0,,11.0,1.0,139.0,11.0,still_open,high,2024,37
1988,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,164.0,,14.0,1.0,164.0,14.0,still_open,high,2024,36
1989,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,164.0,,14.0,1.0,164.0,14.0,still_open,high,2024,35
1990,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,195.0,,12.0,1.0,195.0,12.0,still_open,high,2024,34
1991,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY,,171.0,,11.0,1.0,171.0,11.0,still_open,high,2024,33
1992,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,172.0,,9.0,1.0,172.0,9.0,still_open,high,2024,32
1993,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,152.0,,9.0,1.0,152.0,9.0,still_open,high,2024,31
1994,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,147.0,,10.0,1.0,147.0,10.0,still_open,high,2024,30
1995,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,140.0,,11.0,1.0,140.0,11.0,still_open,high,2024,29
1996,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,144.0,,11.0,1.0,144.0,11.0,still_open,high,2024,28
1997,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,142.0,,12.0,1.0,142.0,12.0,still_open,high,2024,27
1998,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,120.0,,11.0,1.0,120.0,11.0,still_open,high,2024,26
1999,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,104.0,,11.0,1.0,104.0,11.0,still_open,high,2024,25
2000,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,133.0,14.0,14.0,1.0,133.0,14.0,still_open,high,2024,24
2001,080000100214,1608,0520,CHEYENNE WELLS ELEM SCHOOL,,107.0,13.0,13.0,1.0,107.0,13.0,still_open,high,2024,23
2002,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,,110.0,1.0,11.0,1.0,110.0,1.0,still_open,high,2024,22
2003,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,102.0,102.0,10.5,10.0,1.0,102.0,10.5,still_open,high,2024,21
2004,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,103.0,103.0,11.25,11.0,1.0,103.0,11.25,still_open,high,2024,20
2005,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,105.0,105.0,11.25,11.0,1.0,105.0,11.25,still_open,high,2024,19
2006,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,107.0,107.0,11.1308,11.0,1.0,107.0,11.1308,still_open,high,2024,18
2007,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,101.0,101.0,10.1143,10.0,1.0,101.0,10.1143,still_open,high,2024,17
2008,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,100.0,100.0,10.4749,10.0,1.0,100.0,10.4749,still_open,high,2024,16
2009,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,98.0,98.0,10.6185,10.0,1.0,98.0,10.6185,still_open,high,2024,15
2010,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,110.0,110.0,9.237,9.0,1.0,110.0,9.237,still_open,high,2024,14
2011,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,110.0,110.0,9.27,9.0,1.0,110.0,9.27,still_open,high,2024,13
2012,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,113.0,113.0,9.43,9.0,1.0,113.0,9.43,still_open,high,2024,12
2013,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,96.0,96.0,8.6,8.0,1.0,96.0,8.6,still_open,high,2024,11
2014,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,105.0,105.0,9.6763,9.0,1.0,105.0,9.6763,still_open,high,2024,10
2015,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,107.0,107.0,10.36,10.0,1.0,107.0,10.36,still_open,high,2024,9
2016,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,118.0,118.0,10.78,10.0,1.0,118.0,10.78,still_open,high,2024,8
2017,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,113.0,113.0,,9.0,1.0,113.0,9.0,still_open,high,2024,7
2018,080000100214,1608,0520,CHEYENNE WELLS ELEMENTARY SCHOOL,120.0,120.0,9.76,9.0,1.0,120.0,9.76,still_open,high,2024,6
