district_code,county_name,statements,agreement,also_stated
0010,Adams,448,1.0,
0020,Adams,1932,1.0,
0030,Adams,532,1.0,
0040,Adams,546,1.0,
0050,Adams,182,1.0,
0060,Adams,182,1.0,
0070,Adams,1008,1.0,
0100,Alamosa,266,1.0,
0110,Alamosa,98,1.0,
0120,Arapahoe,476,1.0,
0123,Arapahoe,224,1.0,
0130,Arapahoe,2128,1.0,
0140,Arapahoe,1064,1.0,
0170,Arapahoe,98,1.0,
0180,Arapahoe,1988,1.0,
0190,Arapahoe,98,1.0,
0220,Archuleta,182,1.0,
0230,Baca,140,1.0,
0240,Baca,112,1.0,
0250,Baca,140,1.0,
0260,Baca,140,1.0,
0270,Baca,98,1.0,
0290,Bent,224,1.0,
0310,Bent,98,1.0,
0470,Boulder,1568,1.0,
0480,Boulder,2352,1.0,
0490,Chaffee,182,1.0,
0500,Chaffee,140,1.0,
0510,Cheyenne,98,1.0,
0520,Cheyenne,140,1.0,
0540,Clear Creek,252,1.0,
0550,Conejos,224,1.0,
0560,Conejos,98,1.0,
0580,Conejos,140,1.0,
0640,Costilla,139,1.0,
0740,Costilla,124,1.0,
0770,Crowley,140,1.0,
0860,Custer,56,1.0,
0870,Delta,630,1.0,
0880,Denver,5894,1.0,
0890,Dolores,154,1.0,
0900,Douglas,2492,1.0,
0910,Eagle,686,1.0,
0920,Elbert,350,1.0,
0930,Elbert,139,1.0,
0940,Elbert,140,1.0,
0950,Elbert,98,1.0,
0960,Elbert,98,1.0,
0970,El Paso,182,1.0,
0980,El Paso,1008,1.0,
0990,El Paso,713,1.0,
1000,El Paso,434,1.0,
1010,El Paso,2632,1.0,
1020,El Paso,392,1.0,
1030,El Paso,182,1.0,
1040,El Paso,1106,1.0,
1050,El Paso,140,1.0,
1060,El Paso,140,1.0,
1070,El Paso,98,1.0,
1080,El Paso,392,1.0,
1110,El Paso,504,1.0,
1120,El Paso,126,1.0,
1130,El Paso,98,1.0,
1140,Fremont,432,0.6759,Femont
1150,Fremont,250,0.664,Femont
1160,Fremont,110,0.7455,Femont
1180,Garfield,560,1.0,
1195,Garfield,308,1.0,
1220,Garfield,167,1.0,
1330,Gilpin,182,1.0,
1340,Grand,168,1.0,
1350,Grand,266,1.0,
1360,Gunnison,280,1.0,
1380,Hinsdale,112,1.0,
1390,Huerfano,182,1.0,
