series,year,label,url,fmt,measure,grain,filename
membership,2000,Membership Trends for American Indian Students (1996-2000) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200001internet.pdf,pdf,other,unknown,ed59017200001internet.pdf
membership,2000,Membership Trends for Asian Students (1996-2000) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200002internet.pdf,pdf,other,unknown,ed59017200002internet.pdf
membership,2000,Membership Trends for Black Students (1996-2000) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200003internet.pdf,pdf,other,unknown,ed59017200003internet.pdf
membership,2000,Denver Metro Area Student Enrollment Increase from 1990 to 2000 (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200004internet.pdf,pdf,other,unknown,ed59017200004internet.pdf
membership,2000,"Student Membership Trends for Grades PK Through 6, 1990 to 2000 (PDF)",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200005internet.pdf,pdf,other,unknown,ed59017200005internet.pdf
membership,2000,Membership Trends for Hispanic Students (1996-2000) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200006internet.pdf,pdf,other,unknown,ed59017200006internet.pdf
membership,2000,"Home Study Fall Trend Data, Fall 1996 through Fall 2000 (PDF)",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200007internet.pdf,pdf,other,unknown,ed59017200007internet.pdf
membership,2000,Fall 2000 Pupil Membership by Grade Level (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200008internet.pdf,pdf,other,unknown,ed59017200008internet.pdf
membership,2000,Fall 2000 Pupil Membership Trend (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200009internet.pdf,pdf,other,unknown,ed59017200009internet.pdf
membership,2000,Districts Serving Non-District Students (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200010internet.pdf,pdf,other,unknown,ed59017200010internet.pdf
membership,2000,Students Attending Public Schools Not in District of Parent's Residence (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200011internet.pdf,pdf,other,unknown,ed59017200011internet.pdf
membership,2000,Public School Membership 2000 Release Memo (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200012internet.pdf,pdf,other,unknown,ed59017200012internet.pdf
membership,2000,"Public School Membership by District, County, Ethnicity and Gender (PDF)",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200013internet.pdf,pdf,other,unknown,ed59017200013internet.pdf
membership,2000,Fall 2000 Membership by District Including Percent Minority (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200014internet.pdf,pdf,other,unknown,ed59017200014internet.pdf
membership,2000,Public School Membership by Grade Level (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200015internet.pdf,pdf,other,unknown,ed59017200015internet.pdf
membership,2000,"Public School Membership by Instructional Program (Special Ed, Gifted & Talented, ELL, etc.) (PDF)",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200016internet.pdf,pdf,other,unknown,ed59017200016internet.pdf
membership,2000,"Fall 2000 Pupil Membership by School, Ethnicity, Gender & Grade Level (PDF)",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200017internet.pdf,pdf,other,unknown,ed59017200017internet.pdf
membership,2000,Race/Ethnicity by Grade (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200018internet.pdf,pdf,other,unknown,ed59017200018internet.pdf
membership,2000,"Student Membership Trends for Grades 7 Through 12, 1990 to 2000 (PDF)",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200019internet.pdf,pdf,other,unknown,ed59017200019internet.pdf
membership,2000,Membership Trends for White Students (1996-2000) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200020internet.pdf,pdf,other,unknown,ed59017200020internet.pdf
membership,2000,Ranking by Fall 2000 Pupil Membership (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200021internet.pdf,pdf,other,unknown,ed59017200021internet.pdf
membership,2000,Total Membership by Ethnicity and Gender (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200022internet.pdf,pdf,other,unknown,ed59017200022internet.pdf
membership,2000,Student Teacher Ratios (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200023internet.pdf,pdf,teacher_fte,district,ed59017200023internet.pdf
membership,2000,Colorado's Ten Largest Districts by Fall 2000 Pupil Membership (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200024internet.pdf,pdf,other,unknown,ed59017200024internet.pdf
membership,2000,Membership Trends for District Totals (1996-2000) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2000/ed59017200025internet.pdf,pdf,other,unknown,ed59017200025internet.pdf
membership,2001,Membership Trends for American Indian Students (1997-2001) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200101internet.pdf,pdf,other,unknown,ed59017200101internet.pdf
membership,2001,Membership Trends for Asian Students (1997-2001) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200102internet.pdf,pdf,other,unknown,ed59017200102internet.pdf
membership,2001,Membership Trends for Black Students (1997-2001) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200103internet.pdf,pdf,other,unknown,ed59017200103internet.pdf
membership,2001,Denver Metro Area Student Enrollment Increase from 1991 to 2001 (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200104internet.pdf,pdf,other,unknown,ed59017200104internet.pdf
membership,2001,District Ranking by Fall 2001 Pupil Membership (High to Low) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200105internet.pdf,pdf,other,unknown,ed59017200105internet.pdf
membership,2001,Membership Trends for Hispanic Students (1997-2001) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200106internet.pdf,pdf,other,unknown,ed59017200106internet.pdf
membership,2001,Fall 2001 Pupil Membership by District Setting (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200107internet.pdf,pdf,other,unknown,ed59017200107internet.pdf
membership,2001,Membership Trends for District Totals (1997-2001) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200108internet.pdf,pdf,other,unknown,ed59017200108internet.pdf
membership,2001,Non-Public School Membership by Grade Level (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200109internet.pdf,pdf,other,unknown,ed59017200109internet.pdf
membership,2001,Districts Serving Non-Resident Students (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200110internet.pdf,pdf,other,unknown,ed59017200110internet.pdf
membership,2001,Students Attending Public Schools Not in Parent's District or Residence (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200111internet.pdf,pdf,other,unknown,ed59017200111internet.pdf
membership,2001,Fall 2001 Pupil Membership by District and Grade Leve (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200112internet.pdf,pdf,other,unknown,ed59017200112internet.pdf
membership,2001,Fall 2001 Pupil Membership by School and Grade Level (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200113internet.pdf,pdf,enrollment,school,ed59017200113internet.pdf
membership,2001,"Fall 2001 Pupil Membership by School, Ethnicity, Gender & Grade Level (PDF)",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200114internet.pdf,pdf,other,unknown,ed59017200114internet.pdf
membership,2001,Fall 2001 Pupil Membership by Instructional Program (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200115internet.pdf,pdf,other,unknown,ed59017200115internet.pdf
membership,2001,Membership Trends for White Students (1997-2001) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200116internet.pdf,pdf,other,unknown,ed59017200116internet.pdf
membership,2001,Membership Trends for Elementary Schools (1991-2001) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200117internet.pdf,pdf,other,unknown,ed59017200117internet.pdf
membership,2001,"K-12 Free and Reduced Lunch Eligibility by County, and District (PDF)",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200118internet.pdf,pdf,other,unknown,ed59017200118internet.pdf
membership,2001,"Home Based Education, Fall 1997 through Fall 2001 (PDF)",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200119internet.pdf,pdf,other,unknown,ed59017200119internet.pdf
membership,2001,Non-Public School Membership 5-Year Trend (1997 through 2001) (PDF),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2001/ed59017200120internet.pdf,pdf,other,unknown,ed59017200120internet.pdf
