year,district_code,district_name,county_name,unit_type,grade,enrollment,source
1986,0010,MAPLETON,Adams,district,PK,119,yearbook-1986
1986,0010,MAPLETON,Adams,district,K,415,yearbook-1986
1986,0010,MAPLETON,Adams,district,1,453,yearbook-1986
1986,0010,MAPLETON,Adams,district,2,400,yearbook-1986
1986,0010,MAPLETON,Adams,district,3,383,yearbook-1986
1986,0010,MAPLETON,Adams,district,4,346,yearbook-1986
1986,0010,MAPLETON,Adams,district,5,362,yearbook-1986
1986,0010,MAPLETON,Adams,district,6,333,yearbook-1986
1986,0010,MAPLETON,Adams,district,7,357,yearbook-1986
1986,0010,MAPLETON,Adams,district,8,368,yearbook-1986
1986,0010,MAPLETON,Adams,district,9,367,yearbook-1986
1986,0010,MAPLETON,Adams,district,10,385,yearbook-1986
1986,0010,MAPLETON,Adams,district,11,321,yearbook-1986
1986,0010,MAPLETON,Adams,district,12,256,yearbook-1986
1986,0010,MAPLETON,Adams,district,SPECIAL_EDUCATION,0,yearbook-1986
1986,0010,MAPLETON,Adams,district,UNGRADED,132,yearbook-1986
1986,0020,NORTHGLENN-THORNTON,Adams,district,PK,0,yearbook-1986
1986,0020,NORTHGLENN-THORNTON,Adams,district,K,1653,yearbook-1986
1986,0020,NORTHGLENN-THORNTON,Adams,district,1,1768,yearbook-1986
1986,0020,NORTHGLENN-THORNTON,Adams,district,2,1670,yearbook-1986
1986,0020,NORTHGLENN-THORNTON,Adams,district,3,1603,yearbook-1986
1986,0020,NORTHGLENN-THORNTON,Adams,district,4,1512,yearbook-1986
1986,0020,NORTHGLENN-THORNTON,Adams,district,5,1444,yearbook-1986
1986,0020,NORTHGLENN-THORNTON,Adams,district,6,1395,yearbook-1986
1986,0020,NORTHGLENN-THORNTON,Adams,district,7,1470,yearbook-1986
1986,0020,NORTHGLENN-THORNTON,Adams,district,8,1431,yearbook-1986
1986,0020,NORTHGLENN-THORNTON,Adams,district,9,1610,yearbook-1986
1986,0020,NORTHGLENN-THORNTON,Adams,district,10,1562,yearbook-1986
1986,0020,NORTHGLENN-THORNTON,Adams,district,11,1498,yearbook-1986
1986,0020,NORTHGLENN-THORNTON,Adams,district,12,1299,yearbook-1986
1986,0020,NORTHGLENN-THORNTON,Adams,district,SPECIAL_EDUCATION,282,yearbook-1986
1986,0020,NORTHGLENN-THORNTON,Adams,district,UNGRADED,0,yearbook-1986
1986,0030,ADAMS COUNTY,Adams,district,PK,0,yearbook-1986
1986,0030,ADAMS COUNTY,Adams,district,K,600,yearbook-1986
1986,0030,ADAMS COUNTY,Adams,district,1,563,yearbook-1986
1986,0030,ADAMS COUNTY,Adams,district,2,514,yearbook-1986
1986,0030,ADAMS COUNTY,Adams,district,3,457,yearbook-1986
1986,0030,ADAMS COUNTY,Adams,district,4,462,yearbook-1986
1986,0030,ADAMS COUNTY,Adams,district,5,465,yearbook-1986
1986,0030,ADAMS COUNTY,Adams,district,6,401,yearbook-1986
1986,0030,ADAMS COUNTY,Adams,district,7,408,yearbook-1986
1986,0030,ADAMS COUNTY,Adams,district,8,404,yearbook-1986
1986,0030,ADAMS COUNTY,Adams,district,9,457,yearbook-1986
1986,0030,ADAMS COUNTY,Adams,district,10,367,yearbook-1986
1986,0030,ADAMS COUNTY,Adams,district,11,286,yearbook-1986
1986,0030,ADAMS COUNTY,Adams,district,12,200,yearbook-1986
1986,0030,ADAMS COUNTY,Adams,district,SPECIAL_EDUCATION,0,yearbook-1986
1986,0030,ADAMS COUNTY,Adams,district,UNGRADED,75,yearbook-1986
1986,0040,BRIGHTON,Adams,district,PK,0,yearbook-1986
1986,0040,BRIGHTON,Adams,district,K,304,yearbook-1986
1986,0040,BRIGHTON,Adams,district,1,315,yearbook-1986
1986,0040,BRIGHTON,Adams,district,2,318,yearbook-1986
1986,0040,BRIGHTON,Adams,district,3,314,yearbook-1986
1986,0040,BRIGHTON,Adams,district,4,313,yearbook-1986
1986,0040,BRIGHTON,Adams,district,5,318,yearbook-1986
1986,0040,BRIGHTON,Adams,district,6,328,yearbook-1986
1986,0040,BRIGHTON,Adams,district,7,315,yearbook-1986
1986,0040,BRIGHTON,Adams,district,8,302,yearbook-1986
1986,0040,BRIGHTON,Adams,district,9,381,yearbook-1986
1986,0040,BRIGHTON,Adams,district,10,307,yearbook-1986
1986,0040,BRIGHTON,Adams,district,11,290,yearbook-1986
1986,0040,BRIGHTON,Adams,district,12,256,yearbook-1986
1986,0040,BRIGHTON,Adams,district,SPECIAL_EDUCATION,0,yearbook-1986
1986,0040,BRIGHTON,Adams,district,UNGRADED,38,yearbook-1986
1986,0050,BENNETT,Adams,district,PK,0,yearbook-1986
1986,0050,BENNETT,Adams,district,K,61,yearbook-1986
1986,0050,BENNETT,Adams,district,1,69,yearbook-1986
1986,0050,BENNETT,Adams,district,2,63,yearbook-1986
1986,0050,BENNETT,Adams,district,3,54,yearbook-1986
1986,0050,BENNETT,Adams,district,4,55,yearbook-1986
1986,0050,BENNETT,Adams,district,5,72,yearbook-1986
1986,0050,BENNETT,Adams,district,6,47,yearbook-1986
1986,0050,BENNETT,Adams,district,7,61,yearbook-1986
1986,0050,BENNETT,Adams,district,8,65,yearbook-1986
1986,0050,BENNETT,Adams,district,9,74,yearbook-1986
1986,0050,BENNETT,Adams,district,10,72,yearbook-1986
1986,0050,BENNETT,Adams,district,11,53,yearbook-1986
1986,0050,BENNETT,Adams,district,12,43,yearbook-1986
1986,0050,BENNETT,Adams,district,SPECIAL_EDUCATION,1,yearbook-1986
1986,0050,BENNETT,Adams,district,UNGRADED,0,yearbook-1986
1986,0060,STRASBURG,Adams,district,PK,0,yearbook-1986
1986,0060,STRASBURG,Adams,district,K,42,yearbook-1986
1986,0060,STRASBURG,Adams,district,1,31,yearbook-1986
1986,0060,STRASBURG,Adams,district,2,38,yearbook-1986
1986,0060,STRASBURG,Adams,district,3,25,yearbook-1986
1986,0060,STRASBURG,Adams,district,4,37,yearbook-1986
1986,0060,STRASBURG,Adams,district,5,32,yearbook-1986
1986,0060,STRASBURG,Adams,district,6,29,yearbook-1986
1986,0060,STRASBURG,Adams,district,7,24,yearbook-1986
1986,0060,STRASBURG,Adams,district,8,35,yearbook-1986
1986,0060,STRASBURG,Adams,district,9,43,yearbook-1986
1986,0060,STRASBURG,Adams,district,10,35,yearbook-1986
1986,0060,STRASBURG,Adams,district,11,28,yearbook-1986
1986,0060,STRASBURG,Adams,district,12,39,yearbook-1986
1986,0060,STRASBURG,Adams,district,SPECIAL_EDUCATION,0,yearbook-1986
1986,0060,STRASBURG,Adams,district,UNGRADED,0,yearbook-1986
1986,0070,WESTMINSTER,Adams,district,PK,17,yearbook-1986
1986,0070,WESTMINSTER,Adams,district,K,895,yearbook-1986
1986,0070,WESTMINSTER,Adams,district,1,909,yearbook-1986
1986,0070,WESTMINSTER,Adams,district,2,824,yearbook-1986
1986,0070,WESTMINSTER,Adams,district,3,821,yearbook-1986
1986,0070,WESTMINSTER,Adams,district,4,774,yearbook-1986
1986,0070,WESTMINSTER,Adams,district,5,763,yearbook-1986
1986,0070,WESTMINSTER,Adams,district,6,761,yearbook-1986
1986,0070,WESTMINSTER,Adams,district,7,803,yearbook-1986
1986,0070,WESTMINSTER,Adams,district,8,794,yearbook-1986
1986,0070,WESTMINSTER,Adams,district,9,815,yearbook-1986
1986,0070,WESTMINSTER,Adams,district,10,881,yearbook-1986
1986,0070,WESTMINSTER,Adams,district,11,866,yearbook-1986
1986,0070,WESTMINSTER,Adams,district,12,790,yearbook-1986
1986,0070,WESTMINSTER,Adams,district,SPECIAL_EDUCATION,109,yearbook-1986
1986,0070,WESTMINSTER,Adams,district,UNGRADED,0,yearbook-1986
1986,0100,ALAMOSA,Alamosa,district,PK,0,yearbook-1986
1986,0100,ALAMOSA,Alamosa,district,K,183,yearbook-1986
1986,0100,ALAMOSA,Alamosa,district,1,199,yearbook-1986
1986,0100,ALAMOSA,Alamosa,district,2,186,yearbook-1986
1986,0100,ALAMOSA,Alamosa,district,3,192,yearbook-1986
1986,0100,ALAMOSA,Alamosa,district,4,172,yearbook-1986
1986,0100,ALAMOSA,Alamosa,district,5,169,yearbook-1986
1986,0100,ALAMOSA,Alamosa,district,6,190,yearbook-1986
1986,0100,ALAMOSA,Alamosa,district,7,174,yearbook-1986
1986,0100,ALAMOSA,Alamosa,district,8,190,yearbook-1986
1986,0100,ALAMOSA,Alamosa,district,9,211,yearbook-1986
1986,0100,ALAMOSA,Alamosa,district,10,145,yearbook-1986
1986,0100,ALAMOSA,Alamosa,district,11,127,yearbook-1986
1986,0100,ALAMOSA,Alamosa,district,12,108,yearbook-1986
1986,0100,ALAMOSA,Alamosa,district,SPECIAL_EDUCATION,0,yearbook-1986
1986,0100,ALAMOSA,Alamosa,district,UNGRADED,14,yearbook-1986
1986,0110,SANGRE DE CRISTO,Alamosa,district,PK,0,yearbook-1986
1986,0110,SANGRE DE CRISTO,Alamosa,district,K,21,yearbook-1986
1986,0110,SANGRE DE CRISTO,Alamosa,district,1,21,yearbook-1986
1986,0110,SANGRE DE CRISTO,Alamosa,district,2,18,yearbook-1986
1986,0110,SANGRE DE CRISTO,Alamosa,district,3,16,yearbook-1986
1986,0110,SANGRE DE CRISTO,Alamosa,district,4,21,yearbook-1986
1986,0110,SANGRE DE CRISTO,Alamosa,district,5,14,yearbook-1986
1986,0110,SANGRE DE CRISTO,Alamosa,district,6,16,yearbook-1986
