year,districts,yearbook_k12,ccd_k12,difference,pct_difference
1986,178,549934,549673,261,0.000475
1987,177,551228,550367,861,0.001564
1988,175,547013,550855,-3842,-0.006975
1989,181,554448,554296,152,0.000274
1990,181,565909,565909,0,0.0
1991,180,584964,584959,5,9e-06
1992,182,602791,602791,0,0.0
1993,184,615729,615729,0,0.0
1994,184,629325,629325,0,0.0
1995,182,644477,644435,42,6.5e-05
1996,184,659917,659917,0,0.0
1997,183,673291,673291,0,0.0
1998,181,684820,684820,0,0.0
1999,181,693991,693991,0,0.0
