year,leaid,district_code,district_name,teacher_fte,teacher_fte_prek,teacher_fte_kindergarten,teacher_fte_elementary,teacher_fte_secondary,staff_total_fte,enrollment_reported,source
1987,0806480,0990,2IDEFIELD           3,354.0,,,,,,6972,ccd-lea-1987
1987,0801920,1040,ACADEMY             20,483.0,,,,,,9659,ccd-lea-1987
1987,0801950,0030,ADAMS COUNTY        14,307.0,,,,,,5797,ccd-lea-1987
1987,0802340,0180,ADAMS-ARAPAHOE      28J,1409.0,,,,,,25951,ccd-lea-1987
1987,0801980,0960,AGATE               300,9.0,,,,,,52,ccd-lea-1987
1987,0802010,1620,AGUILAR REORGANIZED 6,18.0,,,,,,182,ccd-lea-1987
1987,0802040,3030,AKRON               R-1,32.0,,,,,,459,ccd-lea-1987
1987,0802070,0100,ALAMOSA             RE-11J,127.0,,,,,,2308,ccd-lea-1987
1987,0802190,0220,ARCHULETA COUNTY    50 JT,61.0,,,,,,1086,ccd-lea-1987
1987,0802220,3040,ARICKAREE           R-2,18.0,,,,,,141,ccd-lea-1987
1987,0802260,1450,ARRIBA-FLAGLER      C-20,21.0,,,,,,229,ccd-lea-1987
1987,0802280,2640,ASPEN               1,76.0,,,,,,1000,ccd-lea-1987
1987,0802310,3145,AULT-HIGHLAND       RE-9,46.0,,,,,,758,ccd-lea-1987
1987,0802400,1530,BAYFIELD            10 JT-R,42.0,,,,,,738,ccd-lea-1987
1987,0802430,0050,BENNETT             29J,59.0,,,,,,790,ccd-lea-1987
1987,0802460,1490,BETHUNE             R-5,12.0,,,,,,101,ccd-lea-1987
1987,0806600,0940,BIG SANDY           100(J),19.0,,,,,,281,ccd-lea-1987
1987,0802490,0480,BOULDER VALLEY      RE 2(J),1147.0,,,,,,20835,ccd-lea-1987
1987,0802520,1750,BRANSON REORGANIZED 82,8.0,,,,,,59,ccd-lea-1987
1987,0802550,3146,BRIGGSDALE          RE-10(J),12.0,,,,,,82,ccd-lea-1987
1987,0802580,0040,BRIGHTON            27J,223.0,,,,,,4058,ccd-lea-1987
1987,0802610,2395,BRUSH               RE-2(J),77.0,,,,,,1240,ccd-lea-1987
1987,0802640,0490,BUENA VISTA         R-31,58.0,,,,,,864,ccd-lea-1987
1987,0805640,1860,BUFFALO             RE-4(J),17.0,,,,,,187,ccd-lea-1987
1987,0802670,1500,BURLINGTON          RE-6J,61.0,,,,,,847,ccd-lea-1987
1987,0802700,0190,BYERS               32J,26.0,,,,,,331,ccd-lea-1987
1987,0802730,0970,CALHAN              RJ-1,22.0,,,,,,374,ccd-lea-1987
1987,0802760,0270,CAMPO               RE-6,11.0,,,,,,71,ccd-lea-1987
1987,0802790,1140,CANON CITY          RE-1,190.0,,,,,,3581,ccd-lea-1987
1987,0806360,0640,CENTENNIAL          R-1,30.0,,,,,,425,ccd-lea-1987
1987,0802850,2810,CENTER              26 JT.,41.0,,,,,,602,ccd-lea-1987
1987,0802880,2560,CHERAW              31,16.0,,,,,,186,ccd-lea-1987
1987,0802910,0130,CHERRY CREEK        5,1430.0,,,,,,26739,ccd-lea-1987
1987,0800001,0520,CHEYENNE COUNTY     RE-5,24.0,,,,,,319,ccd-lea-1987
1987,0802940,1020,CHEYENNE MOUNTAIN   12,135.0,,,,,,2503,ccd-lea-1987
1987,0803000,0540,CLEAR CREEK         RE-1,81.0,,,,,,1445,ccd-lea-1987
1987,0803060,1010,COLORADO SPRINGS    11,1612.0,,,,,,30702,ccd-lea-1987
1987,0807200,0860,CONSOLIDATED        C-1,22.0,,,,,,308,ccd-lea-1987
1987,0803120,1160,COTOPAXI            RE-3,20.0,,,,,,241,ccd-lea-1987
1987,0803150,2010,CREEDE CONSOLIDATED 1,12.0,,,,,,107,ccd-lea-1987
1987,0803180,3010,CRIPPLE CREEK-VICTORRE-1,19.0,,,,,,309,ccd-lea-1987
1987,0803210,0770,CROWLEY COUNTY      RE-1-J,42.0,,,,,,547,ccd-lea-1987
1987,0803240,1980,DEBEQUE             49JT,10.0,,,,,,97,ccd-lea-1987
1987,0803270,0170,DEER TRAIL          26J,17.0,,,,,,173,ccd-lea-1987
1987,0803300,2730,DEL NORTE           C-7,45.0,,,,,,761,ccd-lea-1987
1987,0803330,0870,DELTA COUNTY        50(J),225.0,,,,,,3886,ccd-lea-1987
1987,0899060,9100,DELTA-MONTROSE BOCS,0.0,,,,,,0,ccd-lea-1987
1987,0803360,0880,DENVER COUNTY       1,3511.0,,,,,,59439,ccd-lea-1987
1987,0803390,2055,DOLORES             RE-4A,33.0,,,,,,521,ccd-lea-1987
1987,0803420,0890,DOLORES COUNTY      RE NO.1,29.0,,,,,,376,ccd-lea-1987
1987,0803450,0900,DOUGLAS COUNTY      RE 1(J),567.0,,,,,,10501,ccd-lea-1987
1987,0803480,1520,DURANGO             9-R,207.0,,,,,,3776,ccd-lea-1987
1987,0803510,1430,EADS                RE-1,25.0,,,,,,277,ccd-lea-1987
1987,0803540,0910,EAGLE COUNTY        RE 50(J),139.0,,,,,,2255,ccd-lea-1987
1987,0804320,1350,EAST GRAND          2,72.0,,,,,,1045,ccd-lea-1987
1987,0805130,2520,EAST OTERO          R-1,128.0,,,,,,2014,ccd-lea-1987
1987,0803570,3430,EAST YUMA COUNTY    RJ-2,69.0,,,,,,941,ccd-lea-1987
1987,0803600,3085,EATON               RE-2,65.0,,,,,,1147,ccd-lea-1987
1987,0803630,1120,EDISON              54 JT,6.0,,,,,,41,ccd-lea-1987
1987,0803690,0950,ELBERT              200,15.0,,,,,,120,ccd-lea-1987
1987,0803720,0920,ELIZABETH           C-1,75.0,,,,,,1266,ccd-lea-1987
1987,0803750,1050,ELLICOTT            22,32.0,,,,,,531,ccd-lea-1987
1987,0803780,0120,ENGLEWOOD           1,172.0,,,,,,3808,ccd-lea-1987
1987,0803870,1110,FALCON              49,136.0,,,,,,2448,ccd-lea-1987
1987,0803960,1150,FLORENCE            RE-2(J),104.0,,,,,,1746,ccd-lea-1987
1987,0804020,3140,FORT LUPTON         RE-8,105.0,,,,,,2219,ccd-lea-1987
1987,0804050,2405,FORT MORGAN         RE-3,156.0,,,,,,2639,ccd-lea-1987
1987,0804080,1000,FOUNTAIN            8,206.0,,,,,,3690,ccd-lea-1987
1987,0804110,2540,FOWLER              R-4J,33.0,,,,,,457,ccd-lea-1987
1987,0803930,1850,FRENCHMAN           RE-3,17.0,,,,,,158,ccd-lea-1987
1987,0804380,1220,GARFIELD            16,33.0,,,,,,432,ccd-lea-1987
1987,0806240,1195,GARFIELD            RE-2,116.0,,,,,,2193,ccd-lea-1987
1987,0800003,1780,GENOA-HUGO          C113,20.0,,,,,,222,ccd-lea-1987
1987,0804200,3080,GILCREST            RE-1,97.0,,,,,,1738,ccd-lea-1987
1987,0804230,1330,GILPIN COUNTY       RE-1,28.0,,,,,,344,ccd-lea-1987
1987,0804290,2650,GRANADA             RE-1,21.0,,,,,,262,ccd-lea-1987
1987,0804410,3120,GREELEY             6,596.0,,,,,,11309,ccd-lea-1987
1987,0804440,3148,GROVER              RE-12,17.0,,,,,,103,ccd-lea-1987
1987,0804470,1360,GUNNISON WATERSHED  RE1J,83.0,,,,,,1427,ccd-lea-1987
1987,0804500,1070,HANOVER             28,6.0,,,,,,56,ccd-lea-1987
1987,0804530,0980,HARRISON            2,565.0,,,,,,9685,ccd-lea-1987
1987,0804560,2630,HAXTUN              RE-2J,23.0,,,,,,272,ccd-lea-1987
1987,0804590,2760,HAYDEN              RE-1,39.0,,,,,,444,ccd-lea-1987
1987,0800002,1460,HI-PLAINS           R-23,14.0,,,,,,123,ccd-lea-1987
1987,0804620,1380,HINSDALE COUNTY     RE. 1,3.0,,,,,,38,ccd-lea-1987
1987,0804650,1600,HOEHNE REORGANIZED  3,20.0,,,,,,302,ccd-lea-1987
1987,0804680,2670,HOLLY               RE-3,28.0,,,,,,366,ccd-lea-1987
1987,0804710,2620,HOLYOKE             RE-1J,41.0,,,,,,529,ccd-lea-1987
1987,0807080,1390,HUERFANO            RE-1,57.0,,,,,,864,ccd-lea-1987
1987,0804770,1540,IGNACIO             11 JT,62.0,,,,,,906,ccd-lea-1987
1987,0804800,1420,JEFFERSON COUNTY    R-1,3555.0,,,,,,75337,ccd-lea-1987
1987,0804830,3110,JOHNSTOWN-MILLIKEN  RE-5J,63.0,,,,,,1203,ccd-lea-1987
1987,0804860,2862,JULESBURG           RE-1,28.0,,,,,,355,ccd-lea-1987
1987,0804890,1810,KARVAL              RE-23,9.0,,,,,,59,ccd-lea-1987
1987,0804920,3090,KEENESBURG          RE-3(J),65.0,,,,,,1169,ccd-lea-1987
1987,0804980,1760,KIM REORGANIZED     88,11.0,,,,,,75,ccd-lea-1987
1987,0805010,0930,KIOWA               C-2,14.0,,,,,,201,ccd-lea-1987
1987,0805040,0510,KIT CARSON          R-1,18.0,,,,,,151,ccd-lea-1987
1987,0805160,1400,LA VETA             RE-2,19.0,,,,,,234,ccd-lea-1987
1987,0805190,1510,LAKE COUNTY         R-1,73.0,,,,,,1117,ccd-lea-1987
1987,0805220,2660,LAMAR               RE-2,118.0,,,,,,2132,ccd-lea-1987
1987,0899460,9110,LARIMER COUNTY BOCS,0.0,,,,,,0,ccd-lea-1987
1987,0805250,0290,LAS ANIMAS          RE-1,57.0,,,,,,846,ccd-lea-1987
1987,0805820,1080,LEWIS-PALMER        38,104.0,,,,,,2114,ccd-lea-1987
1987,0805280,1790,LIMON               RE-4J,28.0,,,,,,443,ccd-lea-1987
1987,0805310,0140,LITTLETON           6,830.0,,,,,,15609,ccd-lea-1987
1987,0805340,3060,LONE STAR           101,8.0,,,,,,57,ccd-lea-1987
1987,0805460,2070,MANCOS              RE-6,32.0,,,,,,486,ccd-lea-1987
1987,0805490,1030,MANITOU SPRINGS     14,58.0,,,,,,1161,ccd-lea-1987
1987,0805520,2535,MANZANOLA           3J,19.0,,,,,,264,ccd-lea-1987
1987,0805550,0010,MAPLETON            1,244.0,,,,,,4895,ccd-lea-1987
1987,0805580,0310,MC CLAVE            RE-2,16.0,,,,,,181,ccd-lea-1987
1987,0805610,2710,MEEKER              RE1,42.0,,,,,,748,ccd-lea-1987
1987,0804350,2000,MESA COUNTY VALLEY  51,860.0,,,,,,15833,ccd-lea-1987
1987,0805670,1130,MIAMI/YODER         60 JT,13.0,,,,,,150,ccd-lea-1987
1987,0805700,2800,MOFFAT              2,13.0,,,,,,124,ccd-lea-1987
1987,0805730,2020,MOFFAT COUNTY       RE:NO 1,141.0,,,,,,2549,ccd-lea-1987
1987,0805760,2740,MONTE VISTA         C-8,83.0,,,,,,1389,ccd-lea-1987
1987,0899480,9105,MONTEZUMA CO BOCS,0.0,,,,,,0,ccd-lea-1987
1987,0803090,2035,MONTEZUMA-CORTEZ    RE-1,185.0,,,,,,3126,ccd-lea-1987
1987,0805790,2180,MONTROSE COUNTY     RE-1J,252.0,,,,,,4307,ccd-lea-1987
1987,0806300,2790,MOUNTAIN VALLEY     RE 1,19.0,,,,,,182,ccd-lea-1987
1987,0805100,0550,NORTH CONEJOS       RE-1J,73.0,,,,,,1169,ccd-lea-1987
1987,0807050,1410,NORTH PARK          R-1,24.0,,,,,,310,ccd-lea-1987
1987,0806900,0020,NORTHGLENN-THORNTON 12,1094.0,,,,,,20602,ccd-lea-1987
1987,0805880,2840,NORWOOD             R-2J,25.0,,,,,,295,ccd-lea-1987
1987,0805940,3050,OTIS                R-3,19.0,,,,,,212,ccd-lea-1987
1987,0805970,2580,OURAY               R-1,16.0,,,,,,171,ccd-lea-1987
1987,0803810,1570,PARK (ESTES PARK)   R-3(J),61.0,,,,,,1116,ccd-lea-1987
1987,0803840,2610,PARK COUNTY         RE-2,32.0,,,,,,372,ccd-lea-1987
1987,0806060,1060,PEYTON              23 JT,20.0,,,,,,310,ccd-lea-1987
1987,0806930,1440,PLAINVIEW           RE-2,15.0,,,,,,97,ccd-lea-1987
1987,0806030,1870,PLATEAU             RE-5,17.0,,,,,,131,ccd-lea-1987
1987,0803030,1990,PLATEAU VALLEY      50,27.0,,,,,,458,ccd-lea-1987
1987,0802370,2600,PLATTE CANYON       1,52.0,,,,,,1091,ccd-lea-1987
1987,0806000,2865,PLATTE VALLEY       RE-3,19.0,,,,,,171,ccd-lea-1987
1987,0804950,3130,PLATTE VALLEY       RE-7,49.0,,,,,,836,ccd-lea-1987
1987,0803990,1550,POUDRE              R-1,853.0,,,,,,17427,ccd-lea-1987
1987,0806720,3147,PRAIRIE             RE-11(J),15.0,,,,,,97,ccd-lea-1987
1987,0807260,1590,PRIMERO REORGANIZED 2,15.0,,,,,,183,ccd-lea-1987
1987,0806090,0240,PRITCHETT           RE-3,9.0,,,,,,72,ccd-lea-1987
1987,0806120,2690,PUEBLO CITY         60,974.0,,,,,,18692,ccd-lea-1987
1987,0806150,2700,PUEBLO COUNTY RURAL 70,226.0,,,,,,4230,ccd-lea-1987
1987,0806180,2720,RANGELY             RE-4,59.0,,,,,,718,ccd-lea-1987
1987,0806210,2590,RIDGWAY             R-2,17.0,,,,,,215,ccd-lea-1987
1987,0804260,1180,ROARING FORK        RE-1(J),173.0,,,,,,3110,ccd-lea-1987
1987,0806270,2530,ROCKY FORD          R-2,83.0,,,,,,1301,ccd-lea-1987
1987,0806330,0500,SALIDA              R-32(J),76.0,,,,,,1243,ccd-lea-1987
1987,0806390,0560,SANFORD             6J,18.0,,,,,,331,ccd-lea-1987
1987,0806420,0110,SANGRE DE CRISTO    RE-22J,19.0,,,,,,281,ccd-lea-1987
1987,0806450,2750,SARGENT             RE-33J,34.0,,,,,,448,ccd-lea-1987
1987,0806540,0123,SHERIDAN            2,85.0,,,,,,1529,ccd-lea-1987
1987,0804140,0740,SIERRA GRANDE       R-30,19.0,,,,,,286,ccd-lea-1987
1987,0806570,2820,SILVERTON           1,17.0,,,,,,188,ccd-lea-1987
1987,0802130,0580,SOUTH CONEJOS       RE-10,39.0,,,,,,504,ccd-lea-1987
1987,0805910,2780,SOUTH ROUTT         RE 3(J),35.0,,,,,,384,ccd-lea-1987
1987,0899380,9070,SOUTHEAST METRO BOCS,0.0,,,,,,0,ccd-lea-1987
1987,0899420,9080,SOUTHWEST BOCS,0.0,,,,,,40,ccd-lea-1987
1987,0806630,0250,SPRINGFIELD         RE-4,33.0,,,,,,376,ccd-lea-1987
1987,0805370,0470,ST. VRAIN VALLEY    RE 1J,783.0,,,,,,15081,ccd-lea-1987
1987,0806660,2770,STEAMBOAT SPRINGS   RE-2,99.0,,,,,,1520,ccd-lea-1987
1987,0806750,0060,STRASBURG           31J,32.0,,,,,,432,ccd-lea-1987
1987,0806780,1480,STRATTON            R-4,22.0,,,,,,258,ccd-lea-1987
1987,0806810,3000,SUMMIT              RE-1,93.0,,,,,,1503,ccd-lea-1987
1987,0806840,2570,SWINK               33,24.0,,,,,,321,ccd-lea-1987
1987,0806870,2830,TELLURIDE           R-1,26.0,,,,,,253,ccd-lea-1987
1987,0805400,1560,THOMPSON            R-2J,637.0,,,,,,11525,ccd-lea-1987
1987,0806960,1580,TRINIDAD            1,93.0,,,,,,1686,ccd-lea-1987
1987,0806690,1828,VALLEY              RE-1,178.0,,,,,,2795,ccd-lea-1987
1987,0806990,0260,VILAS               RE-5,13.0,,,,,,65,ccd-lea-1987
1987,0807110,0230,WALSH               RE-1,23.0,,,,,,309,ccd-lea-1987
1987,0807140,2505,WELDON VALLEY       RE-20(J),14.0,,,,,,115,ccd-lea-1987
1987,0805850,2190,WEST END            RE-2,23.0,,,,,,396,ccd-lea-1987
1987,0805070,1340,WEST GRAND          1(JT),40.0,,,,,,586,ccd-lea-1987
1987,0807170,3420,WEST YUMA COUNTY    RJ-1,75.0,,,,,,983,ccd-lea-1987
1987,0807230,0070,WESTMINSTER         50,622.0,,,,,,10886,ccd-lea-1987
1987,0807290,2515,WIGGINS             RE-50(J),30.0,,,,,,392,ccd-lea-1987
1987,0807320,2680,WILEY               RE-13 JT,21.0,,,,,,305,ccd-lea-1987
1987,0807350,3100,WINDSOR             RE-4,104.0,,,,,,1613,ccd-lea-1987
1987,0807380,3020,WOODLAND PARK       RE-2,106.0,,,,,,2199,ccd-lea-1987
1987,0807410,3070,WOODLIN             R-104,13.0,,,,,,107,ccd-lea-1987
1988,0801920,0001,ACADEMY             20,544.0,,,,,,10102,ccd-lea-1988
1988,0801950,0000,ADAMS COUNTY        14,306.0,,,,,,5744,ccd-lea-1988
1988,0802340,0000,ADAMS-ARAPAHOE      28J,1348.0,,,,,,25732,ccd-lea-1988
1988,0801980,0000,AGATE               300,9.0,,,,,,53,ccd-lea-1988
1988,0802010,0001,AGUILAR REORGANIZED 6,18.0,,,,,,167,ccd-lea-1988
1988,0802040,0003,AKRON               R-1,32.0,,,,,,466,ccd-lea-1988
1988,0802070,0000,ALAMOSA             RE-11J,131.0,,,,,,2305,ccd-lea-1988
1988,0802190,0000,ARCHULETA COUNTY    50 JT,61.0,,,,,,1030,ccd-lea-1988
1988,0802220,0003,ARICKAREE           R-2,17.0,,,,,,133,ccd-lea-1988
1988,0802260,0001,ARRIBA-FLAGLER      C-20,20.0,,,,,,238,ccd-lea-1988
1988,0802280,0002,ASPEN               1,84.0,,,,,,1018,ccd-lea-1988
1988,0802310,0003,AULT-HIGHLAND       RE-9,48.0,,,,,,748,ccd-lea-1988
1988,0802400,0001,BAYFIELD            10 JT-R,44.0,,,,,,753,ccd-lea-1988
1988,0802430,0000,BENNETT             29J,54.0,,,,,,808,ccd-lea-1988
1988,0802460,0001,BETHUNE             R-5,11.0,,,,,,99,ccd-lea-1988
1988,0806600,0000,BIG SANDY           100(J),19.0,,,,,,264,ccd-lea-1988
1988,0802490,0000,BOULDER VALLEY      RE 2(J),1142.0,,,,,,20825,ccd-lea-1988
1988,0802520,0001,BRANSON REORGANIZED 82,8.0,,,,,,42,ccd-lea-1988
1988,0802550,0003,BRIGGSDALE          RE-10(J),12.0,,,,,,85,ccd-lea-1988
1988,0802580,0000,BRIGHTON            27J,220.0,,,,,,4019,ccd-lea-1988
1988,0802610,0002,BRUSH               RE-2(J),80.0,,,,,,1258,ccd-lea-1988
1988,0802640,0000,BUENA VISTA         R-31,54.0,,,,,,857,ccd-lea-1988
1988,0805640,0001,BUFFALO             RE-4(J),17.0,,,,,,200,ccd-lea-1988
1988,0802670,0001,BURLINGTON          RE-6J,59.0,,,,,,841,ccd-lea-1988
1988,0802700,0000,BYERS               32J,25.0,,,,,,321,ccd-lea-1988
1988,0802730,0000,CALHAN              RJ-1,22.0,,,,,,319,ccd-lea-1988
1988,0802760,0000,CAMPO               RE-6,10.0,,,,,,76,ccd-lea-1988
1988,0802790,0001,CANON CITY          RE-1,188.0,,,,,,3441,ccd-lea-1988
1988,0806360,0000,CENTENNIAL          R-1,29.0,,,,,,387,ccd-lea-1988
1988,0802850,0002,CENTER              26 JT.,41.0,,,,,,612,ccd-lea-1988
1988,0802880,0002,CHERAW              31,16.0,,,,,,179,ccd-lea-1988
1988,0802910,0000,CHERRY CREEK        5,1448.0,,,,,,27193,ccd-lea-1988
1988,0800001,0000,CHEYENNE COUNTY     RE-5,26.0,,,,,,365,ccd-lea-1988
1988,0802940,0001,CHEYENNE MOUNTAIN   12,125.0,,,,,,2388,ccd-lea-1988
1988,0803000,0000,CLEAR CREEK         RE-1,78.0,,,,,,1401,ccd-lea-1988
1988,0803060,0001,COLORADO SPRINGS    11,1575.0,,,,,,30297,ccd-lea-1988
1988,0807200,0000,CONSOLIDATED        C-1,23.0,,,,,,331,ccd-lea-1988
1988,0803120,0001,COTOPAXI            RE-3,22.0,,,,,,235,ccd-lea-1988
1988,0803150,0002,CREEDE CONSOLIDATED 1,10.0,,,,,,95,ccd-lea-1988
1988,0803180,0003,CRIPPLE CREEK-VICTORRE-1,19.0,,,,,,318,ccd-lea-1988
1988,0803210,0000,CROWLEY COUNTY      RE-1-J,43.0,,,,,,558,ccd-lea-1988
1988,0803240,0001,DEBEQUE             49JT,10.0,,,,,,98,ccd-lea-1988
1988,0803270,0000,DEER TRAIL          26J,17.0,,,,,,170,ccd-lea-1988
1988,0803300,0002,DEL NORTE           C-7,44.0,,,,,,702,ccd-lea-1988
1988,0803330,0000,DELTA COUNTY        50(J),222.0,,,,,,3800,ccd-lea-1988
1988,0803360,0000,DENVER COUNTY       1,3485.0,,,,,,58664,ccd-lea-1988
1988,0803390,0002,DOLORES             RE-4A,35.0,,,,,,525,ccd-lea-1988
