year,district_code,district_name,county_name,unit_type,teacher_fte_published,teacher_fte_school_sum,teacher_fte_difference,staff_certificated_fte,staff_noncertificated_fte,pupil_teacher_ratio,schools_published,schools_elementary,schools_middle,schools_senior,schools_other,schools_in_sum,enrollment_published,enrollment_school_sum,graduation_rate,dropout_rate,source
1986,,BIG SANDY 100(J),ELBERT,district,18.7,,,23.7,15.2,16.2,3,1,1,1,0,,303,,,6.7,yearbook-1986-summary
1986,,BOULDER VALLEY RE 2(J),BOULDER,district,1087.4,,,1279.1,781.0,19.1,43,26,9,5,3,,20751,,,3.4,yearbook-1986-summary
1986,,BRIGGSDALE RE-10(J),WELD,district,11.1,,,12.1,5.7,7.7,2,1,0,1,0,,85,,,0.0,yearbook-1986-summary
1986,,BUFFALO RE-4(J),LOGAN,district,18.5,,,22.5,8.2,11.0,2,1,0,1,0,,204,,,0.0,yearbook-1986-summary
1986,,CONSOLIDATED C-1,CUSTER,district,22.5,,,26.5,13.6,13.7,2,1,0,1,0,,309,,,1.3,yearbook-1986-summary
1986,,CRIPPLE CREEK-VICTORRE-1,TELLER,district,18.0,,,22.0,11.0,18.7,2,1,0,1,0,,336,,,0.0,yearbook-1986-summary
1986,,DOLOROS RE-4A,MONTEZUMA,district,33.0,,,38.0,19.5,15.0,3,1,1,1,0,,496,,,,yearbook-1986-summary
1986,,DOUGLAS COUNTY RE 1(J),DOUGLAS,district,538.3,,,631.6,442.6,18.0,18,14,2,2,0,,9693,,,2.5,yearbook-1986-summary
1986,,EAGLE COUNTY RE 50(J),EAGLE,district,141.6,,,171.6,100.0,15.6,8,4,2,2,0,,2212,,,5.0,yearbook-1986-summary
1986,,EAST YUMA COUNTY RJ-2,YUMA,district,68.6,,,77.6,42.8,13.9,5,2,1,2,0,,953,,,0.0,yearbook-1986-summary
1986,,EGNAR 18,SAN MIGUEL,district,3.0,,,3.0,4.6,13.0,2,1,1,0,0,,39,,,0.0,yearbook-1986-summary
1986,,FLORENCE RE-2(J),FREMONT,district,103.5,,,117.5,64.0,17.5,4,2,1,1,0,,1810,,,3.1,yearbook-1986-summary
1986,,FORT LUPTON RE-8,WELD,district,101.0,,,124.0,95.9,22.2,4,2,1,1,0,,2239,,,5.7,yearbook-1986-summary
1986,,GARFIELD 16,GARFIELD,district,33.5,,,40.5,16.5,14.1,3,1,1,1,0,,474,,,6.3,yearbook-1986-summary
1986,,GARFIELD RE-2,GARFIELD,district,105.4,,,120.4,66.6,20.9,7,4,2,1,0,,2198,,,10.2,yearbook-1986-summary
1986,,GILCREST RE-1,WELD,district,97.5,,,116.0,51.2,17.0,6,3,2,1,0,,1660,,,5.2,yearbook-1986-summary
1986,,GROVER RE-12,WELD,district,16.6,,,18.6,5.4,7.1,2,1,0,1,0,,118,,,3.4,yearbook-1986-summary
1986,,PARK (ESTES PARK) R-3(J),LARIMER,district,60.9,,,74.7,42.3,18.5,3,1,1,1,0,,1126,,,5.7,yearbook-1986-summary
1986,,PRAIRIE RE-11(J),WELD,district,15.0,,,17.0,4.5,6.2,2,1,0,1,0,,93,,,0.0,yearbook-1986-summary
1986,,ROARING FORK RE-1(J),GARFIELD,district,168.4,,,198.4,72.3,17.9,9,3,2,3,1,,3010,,,4.2,yearbook-1986-summary
1986,,SALIDA R-32(J),CHAFFEE,district,74.4,,,87.4,27.8,17.2,3,1,1,1,0,,1277,,,4.5,yearbook-1986-summary
1986,,SOUTH ROUTT RE 3(J),ROUTT,district,34.0,,,40.0,19.3,11.9,3,1,1,1,0,,405,,,6.7,yearbook-1986-summary
1986,,WEST YUMA COUNTY RJ-1,YUMA,district,78.5,,,86.5,35.0,12.6,5,3,0,2,0,,992,,,1.6,yearbook-1986-summary
1986,0010,MAPLETON 1,ADAMS,district,243.3,,,295.8,182.1,20.5,11,6,2,2,1,,4997,,,,yearbook-1986-summary
1986,0020,NORTHGLENN-THORNTON 12,ADAMS,district,1033.6,,,1252.4,613.9,19.5,31,21,6,2,2,,20197,,,,yearbook-1986-summary
1986,0030,ADAMS COUNTY 14,ADAMS,district,305.4,,,363.2,218.7,18.5,11,7,2,1,1,,5659,,,,yearbook-1986-summary
1986,0040,BRIGHTON 27J,ADAMS,district,226.5,,,276.0,173.8,18.1,10,5,2,1,2,,4099,,,,yearbook-1986-summary
1986,0050,BENNETT 29J,ADAMS,district,58.1,,,65.1,40.9,13.6,3,1,1,1,0,,790,,,3.2,yearbook-1986-summary
