year,district_name,county_name,volumes,readings,agree,spread,chosen_volume,chosen_value
1985,JULESBURG RE-1,SEDGWICK,1986;1987,1986:383;1987:363,False,20,1986,383
1985,JOHNSTOWN-MILLIKEN RE-5J,Weld,1986;1987,1986:1183;1987:1163,False,20,1986,1183
1985,KIOWA C-2,Elbert,1986;1987,1986:208;1987:206,False,2,1986,208
1978,MAPLETON 1,Adams,1986;1987,1986:5436;1987:5436,True,0,1986,5436
1978,NORTHGLENN-THORNTON 12,Adams,1986;1987,1986:19203;1987:19203,True,0,1986,19203
1978,ADAMS COUNTY 14,Adams,1986;1987,1986:6101;1987:6101,True,0,1986,6101
1978,BRIGHTON 27J,Adams,1986;1987,1986:4188;1987:4188,True,0,1986,4188
1978,BENNETT 29J,Adams,1986;1987,1986:494;1987:494,True,0,1986,494
1978,STRASBURG 31J,Adams,1986;1987,1986:393;1987:393,True,0,1986,393
1978,WESTMINSTER 50,Adams,1986;1987,1986:14088;1987:14088,True,0,1986,14088
1978,ALAMOSA RE-11J,Alamosa,1986;1987,1986:2289;1987:2289,True,0,1986,2289
1978,SANGRE DE CRISTO RE-22J,Alamosa,1986;1987,1986:283;1987:283,True,0,1986,283
1978,ENGLEWOOD 1,Arapahoe,1986;1987,1986:4008;1987:4008,True,0,1986,4008
1978,SHERIDAN 2,Arapahoe,1986;1987,1986:1774;1987:1774,True,0,1986,1774
1978,CHERRY CREEK 5,Arapahoe,1986;1987,1986:19031;1987:19031,True,0,1986,19031
1978,LITTLETON 6,Arapahoe,1986;1987,1986:17448;1987:17448,True,0,1986,17448
1978,DEER TRAIL 26J,Arapahoe,1986;1987,1986:135;1987:135,True,0,1986,135
1978,ADAMS-ARAPAHOE 28J,Arapahoe,1986;1987,1986:21797;1987:21797,True,0,1986,21797
1978,BYERS 32J,Arapahoe,1986;1987,1986:357;1987:357,True,0,1986,357
1978,ARCHULETA COUNTY 50 JT,Archuleta,1986;1987,1986:918;1987:918,True,0,1986,918
1978,WALSH RE-1,Baca,1986;1987,1986:412;1987:412,True,0,1986,412
1978,PRITCHETT RE-3,Baca,1986;1987,1986:86;1987:86,True,0,1986,86
1978,SPRINGFIELD RE-4,Baca,1986;1987,1986:510;1987:510,True,0,1986,510
1978,VILAS RE-5,Baca,1986;1987,1986:93;1987:93,True,0,1986,93
1978,CAMPO RE-6,Baca,1986;1987,1986:125;1987:125,True,0,1986,125
1978,LAS ANIMAS RE-1,Bent,1986;1987,1986:1004;1987:1004,True,0,1986,1004
1978,MC CLAVE RE-2,Bent,1986;1987,1986:214;1987:214,True,0,1986,214
1978,ST. VRAIN VALLEY RE 1J,Boulder,1986;1987,1986:14865;1987:14865,True,0,1986,14865
1978,BOULDER VALLEY RE 2(J),Boulder,1986;1987,1986:22191;1987:22191,True,0,1986,22191
1978,BUENA VISTA R-31,Chaffee,1986;1987,1986:1230;1987:1230,True,0,1986,1230
1978,SALIDA R-32(J),Chaffee,1986;1987,1986:1469;1987:1469,True,0,1986,1469
1978,KIT CARSON R-1,Cheyenne,1986;1987,1986:123;1987:123,True,0,1986,123
1978,CHEYENNE COUNTY RE-5*,Cheyenne,1986;1987,1986:296;1987:296,True,0,1986,296
1978,ARAPAHOE R-3*,Cheyenne,1986;1987,1986:63;1987:63,True,0,1986,63
1978,CLEAR CREEK RE-1,Clear Creek,1986;1987,1986:1397;1987:1397,True,0,1986,1397
1978,NORTH CONEJOS RE-1J,Conejos,1986;1987,1986:1209;1987:1209,True,0,1986,1209
1978,SANFORD 6J,Conejos,1986;1987,1986:333;1987:333,True,0,1986,333
1978,SOUTH CONEJOS RE-10,Conejos,1986;1987,1986:727;1987:727,True,0,1986,727
1978,CENTENNIAL R-1,Costilla,1986;1987,1986:576;1987:576,True,0,1986,576
1978,SIERRA GRANDE R-30,Costilla,1986;1987,1986:293;1987:293,True,0,1986,293
1978,CROWLEY COUNTY RE-1-J,Crowley,1986;1987,1986:514;1987:514,True,0,1986,514
1978,CONSOLIDATED C-1,Custer,1986;1987,1986:278;1987:278,True,0,1986,278
1978,DELTA COUNTY 50(J),Delta,1986;1987,1986:4209;1987:4209,True,0,1986,4209
1978,DENVER COUNTY 1,Denver,1986;1987,1986:68830;1987:68830,True,0,1986,68830
1978,DOLores COUNTY RE NO.1,Dolores,1986;1987,1986:362;1987:362,True,0,1986,362
1978,DOUGLAS COUNTY RE 1(J),Douglas,1986;1987,1986:6063;1987:6063,True,0,1986,6063
1978,EAGLE COUNTY RE 50(J),Eagle,1986;1987,1986:1894;1987:1894,True,0,1986,1894
1978,ELIZABETH C-1,Elbert,1986;1987,1986:812;1987:812,True,0,1986,812
1978,KIOWA C-2,Elbert,1986;1987,1986:177;1987:177,True,0,1986,177
1978,BIG SANDY 100(J),Elbert,1986;1987,1986:278;1987:278,True,0,1986,278
1978,ELBERT 200,Elbert,1986;1987,1986:173;1987:173,True,0,1986,173
1978,AGATE,Elbert,1986;1987,1986:39;1987:39,True,0,1986,39
1978,CALHAN,El Paso,1986;1987,1986:282;1987:282,True,0,1986,282
1978,HARRISON,El Paso,1986;1987,1986:7091;1987:7091,True,0,1986,7091
1978,WIDEFIELD,El Paso,1986;1987,1986:7306;1987:7306,True,0,1986,7306
1978,FOUNTAIN,El Paso,1986;1987,1986:3351;1987:3351,True,0,1986,3351
1978,COLORADO SPRINGS,El Paso,1986;1987,1986:32897;1987:32897,True,0,1986,32897
1978,CHEYENNE MOUNTAIN,El Paso,1986;1987,1986:2022;1987:2022,True,0,1986,2022
1978,MANITOU SPRINGS,El Paso,1986;1987,1986:1187;1987:1187,True,0,1986,1187
1978,ACADEMY 20,El Paso,1986;1987,1986:4969;1987:4969,True,0,1986,4969
1978,ELLICOTT 22,El Paso,1986;1987,1986:393;1987:393,True,0,1986,393
1978,PEYTON 23 JT,El Paso,1986;1987,1986:217;1987:217,True,0,1986,217
1978,HANOVER 28,El Paso,1986;1987,1986:59;1987:59,True,0,1986,59
1978,LEWIS-PALMER 38,El Paso,1986;1987,1986:1220;1987:1220,True,0,1986,1220
1978,FALCON 49,El Paso,1986;1987,1986:1239;1987:1239,True,0,1986,1239
1978,EDISON 54 JT,El Paso,1986;1987,1986:21;1987:21,True,0,1986,21
1978,MIAMI/YODER 60 JT,El Paso,1986;1987,1986:127;1987:127,True,0,1986,127
1978,CANON CITY RE-1,Fremont,1986;1987,1986:3526;1987:3526,True,0,1986,3526
1978,FLORENCE RE-2(J),Fremont,1986;1987,1986:1638;1987:1638,True,0,1986,1638
1978,COTOPAXI RE-3,Fremont,1986;1987,1986:197;1987:197,True,0,1986,197
1978,ROARING FORK RE-1(J),Garfield,1986;1987,1986:3224;1987:3224,True,0,1986,3224
1978,GILPIN COUNTY RE-1,Gilpin,1986;1987,1986:132;1987:132,True,0,1986,132
1978,WEST GRAND 1(JT),Grand,1986;1987,1986:482;1987:482,True,0,1986,482
1978,EAST GRAND 2,Grand,1986;1987,1986:934;1987:934,True,0,1986,934
1978,GUNNISON WATERSHED RE1J,Gunnison,1986;1987,1986:1425;1987:1425,True,0,1986,1425
1978,HINSDALE COUNTY RE. 1,Hinsdale,1986;1987,1986:34;1987:34,True,0,1986,34
1978,HUERFANO RE-1,Huerfano,1986;1987,1986:1041;1987:1041,True,0,1986,1041
1978,LA VETA RE-2,Huerfano,1986;1987,1986:177;1987:177,True,0,1986,177
1978,NORTH PARK R-1,Jackson,1986;1987,1986:419;1987:419,True,0,1986,419
1978,JEFFERSON COUNTY R-1,Jefferson,1986;1987,1986:80917;1987:80917,True,0,1986,80917
1978,EADS RE-1,Kiowa,1986;1987,1986:319;1987:319,True,0,1986,319
1978,PLAINVIEW RE-2,Kiowa,1986;1987,1986:96;1987:96,True,0,1986,96
1978,ARRIBA-FLAGLER C-20*,Kit Carson,1986;1987,1986:191;1987:191,True,0,1986,191
1978,HI-PLAINS R-23**,Kit Carson,1986;1987,1986:65;1987:65,True,0,1986,65
1978,VONA R-3,Kit Carson,1986;1987,1986:75;1987:75,True,0,1986,75
1978,STRATTON R-4,Kit Carson,1986;1987,1986:272;1987:272,True,0,1986,272
1978,BETHUNE R-5,Kit Carson,1986;1987,1986:126;1987:126,True,0,1986,126
1978,BURLINGTON RE-6J,Kit Carson,1986;1987,1986:1047;1987:1047,True,0,1986,1047
1978,LAKE COUNTY R-1,Lake,1986;1987,1986:1994;1987:1994,True,0,1986,1994
1978,DURANGO 9-R,La Plata,1986;1987,1986:3770;1987:3770,True,0,1986,3770
1978,BAYFIELD 10 JT-R,La Plata,1986;1987,1986:516;1987:516,True,0,1986,516
1978,IGNACIO 11 JT,La Plata,1986;1987,1986:945;1987:945,True,0,1986,945
1978,POUDRE R-1,Larimer,1986;1987,1986:14501;1987:14501,True,0,1986,14501
1978,THOMPSON R-2J,Larimer,1986;1987,1986:10004;1987:10004,True,0,1986,10004
1978,PARK (ESTES PARK) R-3(J),Larimer,1986;1987,1986:1151;1987:1151,True,0,1986,1151
1978,TRINIDAD 1,Las Animas,1986;1987,1986:1858;1987:1858,True,0,1986,1858
1978,PRIMERO REORGANIZED 2,Las Animas,1986;1987,1986:220;1987:220,True,0,1986,220
1978,HOEHNE REORGANIZED 3,Las Animas,1986;1987,1986:324;1987:324,True,0,1986,324
1978,AGUILAR REORGANIZED 6,Las Animas,1986;1987,1986:221;1987:221,True,0,1986,221
1978,BRANSON REORGANIZED 82,Las Animas,1986;1987,1986:69;1987:69,True,0,1986,69
1978,KIM REORGANIZED 88,Las Animas,1986;1987,1986:110;1987:110,True,0,1986,110
1978,GENOA-HUGO C113*,Lincoln,1986;1987,1986:214;1987:214,True,0,1986,214
