year,school_year,district_code,district_name,county_name,unit_type,fall_membership,closing_day_membership,average_daily_membership,adae,source
1977,1977-78,1040,ACADEMY 20,El Paso,district,4729.0,4676.0,4572.8,4389.9,yearbook-1986-table4
1977,1977-78,0030,ADAMS COUNTY 14,Adams,district,6274.0,6000.0,6109.0,5890.9,yearbook-1986-table4
1977,1977-78,0180,ADAMS-ARAPAHOE 28J,Arapahoe,district,21182.0,20811.0,20541.2,19719.6,yearbook-1986-table4
1977,1977-78,0960,AGATE,Elbert,district,40.0,46.0,41.5,41.0,yearbook-1986-table4
1977,1977-78,0100,ALAMOSA RE-11J,Alamosa,district,2318.0,2289.0,2299.9,2173.9,yearbook-1986-table4
1977,1977-78,,ARAPAHOE R-3*,Cheyenne,district,74.0,75.0,72.5,69.3,yearbook-1986-table4
1977,1977-78,0220,ARCHULETA COUNTY 50 JT,Archuleta,district,899.0,869.0,906.0,869.8,yearbook-1986-table4
1977,1977-78,,ARRIBA RE 31*,Lincoln,district,72.0,72.0,71.0,68.4,yearbook-1986-table4
1977,1977-78,1450,ARRIBA-FLAGLER C-20*,Kit Carson,district,192.0,195.0,187.0,181.0,yearbook-1986-table4
1977,1977-78,2640,ASPEN,Pitkin,district,1188.0,1134.0,1154.3,1108.1,yearbook-1986-table4
1977,1977-78,3145,AULT-HIGHLAND RE-9,Weld,district,897.0,884.0,879.2,844.0,yearbook-1986-table4
1977,1977-78,1530,BAYFIELD 10 JT-R,La Plata,district,548.0,515.0,560.0,534.4,yearbook-1986-table4
1977,1977-78,0050,BENNETT 29J,Adams,district,481.0,484.0,466.8,449.1,yearbook-1986-table4
1977,1977-78,1490,BETHUNE R-5,Kit Carson,district,135.0,130.0,128.8,123.3,yearbook-1986-table4
1977,1977-78,,BIG SANDY 100(J),Elbert,district,273.0,268.0,267.0,255.2,yearbook-1986-table4
1977,1977-78,,BOULDER VALLEY RE 2(J),Boulder,district,22916.0,22527.0,22336.9,21443.4,yearbook-1986-table4
1977,1977-78,0040,BRIGHTON 27J,Adams,district,4178.0,4081.0,4074.8,3911.8,yearbook-1986-table4
1977,1977-78,2395,BRUSH RE-2(J),Morgan,district,1504.0,1502.0,1458.7,1396.9,yearbook-1986-table4
1977,1977-78,0490,BUENA VISTA R-31,Chaffee,district,1162.0,1174.0,1140.7,1095.1,yearbook-1986-table4
1977,1977-78,,BUFFALO RE-4(J),Logan,district,289.0,296.0,288.2,278.6,yearbook-1986-table4
1977,1977-78,1500,BURLINGTON RE-6J,Kit Carson,district,1075.0,1045.0,1043.9,1002.1,yearbook-1986-table4
1977,1977-78,0190,BYERS 32J,Arapahoe,district,356.0,352.0,337.3,339.4,yearbook-1986-table4
1977,1977-78,0970,CALHAN,El Paso,district,301.0,301.0,300.0,284.3,yearbook-1986-table4
1977,1977-78,0270,CAMPO RE-6,Baca,district,135.0,139.0,136.0,134.0,yearbook-1986-table4
1977,1977-78,1140,CANON CITY RE-1,Fremont,district,3508.0,3498.0,3398.3,3256.6,yearbook-1986-table4
1977,1977-78,0640,CENTENNIAL R-1,Costilla,district,624.0,610.0,624.0,611.9,yearbook-1986-table4
1977,1977-78,2560,CHERAW 31,Otero,district,235.0,218.0,230.7,224.1,yearbook-1986-table4
1977,1977-78,0130,CHERRY CREEK 5,Arapahoe,district,17798.0,18136.0,17399.8,16703.8,yearbook-1986-table4
1977,1977-78,0520,CHEYENNE COUNTY RE-5*,Cheyenne,district,300.0,296.0,270.1,263.3,yearbook-1986-table4
1977,1977-78,1020,CHEYENNE MOUNTAIN,El Paso,district,1880.0,1933.0,1874.0,1799.8,yearbook-1986-table4
1977,1977-78,0540,CLEAR CREEK RE-1,Clear Creek,district,1125.0,1228.0,1202.7,1153.0,yearbook-1986-table4
1977,1977-78,1010,COLORADO SPRINGS,El Paso,district,33158.0,32681.0,32890.8,31250.5,yearbook-1986-table4
1977,1977-78,,CONSOLIDATED C-1,Custer,district,241.0,234.0,240.5,230.2,yearbook-1986-table4
1977,1977-78,1160,COTOPAXI RE-3,Fremont,district,171.0,187.0,173.5,163.0,yearbook-1986-table4
1977,1977-78,,COUNTY: LAS ANIMAS,Las Animas,district,342.0,347.0,341.3,332.4,yearbook-1986-table4
1977,1977-78,,COUNTY: LINCOLN,Lincoln,district,210.0,222.0,205.8,198.2,yearbook-1986-table4
1977,1977-78,,COUNTY: TELLER,Teller,district,272.0,271.0,275.6,262.8,yearbook-1986-table4
1977,1977-78,,COUNTY: WASHINGTON,Washington,district,537.0,521.0,519.4,498.8,yearbook-1986-table4
1977,1977-78,,COUNTY: WELD,Weld,district,1768.0,1770.0,1712.7,1640.4,yearbook-1986-table4
1977,1977-78,2010,CREEDE CONSOLIDATED 1,Mineral,district,207.0,202.0,194.5,187.1,yearbook-1986-table4
1977,1977-78,0770,CROWLEY COUNTY RE-1-J,Crowley,district,553.0,551.0,564.4,543.1,yearbook-1986-table4
1977,1977-78,1980,DEBEQUE 49JT,Mesa,district,122.0,131.0,120.5,116.9,yearbook-1986-table4
1977,1977-78,0170,DEER TRAIL 26J,Arapahoe,district,138.0,133.0,135.0,129.6,yearbook-1986-table4
1977,1977-78,2730,DEL NORTE,Rio Grande,district,847.0,820.0,817.1,784.4,yearbook-1986-table4
1977,1977-78,0870,DELTA COUNTY 50(J),Delta,district,4190.0,4084.0,4081.5,3924.2,yearbook-1986-table4
1977,1977-78,0880,DENVER COUNTY 1,Denver,district,71364.0,69081.0,68187.9,65460.4,yearbook-1986-table4
1977,1977-78,,DOLORRES RE-4A,Montezuma,district,522.0,517.0,522.6,501.0,yearbook-1986-table4
