year,county_name,district_code,district_name,school_code,school_name,grade,enrollment,source
2003,ADAMS,0010,MAPLETON 1,P003,ASSUMPTION SCHOOL,1,22,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P003,ASSUMPTION SCHOOL,10,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P003,ASSUMPTION SCHOOL,11,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P003,ASSUMPTION SCHOOL,12,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P003,ASSUMPTION SCHOOL,2,24,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P003,ASSUMPTION SCHOOL,3,24,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P003,ASSUMPTION SCHOOL,4,20,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P003,ASSUMPTION SCHOOL,5,12,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P003,ASSUMPTION SCHOOL,6,16,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P003,ASSUMPTION SCHOOL,7,12,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P003,ASSUMPTION SCHOOL,8,7,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P003,ASSUMPTION SCHOOL,9,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P003,ASSUMPTION SCHOOL,K,19,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P003,ASSUMPTION SCHOOL,PK,18,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P006,A CHILD'S TOUCH,1,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P006,A CHILD'S TOUCH,10,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P006,A CHILD'S TOUCH,11,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P006,A CHILD'S TOUCH,12,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P006,A CHILD'S TOUCH,2,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P006,A CHILD'S TOUCH,3,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P006,A CHILD'S TOUCH,4,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P006,A CHILD'S TOUCH,5,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P006,A CHILD'S TOUCH,6,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P006,A CHILD'S TOUCH,7,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P006,A CHILD'S TOUCH,8,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P006,A CHILD'S TOUCH,9,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P006,A CHILD'S TOUCH,K,40,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0010,MAPLETON 1,P006,A CHILD'S TOUCH,PK,59,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P004,COMMUNITY CHRISTIAN SCHOOL,1,25,nonpublic-2003-ed59017200346internet.xls
