year,district_code,district_name,school_code,school_name,county_name,teacher_fte,enrollment_reported,pupil_teacher_ratio,source
2000,0010,MAPLETON 1,0204,ALTERNATIVE SCHOOL,,5.507,196,35.6,staff-2000-ed288200021internet.pdf
2000,0010,MAPLETON 1,0798,BERTHA HEID ELEMENTARY SCHOOL,,36.0,610,16.9,staff-2000-ed288200021internet.pdf
2000,0010,MAPLETON 1,1656,CLAYTON ELEMENTARY SCHOOL,,17.3333,274,15.8,staff-2000-ed288200021internet.pdf
2000,0010,MAPLETON 1,3960,SKYVIEW HIGH SCHOOL,,54.5989,1126,20.6,staff-2000-ed288200021internet.pdf
2000,0010,MAPLETON 1,4436,JOHN DEWEY MIDDLE SCHOOL,,30.7291,568,18.5,staff-2000-ed288200021internet.pdf
2000,0010,MAPLETON 1,5539,MAPLETON PRESCHOOL,,5.4477,216,39.6,staff-2000-ed288200021internet.pdf
2000,0010,MAPLETON 1,5740,MEADOW ELEMENTARY SCHOOL,,27.0,527,19.5,staff-2000-ed288200021internet.pdf
2000,0010,MAPLETON 1,6016,MONTEREY ELEMENTARY SCHOOL,,17.0833,296,17.3,staff-2000-ed288200021internet.pdf
2000,0010,MAPLETON 1,9442,WESTERN HILLS ELEM SCHOOL,,31.5,656,20.8,staff-2000-ed288200021internet.pdf
2000,0010,MAPLETON 1,9780,YORK MIDDLE SCHOOL,,32.7005,584,17.9,staff-2000-ed288200021internet.pdf
2000,0020,NORTHGLENN-THORNTON 12,0015,ACADEMY OF CHARTER SCHOOLS,,52.8333,829,15.7,staff-2000-ed288200021internet.pdf
2000,0020,NORTHGLENN-THORNTON 12,0036,HIGH PLAINS HIGH SCHOOL,,0.1766,96,543.6,staff-2000-ed288200021internet.pdf
2000,0020,NORTHGLENN-THORNTON 12,0210,VANTAGE POINT,,12.8,342,26.7,staff-2000-ed288200021internet.pdf
2000,0020,NORTHGLENN-THORNTON 12,0301,ARAPAHOE RIDGE ELEMENTARY SCHL,,25.5,580,22.7,staff-2000-ed288200021internet.pdf
2000,0020,NORTHGLENN-THORNTON 12,1388,CENTENNIAL ELEMENTARY SCHOOL,,31.0,666,21.5,staff-2000-ed288200021internet.pdf
2000,0020,NORTHGLENN-THORNTON 12,1480,CENTURY MIDDLE SCHOOL,,47.0,1041,22.1,staff-2000-ed288200021internet.pdf
2000,0020,NORTHGLENN-THORNTON 12,1519,STARGATE CHARTER SCHOOL,,13.9485,241,17.3,staff-2000-ed288200021internet.pdf
2000,0020,NORTHGLENN-THORNTON 12,1914,COTTON CREEK ELEMENTARY SCHOOL,,26.5,554,20.9,staff-2000-ed288200021internet.pdf
2000,0020,NORTHGLENN-THORNTON 12,1937,COYOTE RIDGE ELEMENTARY SCHOOL,,16.5,292,17.7,staff-2000-ed288200021internet.pdf
2000,0020,NORTHGLENN-THORNTON 12,2031,CROSSROAD ALTERNATIVE SCHOOL,,4.5,55,12.2,staff-2000-ed288200021internet.pdf
2000,0020,NORTHGLENN-THORNTON 12,2361,EAGLEVIEW ELEMENTARY SCHOOL,,31.0,685,22.1,staff-2000-ed288200021internet.pdf
2000,0020,NORTHGLENN-THORNTON 12,2410,TARVER ELEMENTARY SCHOOL,,27.5,659,24.0,staff-2000-ed288200021internet.pdf
