ncessch,school_codes,names,district_codes,first_year,last_year,closure_label,closure_confidence,closure_evidence,latitude,longitude
080000100214,1608,CHEYENNE WELLS ELEM SCHOOL;CHEYENNE WELLS ELEMENTARY;CHEYENNE WELLS ELEMENTARY SCHOOL;Cheyenne Wells Elementary School,0520,1986,2024,still_open,high,reported in 2024,38.825162,-102.352919
080000100215,1612,CHEYENNE WELLS UND.HIGH SCHOOL;CHEYENNE WELLS HIGH SCHOOL;CHEYENNE WELLS JUNIOR/HIGH SCHOOL;Cheyenne Wells Junior/High School,0520,1986,2024,still_open,high,reported in 2024,38.822585,-102.353863
080000101428,1610,CHEYENNE WELLS MIDDLE SCHOOL,0520,1987,2014,closed,high,CCD school_status=2,38.813896,-102.353523
080000201130,7746,HI PLAINS UND HIGH SCHOOL;HIGH PLAINS UNITED HIGH SCHOOL,,1986,1991,renamed,low,another school carries the same name,,
080000201208,9164,HI PLAINS ELEM SCHOOL;HI PLAINS ELEMENTARY SCHOOL;HIGH PLAINS ELEMENTARY SCHOOL,,1986,1991,renamed,low,another school carries the same name,,
080000300685,4158,HUGO ELEM SCHOOL;GENOA-HUGO ELEMENTARY SCHOOL,,1986,1991,renamed,low,another school carries the same name,,
080000300686,4162,HUGO JR-SR HIGH SCHOOL;GENOA-HUGO MS-SR HIGH SCHOOL;GENOA-HUGO MIDDLE/SENIOR HIGH,,1986,1991,renamed,low,another school carries the same name,,
080000400709,2840,EXPEDITIONARY LEARNING SCHOOL;ROCKY MTN SCHOOL OF EXPEDITIONARY LRNG;ROCKY MOUNTAIN SCHOOL OF EXPEDITIONARY LEARNING;Rocky Mountain School of Expeditionary Learning,9130,1993,2024,still_open,high,reported in 2024,39.6854,-104.9211
080001401701,7635,SANTA FE TRAIL ALTERNTV CENTER;SANTA FE TRAIL ALTERNATIVE CEN,,1999,2000,closed,high,CCD school_status=2,,
080001401802,8818,THERAPEUTIC DAY TREATMENT;NEW HORIZON ACADEMY,,2000,2004,closed,high,CCD school_status=2,37.985807,-103.544174
080001601745,5221,LITTLE INDIANS PRESCHOOL;Little Indians Preschool;YUMA PRESCHOOL,3200,2001,2024,still_open,high,reported in 2024,40.123084,-102.732243
080001601819,9791,YUMA MIDDLE SCHOOL;Yuma Middle School,3200,2001,2024,still_open,high,reported in 2024,40.121014,-102.732147
080001601820,9795,KENNETH P MORRIS PRIMARY;KENNETH P MORRIS PRIMARY SCHOOL;KENNETH P MORRIS ELEMENTARY SCHOOL;Kenneth P Morris Elementary School,3200,2001,2024,still_open,high,reported in 2024,40.1224,-102.73128
080001601821,9799,YUMA HIGH SCHOOL;Yuma High School,3200,2001,2024,still_open,high,reported in 2024,40.115577,-102.723383
080001701816,9725,WRAY ELEMENTARY SCHOOL;Wray Elementary School,3210,2001,2024,still_open,high,reported in 2024,40.073986,-102.244019
080001701817,9729,BUCHANAN MIDDLE SCHOOL;Buchanan Middle School,3210,2001,2020,closed,high,CCD school_status=2,40.075,-102.2293
080001701818,9733,WRAY HIGH SCHOOL;Wray High School;Wray Junior Senior High School,3210,2001,2024,still_open,high,reported in 2024,40.073986,-102.244019
080001801741,4227,IDALIA ELEMENTARY SCHOOL;Idalia Elementary School,3220,2001,2024,still_open,high,reported in 2024,39.705006,-102.29442
080001801742,4231,IDALIA JR-SR HIGH SCHOOL;IDALIA JUNIOR-SENIOR HIGH SCHOOL;Idalia Junior-Senior High School,3220,2001,2024,still_open,high,reported in 2024,39.705006,-102.29442
080001901743,5119,LIBERTY ELEMENTARY SCHOOL,3230,2001,2016,closed,high,CCD school_status=2,39.655367,-102.624023
080001901744,5123,LIBERTY JR-SR HIGH SCHOOL;LIBERTY JUNIOR-SENIOR HIGH SCHOOL;LIBERTY SCHOOL;Liberty School,3230,2001,2024,still_open,high,reported in 2024,39.655308,-102.624259
080002000727,0015,ACADEMY OF CHARTER SCHOOLS;Academy of Charter Schools,8001,2014,2024,still_open,high,reported in 2024,39.911475,-105.033546
080002001569,2035,CROWN POINTE CHARTER ACADEMY;Crown Pointe Charter Academy,8001,2015,2024,still_open,high,reported in 2024,39.852125,-105.0239
080002001612,9785,YOUTH & FAMILY ACADEMY CHARTER,8001,2011,2017,closed,high,CCD school_status=2,38.27774,-104.609821
080002001720,0035,FRONTIER CHARTER ACADEMY,8001,2011,2019,closed,high,CCD school_status=2,39.037035,-104.292427
080002001780,4277,INDIAN PEAKS CHARTER SCHOOL,8001,2016,2019,closed,high,CCD school_status=2,40.090594,-105.942963
080002001876,1882,COMMUNITY LEADERSHIP ACADEMY;Community Leadership Academy,8001,2011,2024,still_open,high,reported in 2024,39.821277,-104.92129
080002001882,6219,NEW AMERICA SCHOOL - LOWRY;New America School - Lowry;New America School - Aurora,8001,2014,2024,still_open,high,reported in 2024,39.727323,-104.878068
080002001912,1791,COLORADO SPRINGS CHARTER ACADEMY;Colorado Springs Charter Academy,8001,2005,2024,still_open,high,reported in 2024,38.8696,-104.772307
080002001913,7512,ROSS MONTESSORI SCHOOL;Ross Montessori School,8001,2005,2024,still_open,high,reported in 2024,39.395413,-107.212398
080002001915,6914,THE PINNACLE CHARTER SCHOOL (HIGH);THE PINNACLE CHARTER SCHOOL HIGH;THE PINNACLE CHARTER SCHOOL;The Pinnacle Charter School,8001,2006,2024,still_open,high,reported in 2024,39.850399,-104.9986
080002001926,0654,THE PINNACLE CHARTER SCHOOL (ELEMENTARY);THE PINNACLE CHARTER SCHOOL ELEMENTARY,8001,2006,2018,closed,high,CCD school_status=2,39.850327,-104.998652
