year,cde_schools,ccd_schools,matched,exact_agreement,median_abs_diff,cde_total,ccd_total,cde_prek,ccd_prek,gap_excluding_prek
2004,1688,1664,1652,1203,0,766397,744720,21256,0,421
2005,1703,1676,1673,1200,0,779826,756615,23211,0,0
2006,1736,1706,1706,1213,0,793269,768945,24324,0,0
2007,1748,1728,1719,1204,0,801867,776218,25649,0,0
2008,1769,1749,1739,1218,0,817605,789714,27891,0,0
2009,1783,1760,1750,1218,0,831659,802616,29290,0,-247
2010,1787,1762,1752,1204,0,842617,812628,30236,0,-247
2011,1804,1776,1766,1221,0,853481,823084,30585,0,-188
2012,1816,1787,1778,1251,0,862946,833122,29999,0,-175
2013,1824,1790,1781,1257,0,876223,845032,31126,0,65
2014,1835,1791,1782,1219,0,888790,857278,31661,0,-149
2015,1852,1807,1797,1220,0,898864,866794,32224,0,-154
2016,1876,1826,1817,1221,0,904715,872436,32452,0,-173
2017,1888,1841,1832,1221,0,909892,877052,33048,0,-208
2018,1902,1854,1845,1227,0,911086,877625,33728,0,-267
2019,1906,1860,1848,1221,0,912769,878586,34425,0,-242
2020,1914,1859,1848,1227,0,883007,856433,26416,0,158
2021,1928,1875,1865,1111,0,886376,849691,30894,0,5791
2022,1933,1868,1859,1105,0,883081,838633,32205,0,12243
2023,1906,1845,1836,1035,0,881271,833573,32060,0,15638
2024,1903,1836,1828,1041,0,880892,833217,31861,0,15814
