year,Boulder Valley,Denver,Jefferson County,Douglas County,Cherry Creek,Aurora,Adams 12,St. Vrain Valley,Poudre,Academy 20,District 49,27J,Greeley-Evans,Colorado Springs 11,Thompson,Littleton,Harrison 2
1977,22736.0,68131.0,81372.0,5539.0,17748.0,20778.0,18762.0,14245.0,14442.0,4677.0,1135.0,4159.0,10112.0,32723.0,9383.0,17623.0,6800.0
1978,22017.0,65711.0,80632.0,6039.0,18978.0,21381.0,18842.0,14302.0,14438.0,4914.0,1238.0,4169.0,10191.0,32465.0,9838.0,17322.0,6934.0
1979,21190.0,62177.0,78911.0,6472.0,19943.0,22071.0,18410.0,14042.0,14687.0,5173.0,1369.0,4156.0,10144.0,31612.0,9974.0,17079.0,6864.0
1980,20654.0,61377.0,77792.0,6732.0,20819.0,22485.0,18097.0,14070.0,14683.0,5212.0,1362.0,4183.0,9922.0,30571.0,10035.0,16804.0,7059.0
1981,20359.0,59609.0,77002.0,7037.0,21825.0,22965.0,18123.0,14027.0,14907.0,5388.0,1461.0,4095.0,9915.0,30286.0,9975.0,16797.0,7173.0
1982,20163.0,59486.0,76261.0,7445.0,22605.0,23752.0,18471.0,13998.0,15167.0,5853.0,1539.0,4104.0,10170.0,29451.0,10202.0,16431.0,7357.0
1983,20092.0,57315.0,75572.0,7761.0,23368.0,24104.0,18712.0,14000.0,15656.0,6708.0,1599.0,4076.0,10352.0,29267.0,10237.0,16121.0,7464.0
1984,20152.0,57124.0,75377.0,8365.0,24583.0,24786.0,18813.0,14250.0,16031.0,7534.0,1755.0,4134.0,10457.0,29464.0,10492.0,16084.0,8189.0
1985,20327.0,57509.0,75672.0,8933.0,25259.0,25370.0,19209.0,14267.0,16505.0,8152.0,1994.0,4037.0,10584.0,29843.0,10874.0,15844.0,8829.0
1986,20550.0,57707.0,75441.0,9650.0,26416.0,25360.0,19915.0,14400.0,17003.0,9070.0,2318.0,4061.0,10878.0,30621.0,11150.0,15816.0,9253.0
1987,20710.0,56623.0,75124.0,10463.0,26633.0,25443.0,20116.0,14441.0,17337.0,9534.0,2443.0,4058.0,11019.0,30384.0,11310.0,15497.0,9470.0
1988,20746.0,55718.0,74899.0,11103.0,27133.0,25732.0,20261.0,14463.0,17497.0,10038.0,2439.0,4019.0,11104.0,29722.0,11565.0,15324.0,9391.0
1989,20933.0,55339.0,74724.0,12001.0,27954.0,25345.0,20651.0,14490.0,17965.0,10337.0,2460.0,3925.0,11099.0,29733.0,11621.0,15211.0,9731.0
1990,21482.0,55944.0,76124.0,13125.0,29190.0,25852.0,20810.0,14650.0,18589.0,10913.0,2483.0,3923.0,11604.0,29678.0,11879.0,15286.0,9640.0
1991,22450.0,58003.0,78895.0,14713.0,30640.0,26580.0,21407.0,15162.0,19420.0,11572.0,2564.0,4044.0,12057.0,30516.0,12137.0,15702.0,10150.0
1992,23498.0,59793.0,80908.0,16314.0,31845.0,27099.0,21895.0,15665.0,19988.0,12264.0,2650.0,4138.0,12506.0,31565.0,12469.0,15850.0,10481.0
1993,23997.0,59892.0,82336.0,17756.0,33187.0,27201.0,22478.0,15789.0,20485.0,13080.0,2846.0,4108.0,12703.0,31684.0,12757.0,15675.0,10704.0
1994,24553.0,60065.0,83370.0,19718.0,34304.0,27105.0,23106.0,16314.0,20845.0,13499.0,3191.0,4166.0,12905.0,32014.0,13036.0,15687.0,10753.0
1995,25022.0,61295.0,84678.0,21903.0,35535.0,27332.0,24214.0,16626.0,21283.0,14041.0,3581.0,4283.0,13207.0,32514.0,13311.0,15712.0,10678.0
1996,25434.0,63171.0,85797.0,24303.0,36891.0,27969.0,25037.0,16995.0,21661.0,14606.0,3955.0,4461.0,13636.0,32655.0,13673.0,15896.0,10582.0
1997,25963.0,64688.0,87038.0,26979.0,38405.0,28067.0,26257.0,17412.0,22466.0,15204.0,4563.0,4585.0,14006.0,32338.0,13904.0,15937.0,10454.0
1998,26660.0,65726.0,87582.0,29579.0,39771.0,28402.0,27348.0,17857.0,22988.0,15755.0,5046.0,4809.0,14339.0,32136.0,14042.0,16073.0,10444.0
1999,26711.0,66785.0,87504.0,32152.0,40768.0,28914.0,28235.0,18228.0,23336.0,16700.0,5407.0,5142.0,15100.0,31586.0,14046.0,16136.0,10443.0
2000,,,,,,,,,,,,,,,,,
2001,27715.0,68704.0,86172.0,37002.0,43405.0,30818.0,30757.0,19987.0,24152.0,17947.0,6848.0,6386.0,16257.0,32236.0,14650.0,16293.0,10798.0
2002,27506.0,68559.0,85531.0,39150.0,44654.0,31679.0,32816.0,20631.0,24270.0,18472.0,7756.0,7060.0,16834.0,31859.0,14783.0,16080.0,10558.0
2003,27563.0,68977.0,84601.0,41530.0,45389.0,31967.0,34248.0,20913.0,24281.0,18856.0,8567.0,8043.0,17307.0,31336.0,14681.0,16157.0,10721.0
2004,27640.0,69165.0,84285.0,43524.0,46576.0,31657.0,35686.0,21467.0,24428.0,19589.0,9864.0,8999.0,17684.0,30898.0,14681.0,15942.0,10482.0
2005,27586.0,68909.0,83713.0,46669.0,47354.0,32609.0,36953.0,22485.0,24628.0,20251.0,10417.0,10119.0,17803.0,30419.0,14774.0,15821.0,10923.0
2006,27820.0,68925.0,83429.0,49311.0,48357.0,32947.0,36649.0,23112.0,24817.0,20860.0,11942.0,11196.0,17653.0,29502.0,14976.0,15678.0,10736.0
2007,28104.0,69092.0,83480.0,51705.0,49114.0,32728.0,38126.0,23674.0,25039.0,21025.0,12586.0,12216.0,17900.0,28836.0,15013.0,15397.0,10700.0
2008,28261.0,70020.0,83147.0,57288.0,49587.0,34286.0,40007.0,24734.0,25303.0,21567.0,13412.0,13111.0,18301.0,28620.0,14987.0,15277.0,10451.0
2009,28434.0,72718.0,83394.0,58407.0,50110.0,35589.0,41170.0,25648.0,25677.0,22255.0,14148.0,13912.0,18520.0,28942.0,14779.0,15294.0,10776.0
2010,28921.0,73787.0,83017.0,59749.0,50478.0,37104.0,41196.0,26182.0,26174.0,22730.0,14435.0,14502.0,19029.0,28746.0,14847.0,15236.0,10712.0
2011,29055.0,76232.0,82784.0,61440.0,50903.0,38174.0,42181.0,26881.0,26747.0,23289.0,14704.0,15095.0,19392.0,28795.0,15143.0,15040.0,10694.0
2012,29280.0,78530.0,82530.0,63044.0,51750.0,38355.0,42428.0,28182.0,27115.0,23632.0,15173.0,15669.0,19813.0,28319.0,15479.0,15181.0,10754.0
2013,29663.0,81031.0,82942.0,64421.0,52560.0,39135.0,41333.0,28914.0,27635.0,24130.0,18580.0,16193.0,20442.0,27714.0,15619.0,15166.0,11179.0
2014,30032.0,83891.0,83603.0,64960.0,52805.0,40009.0,37665.0,29692.0,28216.0,24245.0,19274.0,16575.0,21183.0,27676.0,15588.0,15007.0,11441.0
2015,30331.0,85239.0,83750.0,65033.0,52919.0,40429.0,38205.0,30379.0,28687.0,24707.0,20269.0,16532.0,21499.0,27281.0,15484.0,15096.0,11777.0
2016,30271.0,86139.0,83412.0,65628.0,53087.0,39881.0,37688.0,30761.0,28821.0,25218.0,20505.0,16578.0,21938.0,27245.0,15708.0,14859.0,11746.0
2017,30391.0,86863.0,83129.0,65786.0,53956.0,39060.0,37702.0,30970.0,29175.0,25444.0,21078.0,17210.0,22219.0,26751.0,15717.0,14966.0,11771.0
2018,30313.0,86887.0,81676.0,65671.0,54227.0,38010.0,38040.0,31100.0,29670.0,25807.0,22079.0,18026.0,22310.0,25624.0,15608.0,14728.0,11708.0
2019,30112.0,86918.0,81236.0,65528.0,54411.0,38149.0,37448.0,31295.0,29885.0,26241.0,23497.0,18532.0,22264.0,25061.0,15600.0,14390.0,11518.0
2020,28511.0,85218.0,78002.0,61777.0,52804.0,36396.0,35817.0,30332.0,28770.0,25463.0,23658.0,18657.0,21704.0,23026.0,14556.0,13734.0,11177.0
2021,28229.0,84079.0,76120.0,62413.0,51821.0,36691.0,35019.0,31175.0,29116.0,26058.0,24378.0,19612.0,21962.0,22424.0,14829.0,13306.0,13002.0
2022,27679.0,83002.0,74769.0,61359.0,51131.0,37302.0,34631.0,31281.0,29188.0,26229.0,25190.0,21866.0,22143.0,21759.0,14691.0,13032.0,12606.0
2023,27446.0,83387.0,73590.0,60361.0,50680.0,37522.0,34054.0,31226.0,29083.0,26233.0,25348.0,22313.0,22322.0,21781.0,14535.0,12863.0,12386.0
2024,27221.0,85315.0,72828.0,59796.0,50736.0,38115.0,33566.0,31159.0,28772.0,26217.0,26150.0,23187.0,22684.0,22265.0,14233.0,12708.0,12301.0
