year,Boulder Valley,Denver,Jefferson County,Douglas County,Cherry Creek,Aurora,Adams 12,St. Vrain Valley,Poudre,Academy 20,District 49,27J,Greeley-Evans,Colorado Springs 11,Thompson,Littleton,Harrison 2
1977,82.0,99.2,94.4,15.0,40.9,67.4,61.0,71.3,59.8,26.1,16.6,65.1,62.2,101.5,64.1,108.2,63.0
1978,79.4,95.6,93.6,16.3,43.7,69.4,61.3,71.6,59.8,27.4,18.1,65.3,62.7,100.7,67.2,106.3,64.2
1979,76.5,90.5,91.6,17.5,45.9,71.6,59.9,70.3,60.8,28.8,20.0,65.1,62.4,98.1,68.1,104.8,63.6
1980,74.5,89.3,90.3,18.2,48.0,73.0,58.8,70.4,60.8,29.0,19.9,65.5,61.0,94.8,68.5,103.1,65.4
1981,73.5,86.8,89.4,19.0,50.3,74.5,58.9,70.2,61.7,30.0,21.3,64.1,61.0,94.0,68.1,103.1,66.4
1982,72.7,86.6,88.5,20.1,52.1,77.1,60.1,70.0,62.8,32.6,22.5,64.3,62.6,91.4,69.6,100.8,68.1
1983,72.5,83.4,87.7,21.0,53.8,78.2,60.8,70.0,64.8,37.4,23.4,63.8,63.7,90.8,69.9,98.9,69.1
1984,72.7,83.1,87.5,22.6,56.6,80.4,61.2,71.3,66.4,42.0,25.6,64.7,64.3,91.4,71.6,98.7,75.8
1985,73.3,83.7,87.8,24.1,58.2,82.3,62.5,71.4,68.3,45.4,29.1,63.2,65.1,92.6,74.2,97.2,81.8
1986,74.1,84.0,87.5,26.1,60.9,82.3,64.7,72.0,70.4,50.5,33.8,63.6,66.9,95.0,76.1,97.1,85.7
1987,74.7,82.4,87.2,28.3,61.4,82.6,65.4,72.3,71.8,53.1,35.7,63.5,67.8,94.3,77.2,95.1,87.7
1988,74.9,81.1,86.9,30.0,62.5,83.5,65.9,72.4,72.4,55.9,35.6,62.9,68.3,92.2,78.9,94.1,87.0
1989,75.5,80.5,86.7,32.4,64.4,82.2,67.1,72.5,74.4,57.6,35.9,61.5,68.3,92.2,79.3,93.4,90.1
1990,77.5,81.4,88.3,35.5,67.3,83.9,67.7,73.3,77.0,60.8,36.3,61.4,71.4,92.1,81.1,93.8,89.3
1991,81.0,84.4,91.6,39.8,70.6,86.2,69.6,75.9,80.4,64.5,37.4,63.3,74.2,94.7,82.8,96.4,94.0
1992,84.8,87.0,93.9,44.1,73.4,87.9,71.2,78.4,82.8,68.3,38.7,64.8,76.9,97.9,85.1,97.3,97.1
1993,86.6,87.2,95.5,48.0,76.5,88.3,73.1,79.0,84.8,72.9,41.6,64.3,78.1,98.3,87.1,96.2,99.1
1994,88.6,87.4,96.7,53.3,79.0,88.0,75.1,81.6,86.3,75.2,46.6,65.2,79.4,99.3,89.0,96.3,99.6
1995,90.3,89.2,98.3,59.2,81.9,88.7,78.7,83.2,88.1,78.2,52.3,67.1,81.2,100.9,90.9,96.4,98.9
1996,91.8,91.9,99.6,65.7,85.0,90.8,81.4,85.0,89.7,81.4,57.8,69.9,83.9,101.3,93.3,97.6,98.0
1997,93.7,94.2,101.0,72.9,88.5,91.1,85.4,87.1,93.0,84.7,66.6,71.8,86.2,100.3,94.9,97.8,96.8
1998,96.2,95.7,101.6,79.9,91.6,92.2,88.9,89.3,95.2,87.8,73.7,75.3,88.2,99.7,95.8,98.6,96.7
1999,96.4,97.2,101.5,86.9,93.9,93.8,91.8,91.2,96.6,93.1,79.0,80.5,92.9,98.0,95.9,99.0,96.7
2000,,,,,,,,,,,,,,,,,
2001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2002,99.2,99.8,99.3,105.8,102.9,102.8,106.7,103.2,100.5,102.9,113.3,110.6,103.5,98.8,100.9,98.7,97.8
2003,99.5,100.4,98.2,112.2,104.6,103.7,111.4,104.6,100.5,105.1,125.1,125.9,106.5,97.2,100.2,99.2,99.3
2004,99.7,100.7,97.8,117.6,107.3,102.7,116.0,107.4,101.1,109.1,144.0,140.9,108.8,95.8,100.2,97.8,97.1
2005,99.5,100.3,97.1,126.1,109.1,105.8,120.1,112.5,102.0,112.8,152.1,158.5,109.5,94.4,100.8,97.1,101.2
2006,100.4,100.3,96.8,133.3,111.4,106.9,119.2,115.6,102.8,116.2,174.4,175.3,108.6,91.5,102.2,96.2,99.4
2007,101.4,100.6,96.9,139.7,113.2,106.2,124.0,118.4,103.7,117.2,183.8,191.3,110.1,89.5,102.5,94.5,99.1
2008,102.0,101.9,96.5,154.8,114.2,111.3,130.1,123.8,104.8,120.2,195.9,205.3,112.6,88.8,102.3,93.8,96.8
2009,102.6,105.8,96.8,157.8,115.4,115.5,133.9,128.3,106.3,124.0,206.6,217.9,113.9,89.8,100.9,93.9,99.8
2010,104.4,107.4,96.3,161.5,116.3,120.4,133.9,131.0,108.4,126.7,210.8,227.1,117.1,89.2,101.3,93.5,99.2
2011,104.8,111.0,96.1,166.0,117.3,123.9,137.1,134.5,110.7,129.8,214.7,236.4,119.3,89.3,103.4,92.3,99.0
2012,105.6,114.3,95.8,170.4,119.2,124.5,137.9,141.0,112.3,131.7,221.6,245.4,121.9,87.8,105.7,93.2,99.6
2013,107.0,117.9,96.3,174.1,121.1,127.0,134.4,144.7,114.4,134.5,271.3,253.6,125.7,86.0,106.6,93.1,103.5
2014,108.4,122.1,97.0,175.6,121.7,129.8,122.5,148.6,116.8,135.1,281.5,259.6,130.3,85.9,106.4,92.1,106.0
2015,109.4,124.1,97.2,175.8,121.9,131.2,124.2,152.0,118.8,137.7,296.0,258.9,132.2,84.6,105.7,92.7,109.1
2016,109.2,125.4,96.8,177.4,122.3,129.4,122.5,153.9,119.3,140.5,299.4,259.6,134.9,84.5,107.2,91.2,108.8
2017,109.7,126.4,96.5,177.8,124.3,126.7,122.6,155.0,120.8,141.8,307.8,269.5,136.7,83.0,107.3,91.9,109.0
2018,109.4,126.5,94.8,177.5,124.9,123.3,123.7,155.6,122.8,143.8,322.4,282.3,137.2,79.5,106.5,90.4,108.4
2019,108.6,126.5,94.3,177.1,125.4,123.8,121.8,156.6,123.7,146.2,343.1,290.2,137.0,77.7,106.5,88.3,106.7
2020,102.9,124.0,90.5,167.0,121.7,118.1,116.5,151.8,119.1,141.9,345.5,292.2,133.5,71.4,99.4,84.3,103.5
2021,101.9,122.4,88.3,168.7,119.4,119.1,113.9,156.0,120.6,145.2,356.0,307.1,135.1,69.6,101.2,81.7,120.4
2022,99.9,120.8,86.8,165.8,117.8,121.0,112.6,156.5,120.9,146.1,367.8,342.4,136.2,67.5,100.3,80.0,116.7
2023,99.0,121.4,85.4,163.1,116.8,121.8,110.7,156.2,120.4,146.2,370.2,349.4,137.3,67.6,99.2,78.9,114.7
2024,98.2,124.2,84.5,161.6,116.9,123.7,109.1,155.9,119.1,146.1,381.9,363.1,139.5,69.1,97.2,78.0,113.9
