year,schools,enrollment,teacher_fte
1986,42,20751.0,1002.0
1987,41,20835.0,1127.0
1988,42,20825.0,1122.0
1989,42,21013.0,1149.0
1990,43,21502.0,1141.0
1991,46,22534.0,1137.0
1992,46,23587.0,1317.0
1993,47,24085.0,1333.0
1994,47,24658.0,1393.0
1995,50,25230.0,1328.0
1996,51,25648.0,1347.0
1997,52,26192.0,1401.0
1998,55,26880.0,1441.0
1999,57,26974.0,1578.0
2000,60,27508.0,1572.0
2001,58,27963.0,1678.0
2002,58,27764.0,1696.0
2003,58,27804.0,1585.0
2004,53,27926.0,1656.0
2005,53,27933.0,1654.0
2006,54,28171.0,1700.0
2007,54,28543.0,1717.0
2008,54,28743.0,1730.0
2009,54,28938.0,1708.0
2010,55,29526.0,1682.0
2011,55,29780.0,1704.0
2012,56,30041.0,1703.0
2013,57,30546.0,1683.0
2014,57,30908.0,1668.0
2015,57,31247.0,1639.0
2016,57,31189.0,1693.0
2017,57,31282.0,1688.0
2018,56,31169.0,1721.0
2019,56,31000.0,1787.0
2020,56,29272.0,1690.0
2021,56,29043.0,1682.0
2022,56,28487.0,1682.0
2023,56,28362.0,1646.0
2024,56,27991.0,1583.0
