year,datatype,pop_5_17,schools_observed,teacher_fte_observed,schools_fitted,schools_low,schools_high,teacher_fte_fitted,teacher_fte_low,teacher_fte_high
1990,Estimate,36200,43.0,1141.0,47.8,,,1297.1,,
1991,Estimate,37256,46.0,1137.0,48.4,,,1327.5,,
1992,Estimate,38669,46.0,1317.0,49.3,,,1367.1,,
1993,Estimate,40332,47.0,1333.0,50.2,,,1413.1,,
1994,Estimate,41448,47.0,1393.0,50.9,,,1444.6,,
1995,Estimate,42464,50.0,1328.0,51.5,,,1473.4,,
1996,Estimate,43408,51.0,1347.0,52.0,,,1500.4,,
1997,Estimate,44362,52.0,1401.0,52.6,,,1527.5,,
1998,Estimate,45952,55.0,1441.0,53.4,,,1570.8,,
1999,Estimate,47852,57.0,1578.0,54.4,,,1621.7,,
2000,Estimate,45400,60.0,1571.8,53.3,,,1562.2,,
2001,Estimate,46840,58.0,1677.9,54.1,,,1601.7,,
2002,Estimate,46661,58.0,1696.2,54.1,,,1600.0,,
2003,Estimate,45891,58.0,1584.8,53.8,,,1583.1,,
2004,Estimate,45409,53.0,1656.4,53.6,,,1573.5,,
2005,Estimate,44843,53.0,1653.8,53.4,,,1561.6,,
2006,Estimate,45246,54.0,1699.8,53.7,,,1574.8,,
2007,Estimate,45553,54.0,1716.6,53.9,,,1585.5,,
2008,Estimate,45954,54.0,1729.9,54.2,,,1598.7,,
2009,Estimate,46149,54.0,1707.9,54.4,,,1606.5,,
2010,Estimate,46415,55.0,1681.8,54.6,,,1616.3,,
2011,Estimate,47258,55.0,1704.3,55.1,,,1640.9,,
2012,Estimate,48157,56.0,1702.8,55.6,,,1667.0,,
2013,Estimate,49022,57.0,1683.4,56.1,,,1692.2,,
2014,Estimate,49229,57.0,1667.7,56.3,,,1700.5,,
2015,Estimate,50085,57.0,1638.9,56.7,,,1725.5,,
2016,Estimate,50043,57.0,1692.9,56.8,,,1727.4,,
2017,Estimate,49929,57.0,1688.0,56.8,,,1727.5,,
2018,Estimate,49698,56.0,1720.6,56.8,,,1724.6,,
2019,Estimate,49136,56.0,1787.1,56.6,,,1713.1,,
2020,Estimate,48100,56.0,1690.0,56.2,,,1689.1,,
2021,Estimate,47061,56.0,1682.0,55.7,,,1664.8,,
2022,Estimate,46265,56.0,1682.3,55.4,,,1646.7,,
2023,Estimate,44981,56.0,1646.3,54.8,,,1615.5,,
2024,Estimate,43997,56.0,1582.6,54.4,52.4,56.4,1591.9,1537.3,1648.5
2025,Forecast,42745,,,53.8,51.7,56.0,1560.8,1504.4,1619.4
2026,Forecast,41504,,,53.2,51.0,55.5,1529.7,1471.1,1590.6
2027,Forecast,40806,,,52.9,50.6,55.4,1513.2,1452.0,1576.9
2028,Forecast,39999,,,52.5,50.1,55.2,1493.5,1429.8,1560.0
2029,Forecast,39298,,,52.2,49.6,55.0,1476.6,1410.3,1545.9
2030,Forecast,38685,,,52.0,49.2,54.8,1462.0,1393.2,1534.2
2031,Forecast,38126,,,51.7,48.8,54.7,1448.8,1377.4,1523.8
2032,Forecast,37596,,,51.5,48.5,54.6,1436.3,1362.4,1514.2
2033,Forecast,37240,,,51.3,48.3,54.6,1428.7,1352.3,1509.3
2034,Forecast,37077,,,51.3,48.1,54.7,1426.5,1347.7,1510.0
2035,Forecast,37139,,,51.4,48.1,54.9,1430.8,1349.4,1517.1
2036,Forecast,37262,,,51.6,48.2,55.2,1436.9,1352.8,1526.1
2037,Forecast,37465,,,51.8,48.3,55.5,1445.2,1358.5,1537.5
2038,Forecast,37670,,,51.9,48.4,55.8,1453.6,1364.1,1549.1
2039,Forecast,37940,,,52.2,48.5,56.1,1464.0,1371.5,1562.7
2040,Forecast,38270,,,52.4,48.7,56.5,1476.0,1380.5,1578.1
2041,Forecast,38672,,,52.7,48.9,56.9,1490.1,1391.4,1595.9
2042,Forecast,39150,,,53.1,49.2,57.3,1506.5,1404.2,1616.1
2043,Forecast,39582,,,53.4,49.4,57.8,1521.5,1415.7,1635.1
2044,Forecast,39992,,,53.7,49.6,58.2,1535.9,1426.5,1653.6
2045,Forecast,40354,,,54.0,49.8,58.6,1548.9,1435.9,1670.8
2046,Forecast,40687,,,54.3,49.9,59.0,1561.1,1444.5,1687.2
2047,Forecast,40972,,,54.5,50.1,59.3,1572.0,1451.8,1702.2
2048,Forecast,41193,,,54.7,50.2,59.7,1581.1,1457.3,1715.4
2049,Forecast,41332,,,54.9,50.2,59.9,1587.9,1460.7,1726.1
2050,Forecast,41372,,,55.0,50.2,60.2,1591.8,1461.5,1733.7
2051,Forecast,41329,,,55.0,50.1,60.4,1593.4,1460.1,1738.8
2052,Forecast,41202,,,55.0,50.0,60.5,1592.5,1456.5,1741.3
2053,Forecast,40997,,,55.0,49.9,60.6,1589.4,1450.8,1741.2
2054,Forecast,40722,,,54.9,49.7,60.6,1584.3,1443.3,1739.0
2055,Forecast,40389,,,54.8,49.5,60.6,1577.4,1434.3,1734.8
2056,Forecast,40007,,,54.6,49.3,60.6,1569.0,1423.9,1729.0
2057,Forecast,39586,,,54.5,49.0,60.6,1559.5,1412.4,1721.8
2058,Forecast,39135,,,54.3,48.7,60.5,1549.0,1400.1,1713.6
2059,Forecast,38673,,,54.1,48.4,60.4,1538.0,1387.5,1704.9
2060,Forecast,38207,,,53.9,48.1,60.3,1526.9,1374.7,1696.0
