area_name,children_5_10,status,sends_to,receives_from,capacity,enrolment_2024,utilisation_2024,pupils_2027_no_change,pupils_2027_approved,utilisation_2027_approved,over_capacity_2027
Bear Creek,202.0,takes a closing area,,Mesa,475.0,318.0,66.9,295.0,508.0,107.0,yes
Aspen Creek (K-5),471.0,stays open,,,475.0,443.0,93.3,411.0,411.0,86.5,no
BC-Mesa,180.0,not modelled,,,,,,,,,
Birch,379.0,closes,Kohl,,436.0,277.0,63.5,257.0,,,
Coal Creek,456.0,takes a closing area,,Douglass,496.0,283.0,57.1,262.0,329.0,66.2,no
Columbine,737.0,stays open,,,579.0,343.0,59.2,318.0,318.0,54.9,no
BC-Creekside,61.0,not modelled,,,,,,,,,
Creekside,614.0,stays open,,,484.0,328.0,67.8,304.0,304.0,62.9,no
Crest View,1033.0,stays open,,,685.0,390.0,56.9,362.0,362.0,52.8,no
Douglass,425.0,closes,"Coal Creek, Eisenhower, Heatherwood",,491.0,282.0,57.4,262.0,,,
Eisenhower,541.0,takes a closing area,,Douglass,613.0,277.0,45.2,257.0,358.0,58.3,no
Eldorado (K-5),378.0,stays open,,,470.0,256.0,54.5,237.0,237.0,50.5,no
Emerald,473.0,stays open,,,454.0,347.0,76.4,322.0,322.0,70.9,no
Fireside,380.0,takes a closing area,,Monarch,475.0,398.0,83.8,369.0,478.0,100.7,yes
Flatirons,404.0,closes,"Whittier, Foothill",,337.0,163.0,48.4,151.0,,,
Foothill,686.0,takes a closing area,,Flatirons,644.0,419.0,65.1,389.0,491.0,76.3,no
Gold Hill,8.0,mountain school,,,37.0,10.0,27.0,9.0,9.0,25.1,no
Heatherwood,437.0,takes a closing area,,Douglass,552.0,234.0,42.4,217.0,312.0,56.5,no
Jamestown,26.0,mountain school,,,19.0,17.0,89.5,16.0,16.0,83.0,no
Kohl,323.0,takes a closing area,,Birch,521.0,254.0,48.8,236.0,492.0,94.5,no
Meadowlark,680.0,not modelled,,,,,,,,,
Louisville,723.0,stays open,,,572.0,417.0,72.9,387.0,387.0,67.6,no
Monarch (K-5),347.0,elementary programme closes,"Fireside, Superior",,423.0,266.0,62.9,247.0,,,
Nederland,249.0,mountain school,,,405.0,172.0,42.5,160.0,160.0,39.4,no
Ryan,783.0,stays open,,,512.0,411.0,80.3,381.0,381.0,74.5,no
Sanchez,663.0,stays open,,,301.0,290.0,96.3,269.0,269.0,89.4,no
Superior,506.0,takes a closing area,,Monarch,521.0,418.0,80.2,388.0,525.0,100.8,yes
Whittier,447.0,takes a closing area,,Flatirons,371.0,269.0,72.5,249.0,298.0,80.4,no
Mesa,301.0,closes,Bear Creek,,485.0,230.0,47.4,213.0,,,
Lafayette,808.0,stays open,,,623.0,465.0,74.6,431.0,431.0,69.2,no
