school,latitude,longitude,status,capacity,enrolment_2024,pupils_2027_approved
Bear Creek,39.9804,-105.2632,takes a closing area,475.0,318.0,508.0
Aspen Creek (K-5),39.9469,-105.0567,stays open,475.0,443.0,411.0
Birch,39.9304,-105.0595,closes,436.0,277.0,
Coal Creek,39.9828,-105.1577,takes a closing area,496.0,283.0,329.0
Columbine,40.0324,-105.268941,stays open,579.0,343.0,318.0
Creekside,39.990267,-105.249807,stays open,484.0,328.0,304.0
Crest View,40.0516,-105.274,stays open,685.0,390.0,362.0
Douglass,40.002405,-105.176912,closes,491.0,282.0,
Eisenhower,40.0082,-105.2339,takes a closing area,613.0,277.0,358.0
Eldorado (K-5),39.9214,-105.1613,stays open,470.0,256.0,237.0
Emerald,39.921066,-105.077922,stays open,454.0,347.0,322.0
Fireside,39.9693,-105.1576,takes a closing area,475.0,398.0,478.0
Flatirons,40.0083,-105.2851,closes,337.0,163.0,
Foothill,40.0356,-105.2842,takes a closing area,644.0,419.0,491.0
Gold Hill,40.0631,-105.4125,mountain school,37.0,10.0,9.0
Heatherwood,40.0575,-105.1725,takes a closing area,552.0,234.0,312.0
Jamestown,40.1146,-105.3881,mountain school,19.0,17.0,16.0
Kohl,39.928,-105.0822,takes a closing area,521.0,254.0,492.0
Louisville,39.9751,-105.1383,stays open,572.0,417.0,387.0
Monarch (K-5),39.9517,-105.1437,elementary programme closes,423.0,266.0,
Nederland,39.9694,-105.5178,mountain school,405.0,172.0,160.0
Ryan,39.9809,-105.1102,stays open,512.0,411.0,381.0
Sanchez,39.9893,-105.0841,stays open,301.0,290.0,269.0
Superior,39.9378,-105.1564,takes a closing area,521.0,418.0,525.0
Whittier,40.0217,-105.2695,takes a closing area,371.0,269.0,298.0
Mesa,39.9722,-105.2608,closes,485.0,230.0,
Lafayette,39.9982,-105.0963,stays open,623.0,465.0,431.0
