attendance_area,children_living_in_area,share_staying,enrolment,children_leaving,status
Bear Creek*,162.0,80.9,312.0,29.0,staying open
Columbine,501.0,44.1,313.0,252.0,staying open
Creekside*,439.0,54.7,288.0,192.0,staying open
Crest View,657.0,46.1,330.0,337.0,staying open
Douglass,260.0,63.1,281.0,92.0,closing
Eisenhower,361.0,57.1,265.0,139.0,staying open
Flatirons,195.0,59.5,151.0,72.0,closing
Foothill,387.0,78.6,434.0,80.0,staying open
Heatherwood,281.0,67.6,225.0,81.0,staying open
Mesa*,176.0,67.0,224.0,55.0,closing
Whittier,287.0,53.0,257.0,127.0,staying open
Aspen Creek K-8,320.0,76.2,472.0,68.0,staying open
Birch,266.0,68.8,259.0,78.0,closing
Emerald,328.0,74.1,365.0,74.0,staying open
Kohl,271.0,69.0,256.0,70.0,staying open
Ryan,589.0,58.1,393.0,219.0,staying open
Sanchez,642.0,35.0,276.0,378.0,staying open
Meadowlark,588.0,69.0,471.0,174.0,staying open
Coal Creek,324.0,68.8,269.0,94.0,staying open
Fireside,298.0,86.9,405.0,36.0,staying open
Monarch K-8,310.0,48.1,264.0,152.0,closing
Eldorado K-8,246.0,68.7,252.0,71.0,staying open
Superior,360.0,86.9,433.0,39.0,staying open
Gold Hill,11.0,63.6,11.0,3.0,staying open
Jamestown,11.0,54.5,17.0,3.0,staying open
