attendance_area,share_2017,share_2026,change_points,children_2026,leaving_2026,status
Gold Hill,100.0,63.6,-36.4,11.0,3.0,staying open
Monarch K-8,72.7,48.1,-24.6,310.0,152.0,closing
Whittier,75.7,53.0,-22.7,287.0,127.0,staying open
Douglass,78.0,63.1,-15.0,260.0,92.0,closing
Eldorado K-8,83.4,68.7,-14.7,246.0,71.0,staying open
Columbine,58.1,44.1,-14.0,501.0,252.0,staying open
Crest View,59.5,46.1,-13.4,657.0,337.0,staying open
Heatherwood,80.6,67.6,-13.0,281.0,81.0,staying open
Coal Creek,81.7,68.8,-12.8,324.0,94.0,staying open
Mesa*,78.9,67.0,-11.9,176.0,55.0,closing
Kohl,80.2,69.0,-11.2,271.0,70.0,staying open
Flatirons,68.6,59.5,-9.1,195.0,72.0,closing
Sanchez,44.1,35.0,-9.1,642.0,378.0,staying open
Eisenhower,64.2,57.1,-7.2,361.0,139.0,staying open
Bear Creek*,87.7,80.9,-6.9,162.0,29.0,staying open
Louisville,81.9,76.8,-5.1,413.0,87.0,staying open
Lafayette,58.1,55.1,-3.0,601.0,260.0,staying open
Nederland,84.2,82.7,-1.5,197.0,32.0,staying open
Optional Bear Creek/Mesa,80.3,78.8,-1.5,137.0,24.0,staying open
Birch,69.3,68.8,-0.5,266.0,78.0,closing
Ryan,58.6,58.1,-0.5,589.0,219.0,staying open
Jamestown,54.5,54.5,0.0,11.0,3.0,staying open
Superior,85.7,86.9,1.3,360.0,39.0,staying open
Foothill,76.6,78.6,2.0,387.0,80.0,staying open
Fireside,84.9,86.9,2.0,298.0,36.0,staying open
Aspen Creek K-8,74.2,76.2,2.0,320.0,68.0,staying open
Emerald,66.1,74.1,8.0,328.0,74.0,staying open
Creekside*,42.8,54.7,11.9,439.0,192.0,staying open
Meadowlark,,,,588.0,174.0,staying open
Optional Bear Creek/Creekside,,,,27.0,7.0,staying open
