district_name,schools,pop_change,schools_change,boulder_valley
Rangely RE-4,2.0,-62.3,-30.4,False
Meeker RE-1,3.0,-62.3,-30.4,False
Trinidad 1,3.0,-51.6,-22.6,False
Aguilar Reorganized 6,2.0,-51.6,-22.6,False
Primero Reorganized 2,2.0,-51.6,-22.6,False
Kim Reorganized 88,2.0,-51.6,-22.6,False
Branson Reorganized 82,2.0,-51.6,-22.6,False
Hoehne Reorganized 3,1.0,-51.6,-22.6,False
Sargent RE-33J,3.0,-47.9,-20.2,False
Monte Vista C-8,6.0,-47.9,-20.2,False
Upper Rio Grande School District C-7,2.0,-47.9,-20.2,False
Las Animas RE-1,5.0,-44.4,-18.0,False
McClave Re-2,2.0,-44.4,-18.0,False
Pueblo County 70,26.0,-44.0,-17.7,False
Pueblo City 60,32.0,-44.0,-17.7,False
Otis R-3,2.0,-43.7,-17.5,False
Lone Star 101,3.0,-43.7,-17.5,False
Woodlin R-104,2.0,-43.7,-17.5,False
Arickaree R-2,2.0,-43.7,-17.5,False
Akron R-1,2.0,-43.7,-17.5,False
Centennial R-1,1.0,-37.7,-13.9,False
Sierra Grande R-30,1.0,-37.7,-13.9,False
Cheyenne County Re-5,2.0,-36.9,-13.4,False
Kit Carson R-1,2.0,-36.9,-13.4,False
Swink 33,2.0,-36.0,-12.9,False
Manzanola 3J,2.0,-36.0,-12.9,False
Fowler R-4J,3.0,-36.0,-12.9,False
East Otero R-1,4.0,-36.0,-12.9,False
Rocky Ford R-2,2.0,-36.0,-12.9,False
Cheraw 31,1.0,-36.0,-12.9,False
Montezuma-Cortez RE-1,10.0,-34.2,-11.9,False
Mancos Re-6,4.0,-34.2,-11.9,False
Dolores RE-4A,4.0,-34.2,-11.9,False
Huerfano Re-1,3.0,-32.7,-11.0,False
La Veta Re-2,2.0,-32.7,-11.0,False
Frenchman RE-3,2.0,-32.5,-11.0,False
Buffalo RE-4J,2.0,-32.5,-11.0,False
Plateau RE-5,2.0,-32.5,-11.0,False
Valley RE-1,7.0,-32.5,-11.0,False
Holly RE-3,1.0,-32.0,-10.7,False
Wiley RE-13 Jt,2.0,-32.0,-10.7,False
Granada RE-1,2.0,-32.0,-10.7,False
Lamar Re-2,6.0,-32.0,-10.7,False
Creede School District,1.0,-28.7,-8.8,False
Hinsdale County RE 1,1.0,-24.8,-6.8,False
Idalia RJ-3,2.0,-22.5,-5.6,False
Wray RD-2,2.0,-22.5,-5.6,False
Yuma 1,4.0,-22.5,-5.6,False
Liberty J-4,1.0,-22.5,-5.6,False
Sanford 6J,2.0,-22.3,-5.5,False
South Conejos RE-10,3.0,-22.3,-5.5,False
North Conejos RE-1J,5.0,-22.3,-5.5,False
Limon RE-4J,2.0,-22.3,-5.5,False
Genoa-Hugo C113,1.0,-22.3,-5.5,False
Karval RE-23,2.0,-22.3,-5.5,False
