district_name,average_school,schools,enrollment,boulder_valley
Colorado Springs 11,371.0,60.0,22265.0,False
Pueblo County 70,400.0,26.0,10392.0,False
Harrison 2,424.0,29.0,12301.0,False
Mesa County Valley 51,433.0,46.0,19900.0,False
Pueblo City 60,440.0,32.0,14089.0,False
Denver County 1,457.0,198.0,90450.0,False
Thompson R2-J,461.0,32.0,14751.0,False
Boulder Valley Re 2,500.0,56.0,27991.0,True
Jefferson County R-1,524.0,144.0,75495.0,False
Poudre R-1,557.0,53.0,29544.0,False
St Vrain Valley RE1J,589.0,55.0,32414.0,False
Adams 12 Five Star Schools,638.0,54.0,34466.0,False
Littleton 6,656.0,20.0,13110.0,False
Adams-Arapahoe 28J,664.0,60.0,39813.0,False
Academy 20,664.0,40.0,26569.0,False
Douglas County Re 1,695.0,89.0,61851.0,False
Greeley 6,701.0,33.0,23124.0,False
School District 27J,706.0,34.0,24014.0,False
Cherry Creek 5,763.0,69.0,52672.0,False
District 49,808.0,33.0,26649.0,False
