tract2000,children_2000,children_2020,change,pct_change,people_per_sq_mi_2000
08013012907,608,577.0,-31.0,-5.1,1105.0
08013012906,663,884.0,221.0,33.3,1387.0
08013012509,527,682.0,155.0,29.4,4625.0
08013012507,367,385.0,18.0,4.9,6792.0
08013012505,518,704.0,186.0,35.9,687.0
08013012101,672,821.0,149.0,22.2,4294.0
08013012206,321,315.0,-6.0,-1.9,1697.0
08013012705,472,362.0,-110.0,-23.3,2016.0
08013013107,842,714.0,-128.0,-15.2,461.0
08013013005,635,668.0,33.0,5.2,4182.0
08013012508,296,321.0,25.0,8.4,2053.0
08013012605,120,56.0,-64.0,-53.3,3317.0
08013013004,985,763.0,-222.0,-22.5,4428.0
08013012710,783,581.0,-202.0,-25.8,487.0
08013013106,1874,2849.0,975.0,52.0,540.0
08013013701,879,766.0,-113.0,-12.9,57.0
08013013702,856,621.0,-235.0,-27.5,44.0
08013012205,125,146.0,21.0,16.8,6380.0
08013012903,254,378.0,124.0,48.8,1037.0
08013012501,356,294.0,-62.0,-17.4,1890.0
08013012603,597,480.0,-117.0,-19.6,5301.0
08013012401,180,267.0,87.0,48.3,12112.0
08013012300,187,66.0,-121.0,-64.7,13505.0
08013012202,142,195.0,53.0,37.3,8966.0
08013012102,846,994.0,148.0,17.5,6263.0
08013012105,757,1204.0,447.0,59.0,4586.0
08013013007,461,380.0,-81.0,-17.6,1172.0
08013012104,586,446.0,-140.0,-23.9,2298.0
08013012904,973,906.0,-67.0,-6.9,3824.0
08013012707,362,292.0,-70.0,-19.3,159.0
08013012511,299,329.0,30.0,10.0,4285.0
08013012606,388,348.0,-40.0,-10.3,11391.0
08013012709,402,311.0,-91.0,-22.6,511.0
08013012905,519,425.0,-94.0,-18.1,5013.0
08013012106,735,532.0,-203.0,-27.6,4397.0
08013012908,1258,1596.0,338.0,26.9,1085.0
08013013003,919,1374.0,455.0,49.5,981.0
08013013104,1133,1061.0,-72.0,-6.4,1647.0
08013013006,1319,1079.0,-240.0,-18.2,4558.0
08013012203,741,885.0,144.0,19.4,2379.0
08013012510,657,660.0,3.0,0.5,221.0
08013013111,775,474.0,-301.0,-38.8,3298.0
08013013110,634,541.0,-93.0,-14.7,5717.0
08013013109,478,330.0,-148.0,-31.0,5705.0
08013013108,908,718.0,-190.0,-20.9,4052.0
