GEOID,county,group,people_per_sq_mi,child_share,population
08041002300,El Paso,the other eight counties,1770.0,7.5,2139
08041006600,El Paso,the other eight counties,2497.0,18.3,2427
08041006100,El Paso,the other eight counties,7774.0,28.2,4069
08041006200,El Paso,the other eight counties,3842.0,25.0,5354
08035014300,Douglas,the other eight counties,4.0,14.1,781
08035014107,Douglas,the other eight counties,3595.0,26.5,3812
08035013904,Douglas,the other eight counties,2042.0,19.3,4198
08035014503,Douglas,the other eight counties,1699.0,23.3,6166
08041006400,El Paso,the other eight counties,5914.0,29.5,7445
08041005900,El Paso,the other eight counties,2867.0,20.4,6930
08035014108,Douglas,the other eight counties,4042.0,23.3,4823
08035013909,Douglas,the other eight counties,260.0,24.7,6407
08035014115,Douglas,the other eight counties,4083.0,20.6,4075
08035014116,Douglas,the other eight counties,4028.0,18.5,6184
08035014123,Douglas,the other eight counties,1848.0,20.0,4012
08035013905,Douglas,the other eight counties,3885.0,23.2,5468
08041006501,El Paso,the other eight counties,6573.0,31.3,4062
08041008000,El Paso,the other eight counties,3964.0,17.5,4331
08041003708,El Paso,the other eight counties,2444.0,18.2,2984
08041004008,El Paso,the other eight counties,195.0,33.1,3020
08041004901,El Paso,the other eight counties,5763.0,23.3,3771
08035014146,Douglas,the other eight counties,7606.0,29.6,4896
08014030200,Broomfield,Boulder and Broomfield,2140.0,18.7,2134
08035014504,Douglas,the other eight counties,2273.0,22.5,5656
08041005122,El Paso,the other eight counties,790.0,32.7,11238
08041005114,El Paso,the other eight counties,1923.0,26.6,1804
08041004513,El Paso,the other eight counties,1349.0,27.4,3723
08041004708,El Paso,the other eight counties,6254.0,22.0,5176
08005007103,Arapahoe,the other eight counties,27.0,19.8,1715
08005080500,Arapahoe,the other eight counties,7894.0,15.8,3854
08005083900,Arapahoe,the other eight counties,6060.0,14.9,3220
08013013703,Boulder,Boulder and Broomfield,18.0,12.4,1213
08013013705,Boulder,Boulder and Broomfield,31.0,14.5,1923
08013013706,Boulder,Boulder and Broomfield,57.0,13.6,3863
08059009901,Jefferson,the other eight counties,2130.0,7.4,3121
08059010001,Jefferson,the other eight counties,2091.0,10.9,4096
08041005000,El Paso,the other eight counties,2842.0,23.5,5445
08013012206,Boulder,Boulder and Broomfield,8412.0,3.5,3319
08013012107,Boulder,Boulder and Broomfield,6583.0,17.8,4200
08013013214,Boulder,Boulder and Broomfield,1467.0,25.4,5508
08013013215,Boulder,Boulder and Broomfield,1429.0,28.6,5788
08041000102,El Paso,the other eight counties,5470.0,20.8,3413
08041000202,El Paso,the other eight counties,4358.0,19.7,4472
08041000301,El Paso,the other eight counties,4525.0,18.9,3262
08041000400,El Paso,the other eight counties,3750.0,16.7,2486
08041000500,El Paso,the other eight counties,3923.0,13.6,2016
08035013912,Douglas,the other eight counties,702.0,18.8,7399
08035013913,Douglas,the other eight counties,367.0,22.4,2660
08035014144,Douglas,the other eight counties,1601.0,33.2,6089
08035014142,Douglas,the other eight counties,779.0,17.6,1884
08035014141,Douglas,the other eight counties,1884.0,26.2,5447
08035013914,Douglas,the other eight counties,451.0,19.5,3757
