OBJECTID_1,OBJECTID,area_name,area_code,SchType,SchType2,resident_students_gis,Shape_Leng,State_CD,Key_ID,Yld,neighborhood_flag,capacity_gis,enrollment_gis,Perc_Cap,SHAPE__Area,SHAPE__Length,match_key,enrollment_archive,per_grade_archive,school_code,children_5_17,children_5_10,children_5_11,children_2020,utilisation_archive,utilisation_gis,below_bar
1,1,Bear Creek,119,Elementary,Neighborhood,169,14979.9654122,652,1,0.18,Boulder,475,378,0.8,2005090.640625,5962.862775261864,BEAR CREEK,318.0,53.0,0652,501,202.09281524926686,239.5653775659824,564,0.6694736842105263,0.7957894736842105,False
2,2,Aspen Creek (K-5),505,Elementary,Neighborhood,470,68349.6525217,441,2,0.1, ,475,481,1.01,29911746.08203125,27185.778158866364,ASPEN CREEK,443.0,73.83333333333333,0441,1148,471.3834134628915,565.8248304765136,1448,0.9326315789473684,1.0126315789473683,False
4,4,Birch,120,Elementary,Neighborhood,447,24078.3086971,872,4,0.0, ,436,376,0.86,5559032.81640625,9579.709761178794,BIRCH,277.0,46.166666666666664,0872,943,379.2278481012658,447.63924050632914,1172,0.6353211009174312,0.8623853211009175,True
5,5,Coal Creek,158,Elementary,Neighborhood,418,33863.2789905,1725,5,0.22, ,496,467,0.94,9167483.48828125,13481.308734056509,COAL CREEK,283.0,47.166666666666664,1725,1057,455.68751717001925,544.0046746171315,1320,0.5705645161290323,0.9415322580645161,True
6,6,Columbine,124,Elementary,Neighborhood,568,60262.8263245,1842,6,0.1,Boulder,579,398,0.69,13152229.12109375,23994.02037703415,COLUMBINE,343.0,57.166666666666664,1842,1680,736.8590474517366,870.6366899130962,2159,0.5924006908462867,0.687392055267703,False
8,8,Creekside,164,Elementary,Neighborhood,531,77235.2634108,5606,8,0.09,Boulder,484,314,0.65,16623619.49609375,30770.456694581648,CREEKSIDE,328.0,54.666666666666664,5606,1352,613.8643552494553,695.3944441680213,1928,0.6776859504132231,0.6487603305785123,False
9,9,Crest View,127,Elementary,Neighborhood,724,88948.3955718,1996,9,0.17,Boulder,685,625,0.91,59598340.30859375,35443.91876903862,CREST VIEW,390.0,65.0,1996,2465,1032.7926337021795,1216.1183517595232,3110,0.5693430656934306,0.9124087591240876,False
10,10,Douglass,130,Elementary,Neighborhood,429,156975.634352,2240,10,0.18, ,491,433,0.88,109587485.07421875,62533.770477973856,DOUGLASS,282.0,47.0,2240,1050,424.599611511271,515.7161325685378,1257,0.5743380855397149,0.8818737270875764,True
11,11,Eisenhower,132,Elementary,Neighborhood,483,47110.6786017,2552,11,0.16,Boulder,613,453,0.74,13707668.1640625,18750.546385437,EISENHOWER,277.0,46.166666666666664,2552,1286,541.0309278350516,635.8092783505155,1613,0.45187601957585644,0.7389885807504079,True
12,12,Eldorado (K-5),506,Elementary,Neighborhood,472,50180.874324,2589,12,0.4, ,470,516,1.1,16553762.40625,19933.366675458572,ELDORADO,256.0,42.666666666666664,2589,1046,378.2244897959184,456.63265306122446,1217,0.5446808510638298,1.097872340425532,True
