year,enrollment,teacher_fte,schools,pop_5_17
1999,26974.0,,57.0,47852.0
2000,,1547.8358,60.0,45400.0
2001,,1652.8852,58.0,46840.0
2002,,1670.1735,58.0,46661.0
2003,,1584.7968,58.0,45891.0
2004,27926.0,1656.4013,53.0,45409.0
2005,27933.0,1653.7718,53.0,44843.0
2006,28171.0,1699.8107,54.0,45246.0
2007,28543.0,1716.6358,54.0,45553.0
2008,28743.0,1729.8619,54.0,45954.0
2009,28938.0,1707.9458,54.0,46149.0
2010,29526.0,1687.629,55.0,46415.0
2011,29780.0,1704.33,55.0,47258.0
2012,30041.0,1702.82,56.0,48157.0
2013,30546.0,1679.43,57.0,49022.0
2014,30908.0,1667.7282,57.0,49229.0
