year,pop_5_17,datatype,log_pop,teacher_fte,teacher_fte_low,teacher_fte_high,teacher_fte_obs_low,teacher_fte_obs_high,schools,schools_low,schools_high,schools_obs_low,schools_obs_high
1990,36200,Estimate,10.496814397813862,1296.5514158295223,1236.564563961413,1359.4482834800012,842.3859632875636,1995.5764307004292,47.956243278026456,45.87378554469354,50.133234962713644,32.499392530619325,70.76443866372266
1991,37256,Estimate,10.525568284662214,1327.0611696049548,1271.2272083910686,1385.34743140229,862.6051045657487,2041.5962513459,48.60159095077719,46.68246482368399,50.59961276398297,32.9514720562928,71.68464701398885
1992,38669,Estimate,10.562793524427303,1366.948411917895,1316.1198519818329,1419.7399712732608,888.9572767056251,2101.954739343023,49.43397327367914,47.706009012074766,51.22452630661894,33.531232550899155,72.87885137873633
1993,40332,Estimate,10.604900477513105,1413.20049411339,1367.8846157756639,1460.0176166392855,919.4353845431332,2172.132669828348,50.38544622608008,48.85630663711619,51.96244591834454,34.19054907874129,74.2513138807617
1994,41448,Estimate,10.632194908494624,1444.872364871579,1404.0072557611902,1486.9268959993765,940.3027853390329,2220.1956468914104,51.03169695904647,49.654675876766206,52.446905523725185,34.638085555028006,75.18412327906292
1995,42464,Estimate,10.656411937131933,1473.8475519610492,1437.229385104627,1511.3986875960268,959.3718108175713,2264.217670279908,51.618417180203,50.38076803191012,52.886470299576665,35.04352901206581,76.03289586708226
1996,43408,Estimate,10.678399034898712,1500.8909117023193,1468.3282663905097,1534.175688361712,977.1479830603492,2305.3555529792184,52.16223132801802,51.05242567687469,53.29616254355872,35.41850697851125,76.82137416939848
1997,44362,Estimate,10.700138526110734,1528.1466035792346,1499.4696551652999,1557.3719908145235,995.034386299092,2346.88577016555,52.70620635369992,51.71227156283772,53.719245050436484,35.79249502407456,77.61247675889344
1998,45952,Estimate,10.735352652407895,1571.7047962183249,1546.5282784451645,1597.2911720303048,1023.5138225312172,2413.5052327349918,53.56290718926693,52.645938207515854,54.49584762374774,36.37729698137275,78.86746032931218
1999,47852,Estimate,10.775868193290794,1622.9462948244457,1598.6452237514782,1647.616767467267,1056.923783943541,2492.095187844782,54.55679514384095,53.616841604117894,55.513226951033815,37.052112189811815,80.33128802804003
2000,45400,Estimate,10.72326738402944,1562.7870746809233,1543.8221297397638,1581.9849927928208,1017.8390285134826,2399.498714798404,53.404707998260584,52.72482155512396,54.09336157539457,36.27613907641082,78.62090368470555
2001,46840,Estimate,10.754492817711654,1602.5302785304275,1585.6008409526346,1619.6404714719272,1043.767829700462,2460.416215686392,54.18047920736853,53.526932660698485,54.84200534613236,36.803899540965034,79.76123084111433
2002,46661,Estimate,10.750663976978858,1600.6335612384792,1586.8005560940674,1614.5871562267691,1042.57799047556,2457.3967806421238,54.15153218710502,53.612794075280235,54.69568390883654,36.78648639132083,79.71374072036737
2003,45891,Estimate,10.734024298391375,1583.4479598130827,1573.5834814441214,1593.3742766130133,1031.4277431465025,2430.9094438233274,53.82758178698242,53.451905630326706,54.20589830927178,36.56882680028247,79.23165205321546
2004,45409,Estimate,10.72346560226837,1573.609135358652,1567.1145833223852,1580.130602597292,1025.0451641479847,2415.743030154632,53.644569792531165,53.404203666335235,53.88601777878034,36.445855608126934,78.95931705288464
2005,44843,Estimate,10.710922779497595,1561.5054657755015,1557.7475588615212,1565.2724382561673,1017.1742692390043,2397.1303574863055,53.41694111957766,53.29274875260168,53.541422901987744,36.29189819115803,78.62277094306424
