outcome,k,effect,low,high,significant
enrolment,-4,0.06542209376685237,-0.030035446165194934,0.17027393774212807,False
enrolment,-3,0.0322551057118865,-0.01316643620171798,0.07976729041014474,False
enrolment,-2,0.005405258953609771,-0.006610289787772561,0.017566141807145996,False
enrolment,-1,0.0,0.0,0.0,False
enrolment,0,-0.00018885833038317923,-0.015651645884405818,0.015516828800746563,False
enrolment,1,0.0003399132221564294,-0.024648742140782276,0.025968781935737928,False
enrolment,2,-0.0002146598250181153,-0.030611567246826232,0.031135396973852147,False
enrolment,3,-0.010578195569078463,-0.05177221921529018,0.03240542717826922,False
enrolment,4,0.011703195375758035,-0.031810650617606684,0.057172707163568814,False
enrolment,5,0.047487103171516276,-0.04125107682776874,0.14443855402750394,False
schools,-4,-0.10328039735218741,-0.1755383072698269,-0.02468962128478669,True
schools,-3,-0.04962076556318207,-0.11540636022674045,0.021057182233671812,False
schools,-2,-0.04543836454477779,-0.09752753751531174,0.009657306744035976,False
schools,-1,0.0,0.0,0.0,False
schools,0,-0.17423357956193675,-0.23265188135967574,-0.1113678856327377,True
schools,1,-0.15589084728688307,-0.22431589284534204,-0.08142985640417155,True
schools,2,-0.13105368210746282,-0.20770921940988585,-0.04698158570441946,True
schools,3,-0.14596133638815945,-0.2242083618093621,-0.05982224731756525,True
schools,4,-0.15212550207295217,-0.23385262844005994,-0.06168030992350615,True
schools,5,-0.10360017958024115,-0.2123084612092191,0.02011079017316031,False
staff,-4,0.04527412530139863,-0.043316206843469485,0.1420680530393763,False
staff,-3,0.010131012150455865,-0.03755385177917614,0.060178445925882285,False
staff,-2,0.012688343796908974,-0.008829133571869097,0.03467294731718962,False
staff,-1,0.0,0.0,0.0,False
staff,0,0.012673717498528969,-0.006073107636478614,0.031774133481457856,False
staff,1,0.0014509918991461035,-0.026400110536022647,0.030098811666813274,False
staff,2,0.0010209339422415642,-0.03437709581084636,0.03771659293026608,False
staff,3,-0.0010655734758102664,-0.04722895070770361,0.047334497869571335,False
staff,4,0.02138660464723996,-0.0318370842050929,0.07753620711270082,False
staff,5,0.05755572870253434,-0.03993498196040801,0.16494622582470342,False
