district,last_year,closed,event_year,schools_before,share_closed
0010,2003,2,2004,11.0,0.18181818181818182
0010,2006,6,2007,18.0,0.3333333333333333
0010,2010,2,2011,17.0,0.11764705882352941
0020,2006,3,2007,49.0,0.061224489795918366
0070,2003,2,2004,25.0,0.08
0070,2007,3,2008,21.0,0.14285714285714285
0070,2008,2,2009,20.0,0.1
0070,2010,2,2011,19.0,0.10526315789473684
0070,2022,2,2023,20.0,0.1
0120,2007,2,2008,10.0,0.2
0130,2003,4,2004,54.0,0.07407407407407407
0140,2003,2,2004,27.0,0.07407407407407407
0140,2009,2,2010,23.0,0.08695652173913043
0140,2022,3,2023,22.0,0.13636363636363635
0140,2023,2,2024,20.0,0.1
0180,2003,4,2004,51.0,0.0784313725490196
0180,2023,4,2024,60.0,0.06666666666666667
0470,2013,4,2014,51.0,0.0784313725490196
0480,2003,5,2004,58.0,0.08620689655172414
0500,2002,2,2003,5.0,0.4
0870,2003,2,2004,16.0,0.125
0870,2013,2,2014,18.0,0.1111111111111111
0870,2014,2,2015,16.0,0.125
0880,2008,10,2009,142.0,0.07042253521126761
0910,1991,2,1992,11.0,0.18181818181818182
0980,2011,2,2012,25.0,0.08
0980,2022,2,2023,29.0,0.06896551724137931
1010,2005,5,2006,67.0,0.07462686567164178
1010,2009,9,2010,58.0,0.15517241379310345
1010,2013,3,2014,57.0,0.05263157894736842
1150,2012,2,2013,7.0,0.2857142857142857
1330,2004,2,2005,4.0,0.5
1360,1997,5,1998,11.0,0.45454545454545453
1390,2004,2,2005,7.0,0.2857142857142857
1420,2023,16,2024,146.0,0.1095890410958904
1520,1999,2,2000,14.0,0.14285714285714285
1540,2000,2,2001,6.0,0.3333333333333333
1550,2003,5,2004,55.0,0.09090909090909091
1550,2019,3,2020,51.0,0.058823529411764705
1560,2019,2,2020,33.0,0.06060606060606061
1560,2023,2,2024,32.0,0.0625
1580,2002,2,2003,6.0,0.3333333333333333
1828,2007,3,2008,8.0,0.375
2000,1992,2,1993,38.0,0.05263157894736842
2000,2003,2,2004,40.0,0.05
2035,2007,3,2008,11.0,0.2727272727272727
2520,2002,3,2003,8.0,0.375
2540,2003,2,2004,5.0,0.4
2690,1994,2,1995,36.0,0.05555555555555555
2690,1997,2,1998,38.0,0.05263157894736842
2690,2002,3,2003,44.0,0.06818181818181818
2690,2003,3,2004,41.0,0.07317073170731707
2690,2008,2,2009,38.0,0.05263157894736842
2690,2011,2,2012,36.0,0.05555555555555555
2690,2012,3,2013,33.0,0.09090909090909091
2690,2019,2,2020,33.0,0.06060606060606061
3090,2003,2,2004,8.0,0.25
3120,2003,4,2004,35.0,0.11428571428571428
3120,2010,5,2011,28.0,0.17857142857142858
3120,2014,2,2015,30.0,0.06666666666666667
