area_name,children_5_10,children_5_11,attendance_area,students_living_in_area,share_of_5_10,share_of_5_11
Jamestown,25.665359891513006,30.463412056850004,Jamestown,14.0,0.5454823177690762,0.4595676930041052
Flatirons,403.59075636794717,477.4827004430071,Flatirons,233.0,0.5773174839207111,0.4879757942723857
Gold Hill,8.108932817064058,9.651178588411113,Gold Hill,5.0,0.6166039493480862,0.5180714411402428
Heatherwood,436.74360678947,521.6030815185247,Heatherwood,313.0,0.7166676171882238,0.6000731419929002
Emerald,473.1326080190208,568.7128231352331,Emerald,372.0,0.7862489156212309,0.6541086904796991
Meadowlark,679.9544140085502,796.5919707881986,Meadowlark,532.0,0.7824053922434133,0.6678450442748066
Foothill,685.8788708451027,824.4687291173068,Foothill,555.0,0.809180780443286,0.6731607645012739
Crest View,1032.7926337021795,1216.1183517595232,Crest View,836.0,0.8094558120571109,0.6874330929966196
Douglass,424.599611511271,515.7161325685378,Douglass,367.0,0.8643437018082575,0.7116318005646766
Columbine,736.8590474517366,870.6366899130962,Columbine,621.0,0.8427663365844399,0.7132711120432863
Lafayette,807.9100998354014,937.7768252130851,Lafayette,671.0,0.8305379523497792,0.7155220538186502
Louisville,722.5351555233277,836.4926161257622,Louisville,611.0,0.8456335935065422,0.7304308349186186
Sanchez,663.1029082774049,793.9060402684564,Sanchez,598.0,0.9018208072009095,0.7532377506509316
Eisenhower,541.0309278350516,635.8092783505155,Eisenhower,483.0,0.8927400914634146,0.7596617672095795
Birch,379.2278481012658,447.63924050632914,Birch,342.0,0.9018325044227111,0.7640080874347844
Superior,506.07836094078885,592.6205500137274,Superior,453.0,0.8951182958265251,0.7644014369557497
Whittier,447.4640277322042,534.8744274839277,Whittier,419.0,0.9363881206798612,0.7833614367600149
Ryan,783.152474581428,905.8704206380364,Ryan,720.0,0.9193612015141992,0.7948156641353613
Kohl,323.4048964218456,391.9717514124294,Kohl,317.0,0.9801954253237678,0.8087317488000692
Coal Creek,455.68751717001925,544.0046746171315,Coal Creek,442.0,0.9699629314951975,0.8124930182099592
Nederland,248.60219364306954,292.3226740817982,Nederland,260.0,1.045847569524245,0.8894280979628915
Fireside,380.4374193054515,433.20043491740614,Fireside,396.0,1.0409070714520154,0.9141265060721863
