band,school_years,closures,annual_rate,per_1000
<100,4784,185,0.03867056856187291,38.67056856187291
100-149,2641,62,0.023475956077243468,23.475956077243467
150-199,1884,45,0.02388535031847134,23.88535031847134
200-249,2406,61,0.02535328345802161,25.35328345802161
250-299,2782,32,0.011502516175413372,11.502516175413373
300-349,3308,31,0.009371221281741234,9.371221281741233
350-399,3233,23,0.007114135477884318,7.114135477884318
400-499,6293,15,0.002383600826314953,2.3836008263149533
500-649,6377,14,0.0021953896816684962,2.1953896816684964
650+,7551,12,0.0015891934843067143,1.5891934843067144
