year,schools,enrollment,teacher_fte
1986,42,20751.0,1002.0
1987,41,20835.0,1127.0
1988,42,20825.0,1122.0
1989,42,21013.0,1149.0
1990,43,21502.0,1141.0
1991,46,22534.0,1137.0
1992,46,23587.0,1317.0
1993,47,24085.0,1333.0
1994,47,24658.0,1393.0
1995,50,25230.0,1328.0
1996,51,25648.0,1347.0
1997,52,26192.0,1401.0
1998,55,26880.0,1441.0
1999,57,26974.0,1578.0
2000,60,27508.0,1571.8358
2001,58,27963.0,1677.8852
2002,58,27764.0,1696.1735
2003,58,27804.0,1584.7968
2004,53,27926.0,1656.4013
2005,53,27933.0,1653.7718
2006,54,28171.0,1699.8107
2007,54,28543.0,1716.6358
2008,54,28743.0,1729.8619
2009,54,28938.0,1707.9458
2010,55,29526.0,1681.831
2011,55,29780.0,1704.33
2012,56,30041.0,1702.82
2013,57,30546.0,1683.43
2014,57,30908.0,1667.7282
2015,57,31247.0,1638.89
2016,57,31189.0,1692.93
2017,57,31282.0,1688.0
2018,56,31169.0,1720.63
2019,56,31000.0,1787.1
2020,56,29272.0,1690.0
2021,56,29043.0,1682.0
2022,56,28487.0,1682.3
2023,56,28362.0,1646.3
2024,56,27991.0,1582.6
