year,elementary_roll,combination,elementary_schools,below_bar,over_capacity,utilisation,children_moved,pupils_to_recruit,recruits_per_pupil_drawn_in_today,years_at_the_pace_since_2017
2024,7977,Do nothing,27,15,0,0.64,0,0,0.0,0
2024,7977,The approved plan,22,5,4,0.776,1218,0,0.0,0
2024,7977,"Redraw, close nothing",27,9,0,0.64,693,0,0.0,0
2024,7977,"Recruit, close nothing",27,3,0,0.682,0,519,0.68,61
2024,7977,"Redraw and recruit, close nothing",27,3,0,0.664,693,294,0.38,34
2024,7977,"The approved plan, then redraw",22,5,0,0.776,1369,0,0.0,0
2024,7977,"The approved plan, then recruit",22,3,4,0.781,1218,54,0.07,6
2024,7977,"The approved plan, redraw and recruit",22,3,0,0.782,1369,68,0.09,8
2027,7398,Do nothing,27,16,0,0.594,0,0,0.0,0
2027,7398,The approved plan,22,6,3,0.719,1130,0,0.0,0
2027,7398,"Redraw, close nothing",27,17,0,0.594,642,0,0.0,0
2027,7398,"Recruit, close nothing",27,3,0,0.654,0,748,0.98,87
2027,7398,"Redraw and recruit, close nothing",27,3,0,0.633,642,488,0.64,57
2027,7398,"The approved plan, then redraw",22,5,0,0.719,1270,0,0.0,0
2027,7398,"The approved plan, then recruit",22,3,3,0.729,1130,95,0.12,11
2027,7398,"The approved plan, redraw and recruit",22,3,0,0.73,1270,106,0.14,12
2030,7014,Do nothing,27,17,0,0.563,0,0,0.0,0
2030,7014,The approved plan,22,8,1,0.682,1071,0,0.0,0
2030,7014,"Redraw, close nothing",27,20,0,0.563,609,0,0.0,0
2030,7014,"Recruit, close nothing",27,3,0,0.637,0,923,1.21,108
2030,7014,"Redraw and recruit, close nothing",27,3,0,0.619,609,694,0.91,81
2030,7014,"The approved plan, then redraw",22,5,0,0.682,1204,0,0.0,0
2030,7014,"The approved plan, then recruit",22,3,1,0.697,1071,153,0.2,18
2030,7014,"The approved plan, redraw and recruit",22,3,0,0.695,1204,132,0.17,15
2040,6939,Do nothing,27,18,0,0.557,0,0,0.0,0
2040,6939,The approved plan,22,9,1,0.675,1059,0,0.0,0
2040,6939,"Redraw, close nothing",27,20,0,0.557,603,0,0.0,0
2040,6939,"Recruit, close nothing",27,3,0,0.634,0,960,1.25,112
2040,6939,"Redraw and recruit, close nothing",27,3,0,0.617,603,742,0.97,87
2040,6939,"The approved plan, then redraw",22,5,0,0.675,1191,0,0.0,0
2040,6939,"The approved plan, then recruit",22,3,1,0.691,1059,169,0.22,20
2040,6939,"The approved plan, redraw and recruit",22,3,0,0.688,1191,137,0.18,16
