lever,buildings,pupils_median,pupils_smallest,below_bar,over_capacity,utilisation,pupils_moved,what it gives up
0. Today,27,283.0,10.0,15,0,0.6404142581888247,0.0,nothing; the bar is not met
"1a. Close, as the board approved",22,369.28373702422147,10.0,5,4,0.7756709451575262,1218.0,"5 elementary programmes, 4 of them buildings"
1b. Close until every school clears the bar,14,574.5,343.0,0,9,1.0836842820268986,2729.0,13 buildings
"3. Redraw, in proportion to capacity",27,313.8434347644852,10.0,9,0,0.6404142581888247,692.6835348061691,no buildings; children change school
"4. Shrink in place, 2030",27,275.95138927345295,8.792644953064983,20,0,0.5630935195134823,609.0520386384677,"school size, shared evenly"
"5. Do nothing, 2030",27,248.831852171739,8.792644953064983,17,0,0.5630935195134823,0.0,control over which schools get small
"4. Shrink in place, 2040",27,272.9910732194661,8.698320340023184,20,0,0.5570528368044714,602.5183280003655,"school size, shared evenly"
"5. Do nothing, 2040",27,246.1624656226561,8.698320340023184,18,0,0.5570528368044714,0.0,control over which schools get small
"4. Shrink in place, 2060",27,272.5416758425958,8.684001181898767,20,0,0.5561358175016575,601.5264634938587,"school size, shared evenly"
"5. Do nothing, 2060",27,245.75723344773508,8.684001181898767,18,0,0.5561358175016574,0.0,control over which schools get small
"6. Fill the buildings, close nothing",27,300.0,10.0,3,0,0.6820809248554913,0.0,who attends; depends on other districts' losses
