attendance_area,share_2017,share_2026,change,children_2026,leaving_2026,closing
Gold Hill,1.0,0.6363636363636364,-0.36363636363636365,11.0,3.0,False
Monarch K-8,0.7267267267267268,0.4806451612903226,-0.2460815654364042,310.0,152.0,True
Whittier,0.7565392354124748,0.5296167247386759,-0.22692251067379887,287.0,127.0,False
Douglass,0.7804878048780488,0.6307692307692307,-0.14971857410881806,260.0,92.0,True
Eldorado K-8,0.8344671201814059,0.6869918699186992,-0.1474752502627067,246.0,71.0,False
Columbine,0.5807860262008734,0.4411177644710579,-0.1396682617298155,501.0,252.0,False
Crest View,0.5951327433628318,0.4611872146118721,-0.13394552875095972,657.0,337.0,False
Heatherwood,0.8060453400503779,0.6761565836298933,-0.12988875642048459,281.0,81.0,False
Coal Creek,0.8165548098434005,0.6882716049382716,-0.1282832049051289,324.0,94.0,False
Mesa*,0.7890295358649789,0.6704545454545454,-0.11857499041043351,176.0,55.0,True
Kohl,0.8023255813953488,0.6900369003690037,-0.11228868102634515,271.0,70.0,False
Flatirons,0.686046511627907,0.5948717948717949,-0.0911747167561121,195.0,72.0,True
Sanchez,0.441358024691358,0.3504672897196261,-0.09089073497173189,642.0,378.0,False
Eisenhower,0.6424242424242425,0.5706371191135734,-0.07178712331066905,361.0,139.0,False
Bear Creek*,0.8774703557312253,0.808641975308642,-0.06882838042258332,162.0,29.0,False
Louisville,0.8188976377952756,0.7675544794188862,-0.051343158376389364,413.0,87.0,False
Lafayette,0.580952380952381,0.5507487520798668,-0.030203628872514154,601.0,260.0,False
Nederland,0.8421052631578947,0.8274111675126904,-0.014694095645204297,197.0,32.0,False
Optional Bear Creek/Mesa,0.8029556650246306,0.7883211678832117,-0.014634497141418845,137.0,24.0,False
Birch,0.6933701657458563,0.6879699248120301,-0.005400240933826184,266.0,78.0,True
Ryan,0.5855855855855856,0.5806451612903226,-0.0049404242952629795,589.0,219.0,False
Jamestown,0.5454545454545454,0.5454545454545454,0.0,11.0,3.0,False
Superior,0.8568464730290456,0.8694444444444445,0.012597971415398868,360.0,39.0,False
Foothill,0.7659235668789809,0.7855297157622739,0.01960614888329304,387.0,80.0,False
Fireside,0.8492462311557789,0.8691275167785235,0.019881285622744604,298.0,36.0,False
Aspen Creek K-8,0.7423887587822015,0.7625,0.020111241217798503,320.0,68.0,False
Emerald,0.660574412532637,0.7408536585365854,0.08027924600394831,328.0,74.0,False
Creekside*,0.4280155642023346,0.5466970387243736,0.11868147452203898,439.0,192.0,False
Meadowlark,,,,588.0,174.0,False
Optional Bear Creek/Creekside,,,,27.0,7.0,False
