year,areas,living,staying,leaving,share_staying
2017,29,12296.0,8570.0,3501.0,0.6969746258945999
2018,30,12149.0,8457.0,3429.0,0.6961066754465388
2019,30,11987.0,8396.0,3328.0,0.7004254609159923
2020,30,11804.0,8262.0,3349.0,0.6999322263639445
2021,30,10584.0,7000.0,3370.0,0.6613756613756614
2022,30,10675.0,7325.0,3131.0,0.6861826697892272
2023,30,10422.0,7079.0,3100.0,0.6792362310497025
2024,30,10116.0,6711.0,3155.0,0.6634045077105575
2025,30,9960.0,6411.0,3265.0,0.6436746987951807
2026,30,9645.0,6040.0,3325.0,0.6262312078797304
