district_code,district_name,countyfips,teacher_fte,schools,enrollment,pop_5_17,average_school,band,rank
1010,Colorado Springs 11,041,1494.3,60.0,22265.0,119980.0,371.0833333333333,10k-30k,1
2700,Pueblo County 70,101,563.4,26.0,10392.0,26836.0,399.6923076923077,10k-30k,2
0980,Harrison 2,041,827.8,29.0,12301.0,119980.0,424.17241379310343,10k-30k,3
2000,Mesa County Valley 51,077,1260.9,46.0,19900.0,24488.0,432.60869565217394,10k-30k,4
2690,Pueblo City 60,101,845.1,32.0,14089.0,26836.0,440.28125,10k-30k,5
0880,Denver County 1,031,6047.0,198.0,90450.0,89918.0,456.8181818181818,30k and over,6
1560,Thompson R2-J,069,933.5,32.0,14751.0,54087.0,460.96875,10k-30k,7
0480,Boulder Valley Re 2,013,1591.6,56.0,27991.0,43997.0,499.8392857142857,10k-30k,8
1420,Jefferson County R-1,059,4413.7,144.0,75495.0,82580.0,524.2708333333334,30k and over,9
1550,Poudre R-1,069,1874.7,53.0,29544.0,54087.0,557.433962264151,10k-30k,10
0470,St Vrain Valley RE1J,013,1956.7,55.0,32414.0,43997.0,589.3454545454546,30k and over,11
0020,Adams 12 Five Star Schools,001,2019.5,54.0,34466.0,97924.0,638.2592592592592,30k and over,12
0140,Littleton 6,005,766.3,20.0,13110.0,111727.0,655.5,10k-30k,13
0180,Adams-Arapahoe 28J,005,2338.4,60.0,39813.0,111727.0,663.55,30k and over,14
1040,Academy 20,041,1570.2,40.0,26569.0,119980.0,664.225,10k-30k,15
0900,Douglas County Re 1,035,3515.3,89.0,61851.0,74682.0,694.9550561797753,30k and over,16
3120,Greeley 6,123,1240.4,33.0,23124.0,69769.0,700.7272727272727,10k-30k,17
0040,School District 27J,001,1231.0,34.0,24014.0,97924.0,706.2941176470588,10k-30k,18
0130,Cherry Creek 5,005,3213.7,69.0,52672.0,111727.0,763.3623188405797,30k and over,19
1110,District 49,041,1382.1,33.0,26649.0,119980.0,807.5454545454545,10k-30k,20
