tract2000,inside,children_2020,population_2020,population_2000,children_2000,children_under_18,change,pct_change,land_sq_mi
08013012907,0.9986230416248199,577.0,3594.0,2796,608,800,-31.0,-0.05098684210526316,2.531395626911792
08013012906,1.0000000000000013,884.0,5434.0,4138,663,997,221.0,0.3333333333333333,2.983349567334568
08013012509,1.0,682.0,3322.0,3243,527,670,155.0,0.29411764705882354,0.7012349467056782
08013012507,1.0,385.0,4404.0,4299,367,533,18.0,0.04904632152588556,0.6329646602128377
08013012505,0.9999999999999986,704.0,4251.0,4003,518,676,186.0,0.3590733590733591,5.82505876896471
08013012101,0.9999999999999997,821.0,4786.0,4742,672,952,149.0,0.22172619047619047,1.1043547404126959
08013012206,0.9999999999999996,315.0,3482.0,3476,321,425,-6.0,-0.018691588785046728,2.04839815923034
08013012705,0.9997687180948307,362.0,4524.0,3513,472,639,-110.0,-0.2330508474576271,1.7428472723942765
08013013107,0.9999999999999913,714.0,7341.0,3533,842,1120,-128.0,-0.15201900237529692,7.65700640092464
08013013005,1.0,668.0,3538.0,3121,635,819,33.0,0.05196850393700787,0.7463679717482942
08013012508,0.9999999999999987,321.0,2952.0,2825,296,390,25.0,0.08445945945945946,1.3761988435153476
08013012605,0.9999999999999991,56.0,1681.0,1580,120,218,-64.0,-0.5333333333333333,0.4762770085410176
08013013004,1.0000000000000002,763.0,3471.0,3633,985,1227,-222.0,-0.22538071065989848,0.8204698356190911
08013012710,0.9999999999999994,581.0,3744.0,3819,783,952,-202.0,-0.25798212005108556,7.8496789753501695
08013013106,0.9987840517203272,2849.0,15371.0,9836,1874,2743,975.0,0.5202774813233725,18.206008445146427
08013013701,0.9683232530058739,766.0,6019.0,5593,879,1183,-113.0,-0.1285551763367463,98.02223608156442
08013013702,0.9999265652908944,621.0,5786.0,5845,856,1159,-235.0,-0.27453271028037385,132.27000699669276
08013012205,1.0000000000000002,146.0,3462.0,3434,125,180,21.0,0.168,0.5382168253148916
08013012903,1.0000000000000004,378.0,2304.0,1557,254,383,124.0,0.4881889763779528,1.5009732033348973
08013012501,0.9999999999999994,294.0,2472.0,2509,356,454,-62.0,-0.17415730337078653,1.3276954820558153
08013012603,0.9999999999999994,480.0,3399.0,3562,597,733,-117.0,-0.19597989949748743,0.6719973779242914
08013012401,1.0,267.0,5878.0,5226,180,253,87.0,0.48333333333333334,0.4314633800862723
08013012300,1.0000000000000004,66.0,7059.0,7446,187,403,-121.0,-0.6470588235294118,0.5513400966605073
08013012202,1.0000000000000007,195.0,6257.0,5692,142,246,53.0,0.3732394366197183,0.6348459264542194
08013012102,1.0000000000000007,994.0,7000.0,6970,846,1224,148.0,0.17494089834515367,1.1129049259027632
08013012105,1.0000000000000002,1204.0,6635.0,4385,757,1046,447.0,0.5904887714663144,0.9561272255859081
08013013007,1.0,380.0,2574.0,2590,461,622,-81.0,-0.175704989154013,2.210311325415908
08013012104,0.9999999999999996,446.0,2666.0,2482,586,686,-140.0,-0.23890784982935154,1.0802684235487088
08013012904,1.000000000000001,906.0,5864.0,5042,973,1406,-67.0,-0.06885919835560124,1.3185209161574627
08013012707,1.0,292.0,2070.0,2128,362,457,-70.0,-0.19337016574585636,13.420933159846253
08013012511,0.9999999999999994,329.0,6805.0,3215,299,423,30.0,0.10033444816053512,0.750345444105205
08013012606,1.0000000000000007,348.0,8693.0,7098,388,605,-40.0,-0.10309278350515463,0.6231483568239701
08013012709,0.9999998987065685,311.0,1823.0,1946,402,508,-91.0,-0.2263681592039801,3.8080922293933193
08013012905,0.9999999999999999,425.0,2632.0,2575,519,670,-94.0,-0.1811175337186898,0.5136622537528119
08013012106,1.0000000000000004,532.0,3810.0,3919,735,938,-203.0,-0.2761904761904762,0.8913591360822936
08013012908,0.9995276918812157,1596.0,9139.0,6332,1258,1741,338.0,0.2686804451510334,5.836100576322604
08013013003,0.9999999999999993,1374.0,7724.0,4672,919,1179,455.0,0.49510337323177367,4.761593972110108
08013013104,0.9988948669757971,1061.0,5953.0,4840,1133,1396,-72.0,-0.06354810238305383,2.9385663114292817
08013013006,1.0000000000000007,1079.0,5522.0,5691,1319,1694,-240.0,-0.1819560272934041,1.2486740362463467
08013012203,1.0000000000000004,885.0,7968.0,6125,741,1126,144.0,0.19433198380566802,2.574397200252355
08013012510,0.9999997930890078,660.0,4318.0,4339,657,819,3.0,0.0045662100456621,19.604660567472603
08013013111,0.9998842827600426,474.0,3759.0,3486,775,980,-301.0,-0.38838709677419353,1.0571373646921827
08013013110,0.9999999999996226,541.0,3402.0,3567,634,872,-93.0,-0.14668769716088328,0.6239283262072863
08013013109,0.9999999999999999,330.0,2261.0,2372,478,577,-148.0,-0.30962343096234307,0.4157432885273497
08013013108,1.0000000000000002,718.0,3807.0,3811,908,1130,-190.0,-0.2092511013215859,0.9404440252942007
