level,school_year,attendance_area,students_living_in_area,oe_out_of_area,placed_out_of_area,staying_in_neighborhood_school,pct_staying_in_neighborhood_school,year,key,school,total_enrollment,attending_neighborhood_school,oe_in_from_district,oe_in_from_outside,below_bar,children_leaving,if_all_stayed,closing
elementary,2025-2026,Bear Creek*,162.0,29.0,2.0,131.0,0.808641975308642,2026,Bear Creek,Bear Creek *,312.0,216.0,70.0,13.0,False,29.0,162.0,False
elementary,2025-2026,Columbine,501.0,252.0,28.0,221.0,0.4411177644710579,2026,Columbine,Columbine,313.0,221.0,69.0,17.0,False,252.0,501.0,False
elementary,2025-2026,Creekside*,439.0,192.0,7.0,240.0,0.5466970387243736,2026,Creekside,Creekside *,288.0,240.0,37.0,1.0,True,192.0,439.0,False
elementary,2025-2026,Crest View,657.0,337.0,17.0,303.0,0.4611872146118721,2026,Crest View,Crest View,330.0,303.0,16.0,6.0,False,337.0,657.0,False
elementary,2025-2026,Douglass,260.0,92.0,4.0,164.0,0.6307692307692307,2026,Douglass,Douglass,281.0,164.0,95.0,8.0,True,92.0,260.0,True
elementary,2025-2026,Eisenhower,361.0,139.0,16.0,206.0,0.5706371191135734,2026,Eisenhower,Eisenhower,265.0,206.0,45.0,2.0,True,139.0,361.0,False
elementary,2025-2026,Flatirons,195.0,72.0,7.0,116.0,0.5948717948717949,2026,Flatirons,Flatirons,151.0,116.0,24.0,4.0,True,72.0,195.0,True
elementary,2025-2026,Foothill,387.0,80.0,3.0,304.0,0.7855297157622739,2026,Foothill,Foothill,434.0,304.0,115.0,4.0,False,80.0,387.0,False
elementary,2025-2026,Heatherwood,281.0,81.0,10.0,190.0,0.6761565836298933,2026,Heatherwood,Heatherwood,225.0,190.0,17.0,11.0,True,81.0,281.0,False
elementary,2025-2026,Mesa*,176.0,55.0,3.0,118.0,0.6704545454545454,2026,Mesa,Mesa *,224.0,156.0,48.0,10.0,True,55.0,176.0,True
elementary,2025-2026,Whittier,287.0,127.0,8.0,152.0,0.5296167247386759,2026,Whittier,Whittier,257.0,152.0,94.0,6.0,True,127.0,287.0,False
elementary,2025-2026,Aspen Creek K-8,320.0,68.0,8.0,244.0,0.7625,2026,Aspen Creek K-8,Aspen Creek K-8,472.0,244.0,87.0,131.0,False,68.0,320.0,False
elementary,2025-2026,Birch,266.0,78.0,5.0,183.0,0.6879699248120301,2026,Birch,Birch,259.0,183.0,23.0,45.0,True,78.0,266.0,True
elementary,2025-2026,Emerald,328.0,74.0,11.0,243.0,0.7408536585365854,2026,Emerald,Emerald,365.0,243.0,42.0,74.0,False,74.0,328.0,False
elementary,2025-2026,Kohl,271.0,70.0,14.0,187.0,0.6900369003690037,2026,Kohl,Kohl,256.0,187.0,28.0,31.0,True,70.0,271.0,False
elementary,2025-2026,Ryan,589.0,219.0,28.0,342.0,0.5806451612903226,2026,Ryan,Ryan,393.0,342.0,30.0,13.0,False,219.0,589.0,False
elementary,2025-2026,Sanchez,642.0,378.0,39.0,225.0,0.3504672897196261,2026,Sanchez,Sanchez,276.0,225.0,39.0,9.0,True,378.0,642.0,False
elementary,2025-2026,Meadowlark,588.0,174.0,8.0,406.0,0.6904761904761905,2026,Meadowlark,Meadowlark,471.0,406.0,30.0,26.0,False,174.0,588.0,False
elementary,2025-2026,Coal Creek,324.0,94.0,7.0,223.0,0.6882716049382716,2026,Coal Creek,Coal Creek,269.0,223.0,30.0,8.0,True,94.0,324.0,False
elementary,2025-2026,Fireside,298.0,36.0,3.0,259.0,0.8691275167785235,2026,Fireside,Fireside,405.0,259.0,117.0,16.0,False,36.0,298.0,False
elementary,2025-2026,Monarch K-8,310.0,152.0,9.0,149.0,0.4806451612903226,2026,Monarch K-8,Monarch K-8,264.0,149.0,65.0,31.0,True,152.0,310.0,True
elementary,2025-2026,Eldorado K-8,246.0,71.0,6.0,169.0,0.6869918699186992,2026,Eldorado K-8,Eldorado K-8,252.0,169.0,47.0,23.0,True,71.0,246.0,False
elementary,2025-2026,Superior,360.0,39.0,8.0,313.0,0.8694444444444445,2026,Superior,Superior,433.0,313.0,97.0,10.0,False,39.0,360.0,False
elementary,2025-2026,Gold Hill,11.0,3.0,1.0,7.0,0.6363636363636364,2026,Gold Hill,Gold Hill,11.0,7.0,4.0,0.0,True,3.0,11.0,False
elementary,2025-2026,Jamestown,11.0,3.0,2.0,6.0,0.5454545454545454,2026,Jamestown,Jamestown,17.0,6.0,11.0,0.0,True,3.0,11.0,False
