donor_id,first_year,last_year,n_years,n_campaigns,total_dollars,key_has_zip,zip
d00001,2019,2019,1,1,50.0,True,80303
d00002,2021,2025,3,3,300.0,True,80303
d00003,2021,2021,1,1,25.0,True,80303
d00004,2015,2019,3,4,400.0,True,80503
d00005,2019,2019,1,1,25.0,True,07722
d00006,2020,2020,1,1,500.0,False,
d00007,2017,2017,1,1,100.0,True,80304
d00008,2021,2025,2,2,100.0,False,
d00009,2022,2025,2,3,81.05,True,80304
d00010,2021,2021,1,1,50.0,True,80304
d00011,2023,2023,1,1,25.0,True,80305
d00012,2015,2017,2,5,215.0,True,80302
d00013,2020,2020,1,1,5.0,True,80021
d00014,2016,2016,1,1,25.0,True,80304
d00015,2023,2023,1,1,100.0,True,80302
d00016,2017,2017,1,1,25.0,True,80401
d00017,2015,2015,1,1,25.0,True,80301
d00018,2026,2026,1,1,25.0,False,
d00019,2021,2021,1,1,50.0,True,80303
d00020,2019,2019,1,1,100.0,True,80112
d00021,2019,2019,1,1,100.0,True,66062
d00022,2017,2017,1,1,10.0,True,80302
d00023,2021,2026,3,4,500.0,True,80303
d00024,2017,2017,1,1,50.0,False,
d00025,2019,2019,1,1,50.0,True,80304
d00026,2015,2015,1,2,175.0,True,80303
d00027,2021,2021,1,1,104.15,True,80303
d00028,2017,2017,1,1,100.0,True,80303
d00029,2025,2025,1,1,10.3,False,
d00030,2015,2020,4,5,500.0,True,80302
d00031,2015,2015,1,1,100.0,True,80302
d00032,2017,2017,1,1,25.0,True,80301
d00033,2023,2023,1,1,100.0,True,27609
d00034,2025,2025,1,1,10.3,False,
d00035,2019,2019,1,1,100.0,True,19422
d00036,2019,2019,1,1,100.0,True,80305
d00037,2017,2017,1,1,25.0,False,
d00038,2021,2021,1,1,100.0,True,80305
d00039,2023,2023,1,1,100.0,True,80305
d00040,2015,2015,1,1,25.0,True,80305
d00041,2015,2026,3,4,346.0,True,80302
d00042,2015,2015,1,1,50.0,True,80302
d00043,2023,2023,1,1,25.0,True,80016
d00044,2021,2021,1,1,100.0,True,80302
d00045,2021,2021,1,1,100.0,False,
d00046,2019,2023,2,2,150.0,False,
d00047,2020,2020,1,1,50.0,False,
d00048,2015,2017,2,2,50.0,True,20010
