node_id,endorser_type,org_type,held_boulder_council,held_any_elected_office,served_board_commission,first_year,n_years,n_candidates
e00001,person,,False,False,False,2015,2,1
e00002,person,,False,False,False,2019,1,1
e00003,person,,False,False,False,2019,1,1
e00004,person,,False,False,False,2019,1,1
e00005,person,,False,False,True,2019,4,3
e00006,person,,False,False,False,2023,1,1
e00007,person,,False,False,False,2019,1,1
e00008,person,,False,False,False,2021,1,1
e00009,person,,False,False,False,2021,2,1
e00010,person,,False,False,False,2019,1,1
e00011,person,,False,False,False,2019,1,1
e00012,person,,False,False,False,2015,3,3
e00013,person,,False,False,False,2023,1,1
e00014,person,,False,False,False,2015,2,1
e00015,person,,False,False,False,2023,1,1
e00016,person,,False,False,False,2023,1,1
e00017,person,,False,False,False,2015,2,1
e00018,person,,False,False,False,2023,1,1
e00019,person,,False,False,False,2026,1,1
e00020,person,,False,False,False,2019,1,2
e00021,person,,False,False,False,2015,1,1
e00022,person,,False,False,False,2026,1,1
e00023,person,,False,False,False,2021,1,1
e00024,person,,False,False,False,2019,1,1
e00025,person,,False,False,False,2019,1,1
e00026,person,,False,False,False,2019,1,1
e00027,person,,False,False,False,2025,1,1
e00028,person,,True,True,True,2019,5,8
e00029,person,,False,False,False,2021,1,1
e00030,person,,False,False,False,2019,1,1
e00031,person,,False,False,False,2019,1,1
e00032,person,,False,False,False,2021,1,1
e00033,person,,True,True,False,2015,5,8
e00034,person,,False,False,False,2025,1,1
e00035,person,,False,False,False,2019,1,1
e00036,person,,False,False,False,2019,1,1
e00037,person,,False,False,False,2015,3,2
e00038,person,,False,False,True,2021,3,4
e00039,person,,False,False,False,2015,1,1
e00040,person,,False,False,False,2019,1,1
e00041,person,,False,False,False,2015,2,1
e00042,person,,False,False,False,2023,1,1
e00043,person,,False,False,False,2026,1,1
e00044,person,,False,False,False,2015,1,1
e00045,person,,False,False,False,2025,1,1
e00046,person,,False,False,False,2023,1,1
e00047,person,,False,False,True,2026,1,3
e00048,person,,False,False,False,2019,1,1
e00049,person,,False,False,False,2025,1,1
e00050,person,,False,False,False,2019,1,1
e00051,person,,False,False,False,2019,1,1
e00052,person,,True,True,False,2023,2,3
e00053,person,,False,False,False,2015,5,4
e00054,person,,False,False,False,2017,1,1
e00055,person,,False,False,False,2026,1,1
e00056,person,,False,False,False,2019,1,1
e00057,person,,False,False,False,2021,1,1
e00058,person,,False,False,True,2021,3,5
e00059,person,,False,False,False,2021,2,1
e00060,person,,False,False,False,2019,1,1
e00061,person,,False,False,False,2019,2,1
e00062,person,,False,False,False,2015,2,1
e00063,person,,False,False,False,2021,2,2
e00064,person,,False,False,False,2021,1,1
e00065,person,,False,False,False,2019,1,1
e00066,person,,False,False,False,2025,1,1
e00067,person,,False,False,False,2019,1,1
e00068,person,,False,False,False,2015,2,1
e00069,person,,False,False,False,2019,1,1
e00070,person,,False,False,False,2023,2,2
e00071,person,,False,False,False,2025,1,1
e00072,person,,False,False,False,2023,1,1
e00073,person,,False,False,False,2021,1,1
e00074,person,,False,False,False,2019,1,1
e00075,person,,False,False,False,2025,1,1
e00076,person,,False,False,False,2019,1,1
e00077,person,,False,False,False,2021,1,1
e00078,person,,False,False,False,2025,1,1
e00079,person,,False,False,False,2019,2,2
e00080,person,,False,False,False,2021,1,1
e00081,person,,False,False,False,2023,1,1
e00082,person,,False,False,False,2021,3,2
e00083,person,,False,False,False,2015,2,1
e00084,person,,False,False,False,2019,1,1
e00085,person,,False,False,False,2023,1,1
e00086,person,,False,False,False,2019,1,2
e00087,person,,False,False,False,2025,1,1
e00088,person,,False,False,False,2023,1,1
e00089,person,,False,False,False,2019,1,1
e00090,person,,False,False,False,2019,3,2
e00091,person,,True,True,False,2019,4,7
e00092,person,,False,False,False,2019,1,1
e00093,person,,False,False,False,2021,1,1
e00094,person,,False,False,False,2023,2,5
e00095,person,,False,False,False,2019,1,1
e00096,person,,False,False,False,2021,1,1
e00097,person,,False,False,False,2023,2,3
e00098,person,,False,False,False,2025,1,1
e00099,person,,False,False,False,2015,2,1
e00100,person,,True,True,False,2015,5,7
e00101,person,,False,False,False,2019,1,1
e00102,person,,False,False,False,2015,1,1
e00103,person,,True,True,False,2025,2,4
e00104,person,,False,False,False,2019,1,1
e00105,person,,False,False,False,2023,1,1
e00106,person,,False,False,False,2019,2,1
e00107,person,,False,False,False,2023,1,1
e00108,person,,False,False,False,2025,1,1
e00109,person,,False,False,False,2023,1,1
e00110,person,,False,False,False,2023,1,1
e00111,person,,False,False,False,2015,2,1
e00112,person,,False,False,False,2021,1,1
e00113,person,,True,True,False,2015,2,2
e00114,person,,False,False,False,2023,1,1
e00115,person,,False,False,False,2023,1,1
e00116,person,,False,False,False,2021,1,1
e00117,person,,True,True,False,2021,4,4
e00118,person,,False,False,False,2017,1,1
e00119,person,,True,True,False,2026,1,1
e00120,person,,False,False,False,2019,1,1
e00121,person,,False,False,False,2025,1,1
e00122,person,,False,False,False,2026,1,1
e00123,person,,False,False,False,2023,1,1
e00124,person,,False,False,True,2025,1,1
e00125,person,,False,False,False,2015,2,1
e00126,person,,False,False,False,2019,1,1
e00127,person,,False,False,False,2023,2,3
e00128,person,,False,False,False,2015,2,1
e00129,person,,False,False,False,2023,2,3
e00130,person,,True,True,False,2015,4,6
e00131,person,,False,False,False,2019,1,1
e00132,person,,False,False,False,2017,1,1
e00133,person,,False,False,False,2017,6,9
e00134,person,,False,False,True,2015,4,4
e00135,person,,False,True,False,2015,5,5
e00136,person,,False,False,False,2019,1,1
e00137,person,,False,True,True,2021,4,4
e00138,person,,False,False,False,2023,1,1
e00139,person,,False,False,False,2023,1,1
e00140,person,,False,False,False,2021,1,1
e00141,person,,False,False,False,2019,1,1
e00142,person,,False,False,False,2023,1,1
e00143,person,,False,False,False,2021,1,1
e00144,person,,False,False,False,2025,1,1
e00145,person,,False,False,False,2021,2,1
e00146,person,,False,False,False,2015,2,1
e00147,person,,False,False,False,2025,1,1
e00148,person,,True,True,False,2017,1,1
e00149,person,,False,False,False,2026,1,1
e00150,person,,False,False,False,2015,1,1
e00151,person,,False,False,False,2015,2,1
e00152,person,,False,False,False,2021,3,4
e00153,person,,False,False,False,2021,1,1
e00154,person,,False,False,False,2025,1,1
e00155,person,,False,False,False,2019,1,1
e00156,person,,False,False,False,2019,1,1
e00157,person,,False,False,False,2025,1,1
e00158,person,,False,False,False,2015,1,1
e00159,person,,False,False,False,2019,1,1
e00160,person,,False,False,False,2025,1,1
e00161,person,,False,False,False,2015,4,4
e00162,person,,False,False,False,2021,1,1
e00163,person,,False,False,False,2015,1,1
e00164,person,,False,False,False,2021,2,2
e00165,person,,False,False,False,2021,1,1
e00166,person,,False,False,False,2015,2,1
e00167,person,,False,True,False,2019,4,4
e00168,person,,False,False,False,2025,1,1
e00169,person,,False,False,False,2019,1,1
e00170,person,,False,False,False,2019,1,1
e00171,person,,False,False,False,2017,1,1
e00172,person,,False,False,False,2023,1,1
e00173,person,,False,False,False,2025,1,1
e00174,person,,False,False,False,2019,1,1
e00175,person,,False,False,False,2023,1,1
e00176,person,,False,False,False,2023,2,2
e00177,person,,False,False,False,2019,1,1
e00178,person,,False,False,False,2025,1,1
e00179,person,,False,False,False,2019,1,1
e00180,person,,False,False,False,2019,1,1
e00181,person,,False,False,False,2019,1,1
e00182,person,,False,False,False,2021,1,1
e00183,person,,False,False,False,2019,1,1
e00184,person,,False,False,False,2019,1,1
e00185,person,,True,True,False,2015,7,16
e00186,person,,False,False,False,2019,1,1
e00187,person,,False,False,False,2015,2,1
e00188,person,,False,False,False,2015,2,1
e00189,person,,False,False,False,2015,2,1
e00190,person,,False,False,False,2019,1,1
e00191,person,,False,False,False,2019,1,1
e00192,person,,False,False,False,2019,1,1
e00193,person,,False,False,False,2023,1,1
e00194,person,,False,False,False,2021,1,1
e00195,person,,False,False,False,2021,1,1
e00196,person,,False,False,False,2023,2,3
e00197,person,,False,False,False,2019,1,1
e00198,person,,False,False,False,2023,1,1
e00199,person,,False,False,False,2021,1,2
e00200,person,,False,False,False,2015,1,1
e00201,person,,False,False,False,2026,1,1
e00202,person,,False,False,False,2025,1,1
e00203,person,,False,False,False,2021,1,1
e00204,person,,False,True,False,2026,1,1
e00205,person,,False,False,False,2026,1,1
e00206,person,,False,False,False,2015,3,2
e00207,person,,False,False,False,2017,1,1
e00208,person,,False,False,False,2019,1,1
e00209,person,,False,False,False,2019,1,1
e00210,person,,False,False,False,2019,1,1
e00211,person,,False,False,False,2015,1,1
e00212,person,,False,False,False,2023,1,1
e00213,person,,False,False,False,2026,1,1
e00214,person,,False,False,False,2023,1,1
e00215,person,,False,False,False,2019,1,1
e00216,person,,False,False,False,2025,1,1
e00217,person,,False,False,False,2019,1,1
e00218,person,,False,False,False,2019,4,4
e00219,person,,False,False,False,2015,2,1
e00220,person,,False,False,False,2019,1,1
e00221,person,,False,False,False,2025,1,1
e00222,person,,False,False,False,2026,1,1
e00223,person,,False,False,False,2023,1,1
e00224,person,,True,True,False,2015,4,4
e00225,person,,False,False,False,2021,1,1
e00226,person,,False,False,False,2023,1,1
e00227,person,,False,False,False,2025,1,1
e00228,person,,False,False,False,2019,1,1
e00229,person,,False,False,False,2015,2,1
e00230,person,,False,False,False,2019,1,1
e00231,person,,False,False,False,2019,1,1
e00232,person,,False,False,False,2026,1,1
e00233,person,,False,False,False,2019,1,1
