year,group,bloc,picks,picks_pole_A,picks_pole_B,alignment,basis
2015,open_boulder,B,5,0,4,B,own picks
2015,sierra_club_indian_peaks,B,5,2,2,,own picks
2017,open_boulder,B,5,0,5,B,own picks
2017,sierra_club_indian_peaks,B,5,4,1,,own picks
2019,boulder_area_labor_council,B,6,2,3,,own picks
2019,boulder_coalition,B,6,0,6,B,own picks
2019,open_boulder,B,6,0,6,B,own picks
2021,advocates_for_clean_teens,A,4,4,0,A,own picks
2021,bedrooms_are_for_people,B,4,0,4,B,own picks
2021,boulder_area_labor_council,B,5,1,4,,own picks
2021,boulder_coalition,B,4,0,4,B,own picks
2021,boulder_dsa,B,2,0,2,B,own picks
2021,colorado_working_families_party,B,3,0,3,B,own picks
2021,cwa_colorado_wyoming,B,1,0,1,B,own picks
2021,frwrd_boulder,A,4,4,0,A,own picks
2021,open_boulder,B,4,0,4,B,own picks
2021,safer_boulder,A,4,4,0,A,own picks
2021,sierra_club_indian_peaks,B,5,0,4,B,own picks
2021,south_boulder_creek_action_group,B,4,0,4,B,own picks
2021,thinkboulder,A,4,4,0,A,own picks
2021,together4boulder,A,4,4,0,A,own picks
2021,united_campus_workers,B,4,0,4,B,own picks
2023,bedrooms_are_for_people,B,7,0,5,B,own picks
2023,boulder_area_labor_council,B,5,0,3,B,own picks
2023,boulder_dsa,B,2,0,2,B,own picks
2023,boulder_elevated,A,5,4,0,A,own picks
2023,co_black_women_action,B,3,0,2,B,own picks
2023,colorado_immigrant_rights_coalition,B,1,0,1,B,own picks
2023,colorado_working_families_party,B,2,0,2,B,own picks
2023,run_on_climate,B,1,0,1,B,own picks
2023,safer_boulder,A,5,4,0,A,own picks
2023,sierra_club_indian_peaks,B,5,0,4,B,own picks
2023,united_campus_workers,B,3,0,2,B,own picks
2025,boulder_area_labor_council,B,4,0,2,B,own picks
2025,boulder_dsa,B,1,0,1,B,own picks
2025,boulder_elevated,A,1,0,0,A,bloc
2025,co_black_women_action,B,2,0,2,B,own picks
2025,co_blueflower_fund,B,2,0,2,B,own picks
2025,colorado_working_families_party,B,2,0,2,B,own picks
2025,cwa_colorado_wyoming,B,2,0,2,B,own picks
2025,lgbtq_victory_fund,B,1,0,1,B,own picks
2025,new_era_colorado_action_fund,B,3,0,2,B,own picks
2025,open_boulder,B,4,2,1,,own picks
2025,sierra_club_indian_peaks,B,3,0,3,B,own picks
