year,group,contest,choice,position,reported_by,source
2015,better_boulder,council,Aaron Brockett,endorse,,parsed
2015,better_boulder,council,Bill Rigler,endorse,,parsed
2015,better_boulder,council,Bob Yates,endorse,,parsed
2015,better_boulder,council,Suzanne Jones,endorse,,parsed
2015,better_boulder,council,Tim Plass,endorse,,parsed
2015,boulder_weekly,council,Bob Yates,endorse,,parsed
2015,boulder_weekly,council,Cindy Carlisle,endorse,,parsed
2015,boulder_weekly,council,Lisa Morzel,endorse,,parsed
2015,boulder_weekly,council,Michael Kruteck,endorse,,parsed
2015,boulder_weekly,council,Suzanne Jones,endorse,,parsed
2015,daily_camera,council,Aaron Brockett,endorse,,parsed
2015,daily_camera,council,Don Cote,endorse,,parsed
2015,daily_camera,council,Jan Burton,endorse,,parsed
2015,daily_camera,council,Julianne McCabe,endorse,,parsed
2015,daily_camera,council,Michael Kruteck,endorse,,parsed
2015,open_boulder,council,Aaron Brockett,endorse,,parsed
2015,open_boulder,council,Bill Rigler,endorse,,parsed
2015,open_boulder,council,Bob Yates,endorse,,parsed
2015,open_boulder,council,Jan Burton,endorse,,parsed
2015,open_boulder,council,Tim Plass,endorse,,parsed
2015,plan_boulder_county,council,Cindy Carlisle,endorse,,parsed
2015,plan_boulder_county,council,Jyotsna Raj,endorse,,parsed
2015,plan_boulder_county,council,Leonard May,endorse,,parsed
2015,plan_boulder_county,council,Lisa Morzel,endorse,,parsed
2015,plan_boulder_county,council,Suzanne Jones,endorse,,parsed
2015,sierra_club_indian_peaks,council,Aaron Brockett,endorse,daily_camera,parsed
2015,sierra_club_indian_peaks,council,Leonard May,endorse,daily_camera,parsed
2015,sierra_club_indian_peaks,council,Lisa Morzel,endorse,daily_camera,parsed
2015,sierra_club_indian_peaks,council,Suzanne Jones,endorse,daily_camera,parsed
2015,sierra_club_indian_peaks,council,Tim Plass,endorse,daily_camera,parsed
2017,better_boulder,council,Bill Rigler,endorse,,parsed
2017,better_boulder,council,Eric Budd,endorse,,parsed
2017,better_boulder,council,Jan Burton,endorse,,parsed
2017,better_boulder,council,Jill Adler Grano,endorse,,parsed
2017,better_boulder,council,Mark McIntyre,endorse,,parsed
2017,boulder_weekly,council,Jill Adler Grano,endorse,,parsed
2017,boulder_weekly,council,Mary Dolores Young,endorse,,parsed
2017,boulder_weekly,council,Matt Benjamin,endorse,,parsed
2017,boulder_weekly,council,Mirabai Kuk Nagle,endorse,,parsed
2017,boulder_weekly,council,Sam Weaver,endorse,,parsed
2017,daily_camera,council,Ed Byrne,endorse,,parsed
2017,daily_camera,council,Jan Burton,endorse,,parsed
2017,daily_camera,council,Jill Adler Grano,endorse,,parsed
2017,daily_camera,council,Mark McIntyre,endorse,,parsed
2017,daily_camera,council,Matt Benjamin,endorse,,parsed
2017,engage_boulder,council,Bill Rigler,endorse,daily_camera,parsed
2017,engage_boulder,council,Eric Budd,endorse,daily_camera,parsed
2017,engage_boulder,council,Jan Burton,endorse,daily_camera,parsed
2017,engage_boulder,council,Jill Adler Grano,endorse,daily_camera,parsed
2017,engage_boulder,council,Mark McIntyre,endorse,daily_camera,parsed
2017,open_boulder,council,Bill Rigler,endorse,,parsed
2017,open_boulder,council,Eric Budd,endorse,,parsed
2017,open_boulder,council,Jan Burton,endorse,,parsed
2017,open_boulder,council,Jill Adler Grano,endorse,,parsed
2017,open_boulder,council,Mark McIntyre,endorse,,parsed
2017,plan_boulder_county,council,Cindy Carlisle,endorse,,parsed
2017,plan_boulder_county,council,John Gerstle,endorse,,parsed
2017,plan_boulder_county,council,Mary Dolores Young,endorse,,parsed
2017,plan_boulder_county,council,Mirabai Kuk Nagle,endorse,,parsed
2017,plan_boulder_county,council,Sam Weaver,endorse,,parsed
2017,sierra_club_indian_peaks,council,Cindy Carlisle,endorse,daily_camera,parsed
2017,sierra_club_indian_peaks,council,Jill Adler Grano,endorse,daily_camera,parsed
2017,sierra_club_indian_peaks,council,John Gerstle,endorse,daily_camera,parsed
2017,sierra_club_indian_peaks,council,Mary Dolores Young,endorse,daily_camera,parsed
2017,sierra_club_indian_peaks,council,Sam Weaver,endorse,daily_camera,parsed
2017,south_boulder_creek_action_group,council,Bill Rigler,endorse,,parsed
2017,south_boulder_creek_action_group,council,Ed Byrne,endorse,,parsed
2017,south_boulder_creek_action_group,council,Jan Burton,endorse,,parsed
2017,south_boulder_creek_action_group,council,Jill Adler Grano,endorse,,parsed
2017,together4boulder,council,Cindy Carlisle,endorse,daily_camera,parsed
2017,together4boulder,council,John Gerstle,endorse,daily_camera,parsed
2017,together4boulder,council,Mary Dolores Young,endorse,daily_camera,parsed
2017,together4boulder,council,Mirabai Kuk Nagle,endorse,daily_camera,parsed
2017,together4boulder,council,Sam Weaver,endorse,daily_camera,parsed
2019,better_boulder,council,Aaron Brockett,endorse,,parsed
2019,better_boulder,council,Benita Duran,endorse,,parsed
2019,better_boulder,council,Bob Yates,endorse,,parsed
2019,better_boulder,council,Junie Joseph,endorse,,parsed
2019,better_boulder,council,Mark McIntyre,endorse,,parsed
2019,better_boulder,council,Rachel Friend,endorse,,parsed
2019,boulder_area_labor_council,council,Aaron Brockett,endorse,,parsed
2019,boulder_area_labor_council,council,Benita Duran,endorse,,parsed
2019,boulder_area_labor_council,council,Junie Joseph,endorse,,parsed
2019,boulder_area_labor_council,council,Mark Wallach,endorse,,parsed
2019,boulder_area_labor_council,council,Nikki McCord,endorse,,parsed
2019,boulder_area_labor_council,council,Susan Peterson,endorse,,parsed
2019,boulder_coalition,council,Aaron Brockett,endorse,open_boulder,parsed
2019,boulder_coalition,council,Benita Duran,endorse,open_boulder,parsed
2019,boulder_coalition,council,Bob Yates,endorse,open_boulder,parsed
2019,boulder_coalition,council,Junie Joseph,endorse,open_boulder,parsed
2019,boulder_coalition,council,Mark McIntyre,endorse,open_boulder,parsed
