,Aaron Brockett,Bob Yates,Cindy Carlisle,Don Cote,Edward Jabari,Jan Burton,Julianne McCabe,Jyotsna Raj,Comrade Keith Percy,Cha Cha Spinrad,Leonard May,Lisa Morzel,Michael Kruteck,Suzanne Jones,Tim Plass,Bill Rigler
Aaron Brockett,1.0,0.123,0.007,0.005,0.006,0.076,0.006,0.013,0.0,0.034,0.021,0.028,0.0,0.058,0.153,0.05
Bob Yates,0.123,1.0,0.009,0.009,0.0,0.084,0.0,0.012,0.0,0.026,0.003,0.019,0.016,0.024,0.102,0.029
Cindy Carlisle,0.007,0.009,1.0,0.0,0.0,0.0,0.0,0.194,0.0,0.0,0.192,0.186,0.0,0.053,0.024,0.0
Don Cote,0.005,0.009,0.0,1.0,0.0,0.019,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edward Jabari,0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.006,0.0,0.0,0.007,0.007,0.0,0.007,0.007,0.0
Jan Burton,0.076,0.084,0.0,0.019,0.0,1.0,0.008,0.0,0.0,0.012,0.0,0.008,0.011,0.004,0.026,0.04
Julianne McCabe,0.006,0.0,0.0,0.024,0.0,0.008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jyotsna Raj,0.013,0.012,0.194,0.0,0.006,0.0,0.0,1.0,0.0,0.0,0.165,0.12,0.0,0.031,0.045,0.0
Comrade Keith Percy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cha Cha Spinrad,0.034,0.026,0.0,0.0,0.0,0.012,0.0,0.0,0.0,1.0,0.0,0.0,0.009,0.005,0.031,0.011
Leonard May,0.021,0.003,0.192,0.0,0.007,0.0,0.0,0.165,0.0,0.0,1.0,0.18,0.0,0.071,0.071,0.0
Lisa Morzel,0.028,0.019,0.186,0.0,0.007,0.008,0.0,0.12,0.0,0.0,0.18,1.0,0.0,0.083,0.108,0.011
Michael Kruteck,0.0,0.016,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.009,0.0,0.0,1.0,0.0,0.0,0.01
Suzanne Jones,0.058,0.024,0.053,0.0,0.007,0.004,0.0,0.031,0.0,0.005,0.071,0.083,0.0,1.0,0.083,0.011
Tim Plass,0.153,0.102,0.024,0.0,0.007,0.026,0.0,0.045,0.0,0.031,0.071,0.108,0.0,0.083,1.0,0.036
Bill Rigler,0.05,0.029,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.011,0.0,0.011,0.01,0.011,0.036,1.0
