,Adam Swetlik,Camilo Casas,Cindy Carlisle,Ed Byrne,Eric Budd,Jan Burton,Jill Adler Grano,John Gerstle,Mary Dolores Young,Mark McIntyre,Matt Benjamin,Mirabai Kuk Nagle,Sam Weaver,Bill Rigler
Adam Swetlik,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.004,0.0,0.008,0.0,0.0
Camilo Casas,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cindy Carlisle,0.0,0.0,1.0,0.0,0.005,0.0,0.003,0.205,0.069,0.0,0.0,0.274,0.172,0.0
Ed Byrne,0.0,0.0,0.0,1.0,0.015,0.036,0.026,0.0,0.003,0.044,0.0,0.0,0.006,0.034
Eric Budd,0.0,0.0,0.005,0.015,1.0,0.029,0.032,0.0,0.005,0.032,0.003,0.003,0.013,0.016
Jan Burton,0.0,0.0,0.0,0.036,0.029,1.0,0.06,0.0,0.006,0.067,0.004,0.0,0.024,0.043
Jill Adler Grano,0.0,0.0,0.003,0.026,0.032,0.06,1.0,0.007,0.016,0.047,0.0,0.003,0.042,0.048
John Gerstle,0.004,0.0,0.205,0.0,0.0,0.0,0.007,1.0,0.098,0.0,0.0,0.251,0.225,0.0
Mary Dolores Young,0.004,0.0,0.069,0.003,0.005,0.006,0.016,0.098,1.0,0.007,0.0,0.072,0.108,0.0
Mark McIntyre,0.004,0.0,0.0,0.044,0.032,0.067,0.047,0.0,0.007,1.0,0.0,0.0,0.027,0.062
Matt Benjamin,0.0,0.0,0.0,0.0,0.003,0.004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mirabai Kuk Nagle,0.008,0.0,0.274,0.0,0.003,0.0,0.003,0.251,0.072,0.0,0.0,1.0,0.185,0.0
Sam Weaver,0.0,0.0,0.172,0.006,0.013,0.024,0.042,0.225,0.108,0.027,0.0,0.185,1.0,0.011
Bill Rigler,0.0,0.0,0.0,0.034,0.016,0.043,0.048,0.0,0.0,0.062,0.0,0.0,0.011,1.0
