,Aaron Brockett,Adam Swetlik,Andy Celani,Benita Duran,Brian Dolan,Corina Julca,Gala Wilhelmina Orba,J. Tamar Stone,Junie Joseph,Mark McIntyre,Mark Wallach,Nikki McCord,Paul Cure,Rachel Friend,Bob Yates,Susan Peterson
Aaron Brockett,1.0,0.007,0.0,0.107,0.004,0.004,0.0,0.0,0.076,0.189,0.011,0.007,0.007,0.0,0.082,0.007
Adam Swetlik,0.007,1.0,0.006,0.004,0.101,0.2,0.0,0.013,0.003,0.003,0.139,0.011,0.0,0.0,0.008,0.215
Andy Celani,0.0,0.006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
Benita Duran,0.107,0.004,0.0,1.0,0.0,0.004,0.0,0.0,0.062,0.089,0.007,0.015,0.0,0.003,0.05,0.0
Brian Dolan,0.004,0.101,0.0,0.0,1.0,0.115,0.0,0.0,0.0,0.0,0.06,0.004,0.008,0.0,0.009,0.121
Corina Julca,0.004,0.2,0.0,0.004,0.115,1.0,0.0,0.007,0.006,0.0,0.13,0.007,0.0,0.0,0.014,0.257
Gala Wilhelmina Orba,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.004,0.005
J. Tamar Stone,0.0,0.013,0.0,0.0,0.0,0.007,0.0,1.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.006
Junie Joseph,0.076,0.003,0.0,0.062,0.0,0.006,0.004,0.0,1.0,0.088,0.003,0.017,0.0,0.005,0.027,0.005
Mark McIntyre,0.189,0.003,0.0,0.089,0.0,0.0,0.0,0.0,0.088,1.0,0.011,0.007,0.0,0.003,0.046,0.003
Mark Wallach,0.011,0.139,0.0,0.007,0.06,0.13,0.0,0.007,0.003,0.011,1.0,0.007,0.007,0.003,0.003,0.153
Nikki McCord,0.007,0.011,0.0,0.015,0.004,0.007,0.0,0.0,0.017,0.007,0.007,1.0,0.0,0.0,0.008,0.007
Paul Cure,0.007,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.007,0.0,1.0,0.0,0.0,0.0
Rachel Friend,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.005,0.003,0.003,0.0,0.0,1.0,0.0,0.0
Bob Yates,0.082,0.008,0.0,0.05,0.009,0.014,0.004,0.0,0.027,0.046,0.003,0.008,0.0,0.0,1.0,0.01
Susan Peterson,0.007,0.215,0.006,0.0,0.121,0.257,0.005,0.006,0.005,0.003,0.153,0.007,0.0,0.0,0.01,1.0
