,Dan Williams,David Takahashi,Jacques Decalo,Lauren Folkerts,Mark Wallach,Matt Benjamin,Michael Christy,Nicole Speer,Steve Rosenblum,Tara Winer
Dan Williams,1.0,0.009,0.0,0.011,0.0,0.113,0.004,0.126,0.0,0.004
David Takahashi,0.009,1.0,0.067,0.0,0.005,0.009,0.014,0.008,0.009,0.018
Jacques Decalo,0.0,0.067,1.0,0.0,0.007,0.0,0.034,0.006,0.021,0.026
Lauren Folkerts,0.011,0.0,0.0,1.0,0.0,0.031,0.0,0.007,0.0,0.0
Mark Wallach,0.0,0.005,0.007,0.0,1.0,0.008,0.112,0.004,0.086,0.077
Matt Benjamin,0.113,0.009,0.0,0.031,0.008,1.0,0.012,0.111,0.012,0.012
Michael Christy,0.004,0.014,0.034,0.0,0.112,0.012,1.0,0.004,0.113,0.159
Nicole Speer,0.126,0.008,0.006,0.007,0.004,0.111,0.004,1.0,0.0,0.003
Steve Rosenblum,0.0,0.009,0.021,0.0,0.086,0.012,0.113,0.0,1.0,0.091
Tara Winer,0.004,0.018,0.026,0.0,0.077,0.012,0.159,0.003,0.091,1.0
