,Aaron Brockett,Aaron Gabriel Neyer,Tina Marquis,Jacques Decalo,Jenny Robins,Nicole Speer,Paul Tweedlie,Bob Yates,Ryan Schuchard,Silas Atkins,Taishya Adams,Tara Winer,Terri Brncic,Waylon Lewis
Aaron Brockett,1.0,0.0,0.012,0.004,0.004,0.037,0.0,0.011,0.1,0.006,0.041,0.032,0.0,0.036
Aaron Gabriel Neyer,0.0,1.0,0.0,0.0,0.0,0.015,0.0,0.0,0.012,0.021,0.01,0.0,0.0,0.006
Tina Marquis,0.012,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0
Jacques Decalo,0.004,0.0,0.0,1.0,0.018,0.004,0.0,0.004,0.004,0.0,0.004,0.012,0.014,0.008
Jenny Robins,0.004,0.0,0.0,0.018,1.0,0.003,0.0,0.071,0.0,0.0,0.003,0.109,0.083,0.022
Nicole Speer,0.037,0.015,0.0,0.004,0.003,1.0,0.0,0.002,0.053,0.038,0.05,0.012,0.0,0.006
Paul Tweedlie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bob Yates,0.011,0.0,0.0,0.004,0.071,0.002,0.0,1.0,0.002,0.0,0.002,0.091,0.056,0.02
Ryan Schuchard,0.1,0.012,0.0,0.004,0.0,0.053,0.0,0.002,1.0,0.025,0.091,0.007,0.0,0.031
Silas Atkins,0.006,0.021,0.0,0.0,0.0,0.038,0.0,0.0,0.025,1.0,0.027,0.0,0.0,0.006
Taishya Adams,0.041,0.01,0.0,0.004,0.003,0.05,0.0,0.002,0.091,0.027,1.0,0.003,0.0,0.033
Tara Winer,0.032,0.0,0.0,0.012,0.109,0.012,0.0,0.091,0.007,0.0,0.003,1.0,0.098,0.041
Terri Brncic,0.0,0.0,0.004,0.014,0.083,0.0,0.0,0.056,0.0,0.0,0.0,0.098,1.0,0.015
Waylon Lewis,0.036,0.006,0.0,0.008,0.022,0.006,0.0,0.02,0.031,0.006,0.033,0.041,0.015,1.0
