,Aaron Stone,Jennifer Robins,Lauren Folkerts,Mark Wallach,Matt Benjamin,Maxwell Lord,Nicole Speer,Rachel Rose Isaacson,Rob Kaplan,Rob Smoke
Aaron Stone,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.102
Jennifer Robins,0.0,1.0,0.014,0.157,0.066,0.0,0.014,0.0,0.235,0.0
Lauren Folkerts,0.0,0.014,1.0,0.014,0.08,0.014,0.177,0.016,0.025,0.0
Mark Wallach,0.0,0.157,0.014,1.0,0.028,0.011,0.011,0.006,0.131,0.0
Matt Benjamin,0.0,0.066,0.08,0.028,1.0,0.016,0.067,0.032,0.074,0.0
Maxwell Lord,0.0,0.0,0.014,0.011,0.016,1.0,0.009,0.034,0.011,0.0
Nicole Speer,0.0,0.014,0.177,0.011,0.067,0.009,1.0,0.016,0.021,0.0
Rachel Rose Isaacson,0.014,0.0,0.016,0.006,0.032,0.034,0.016,1.0,0.006,0.016
Rob Kaplan,0.0,0.235,0.025,0.131,0.074,0.011,0.021,0.006,1.0,0.0
Rob Smoke,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,1.0
