,Aaron Brockett,Adam Swetlik,Benita Duran,Brian Dolan,Corina Julca,Mark McIntyre,Mark Wallach,Rachel Friend,Bob Yates,Susan Peterson
Aaron Brockett,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Swetlik,0.0,1.0,0.0,0.0,0.152,0.0,0.063,0.007,0.007,0.304
Benita Duran,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Dolan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Corina Julca,0.0,0.152,0.0,0.0,1.0,0.0,0.191,0.006,0.007,0.214
Mark McIntyre,0.0,0.0,0.0,0.0,0.0,1.0,0.008,0.0,0.001,0.0
Mark Wallach,0.0,0.063,0.0,0.0,0.191,0.008,1.0,0.012,0.017,0.081
Rachel Friend,0.0,0.007,0.0,0.0,0.006,0.0,0.012,1.0,0.068,0.0
Bob Yates,0.0,0.007,0.0,0.0,0.007,0.001,0.017,0.068,1.0,0.004
Susan Peterson,0.0,0.304,0.0,0.0,0.214,0.0,0.081,0.0,0.004,1.0
