year,donors,median_gift_total,top10pct_dollar_share,gini,share_at_100_cap
2015,1454,100.0,0.6248579957213919,0.6736724818174347,0.4986244841815681
2016,82,100.0,0.9889455252207755,0.9788061159471997,0.5365853658536586
2017,1656,100.0,0.4888205570137931,0.5604711656001706,0.4927536231884058
2018,7,125.0,0.9660187578023153,0.8368566729907785,0.7142857142857143
2019,1577,100.0,0.3159213041964527,0.3866410622312668,0.5218769816106531
2020,742,52.23,0.6329101602700172,0.7308560954530297,0.4353099730458221
2021,1425,100.0,0.4278500268466369,0.4820199762647892,0.6329824561403509
2022,416,100.0,0.607018961670589,0.7214339972667605,0.6153846153846154
2023,1659,100.0,0.4040802831606222,0.4393759933708661,0.6690777576853526
2024,125,100.0,0.6288996511048347,0.7340342674862934,0.728
2025,873,100.0,0.34571903809615434,0.4332462065513023,0.6219931271477663
2026,752,100.0,0.3030352742867614,0.3700490826912972,0.586436170212766
