year,donors,campaigns,candidate_campaigns,bipartite_edges,dollars,projection_edges,density,mean_degree,share_multi_campaign_donors,leiden_Q,leiden_communities,slate_Q,slate_Q_null_mean,slate_Q_null_sd,ei_index,share_sided_donors,share_cross_slate,side_A_donors,side_B_donors
2015,1454,25,16,2198,275978,128721,0.12185669075318248,177.05777166437414,0.2737276478679505,0.558064737522934,11,0.44363064419658793,-0.001424277060154916,0.0014947922219619993,-0.8927936973816328,0.5894085281980743,0.12192622950819672,373,484
2016,82,5,0,82,944653,1606,0.4835892803372478,39.170731707317074,0.0,0.1968117690664988,5,,,,,0.0,,0,0
2017,1656,20,14,2068,195087,142658,0.10410409095552929,172.29227053140096,0.13285024154589373,0.653796376548662,12,0.4719092622496653,-0.0011122943985902856,0.0009907623840056858,-0.9551910819981309,0.7107487922705314,0.0059121621621621625,490,687
2018,7,2,0,7,34733,11,0.5238095238095238,3.142857142857143,0.0,0.16528925619834697,2,,,,,0.0,,0,0
2019,1577,18,16,2021,142607,148139,0.11920967331790426,187.87444514901713,0.14648065948002537,0.6664217047318641,10,0.4284340532057478,-0.00039699663536668374,0.0018167726121515835,-0.9730480609497623,0.8414711477488903,0.00599250936329588,463,864
2020,742,8,0,760,160573,65081,0.23673479780729037,175.42048517520215,0.02425876010781671,0.5983185787686088,6,,,,,0.0,,0,0
2021,1425,17,10,1696,182276,106342,0.10481174847230436,149.25192982456142,0.11719298245614035,0.6964369806514633,11,0.4865164391642942,0.0003251355568390263,0.0014902374002551176,-0.9770498529713465,0.6371929824561403,0.0011001100110011,429,479
2022,416,6,0,448,150467,27906,0.3232854494902688,134.16346153846155,0.07211538461538461,0.4398968579484745,5,,,,,0.0,,0,0
2023,1659,18,14,2012,201285,183657,0.13353852328673296,221.40687160940325,0.12477396021699819,0.5716706695744849,9,0.4435730480203165,-0.00019557045934380513,0.0010431225503303037,-0.9664780468644515,0.811332127787824,0.06397774687065369,693,653
2024,125,2,0,125,60190,7266,0.9375483870967742,116.256,0.0,0.001650163891277399,2,,,,,0.0,,0,0
2025,873,14,10,1113,97184,62998,0.16551068234601762,144.3253150057274,0.18442153493699887,0.588864673606019,6,0.41021131430513386,-0.0006602779469357889,0.0030457536316526456,-0.9078571428571428,0.6254295532646048,0.13744075829383887,196,350
2026,752,11,9,947,71380,52532,0.18603564042269882,139.7127659574468,0.1422872340425532,0.5388797725718898,8,,,,-1.0,0.6422872340425532,0.0,0,483
