year,measure,value,unit,file,page,n_values,conflict,context
2004,budget_total,188.145,musd,"2005 Annual Budget, Volume 1.pdf",64,1,,"or the City of Boulder is $196,167,000. Overall, the 2005 budget is 4.3% greater than the 2004 budget of $188,145,000 (this amount includes the $5,414,000 in additional funding from the sale"
2005,budget_capital,29.108,musd,"2005 Annual Budget, Volume 1.pdf",63,1,,"CITY OF BOULDER 2005 BUDGET (in $1,000s) TOTAL BUDGET $196,167 CAPITAL BUDGET $29,108 OPERATING BUDGET (including debt service) $167,059 DEDICATED FUNDS $97,989 GENERAL FUND $69,070"
2005,budget_general_fund,69.07,musd,"2005 Annual Budget, Volume 1.pdf",63,1,,"CITY OF BOULDER 2005 BUDGET (in $1,000s) TOTAL BUDGET $196,167 CAPITAL BUDGET $29,108 OPERATING BUDGET (including debt service) $167,059 DEDICATED FUNDS $97,989 GENERAL FUND $69,070"
2005,budget_operating,167.059,musd,"2005 Annual Budget, Volume 1.pdf",63,1,,"CITY OF BOULDER 2005 BUDGET (in $1,000s) TOTAL BUDGET $196,167 CAPITAL BUDGET $29,108 OPERATING BUDGET (including debt service) $167,059 DEDICATED FUNDS $97,989 GENERAL FUND $69,070"
2005,budget_total,196.167,musd,"2005 Annual Budget, Volume 1.pdf",63,1,,"CITY OF BOULDER 2005 BUDGET (in $1,000s) TOTAL BUDGET $196,167 CAPITAL BUDGET $29,108 OPERATING BUDGET (including debt service) $167,059 DEDICATED FUNDS $97,989 GENERAL FUND $69,070"
2006,budget_capital,29.453,musd,"2006-2007 Annual Budget, Volume 1.pdf",58,1,,"CITY OF BOULDER 2006 BUDGET (in $1,000s) TOTAL BUDGET $200,100 CAPITAL BUDGET $29,453 OPERATING BUDGET (including debt service) $170,647 DEDICATED FUNDS $99,381 GENERAL FUND $71,266"
2006,budget_general_fund,71.266,musd,"2006-2007 Annual Budget, Volume 1.pdf",58,1,,"CITY OF BOULDER 2006 BUDGET (in $1,000s) TOTAL BUDGET $200,100 CAPITAL BUDGET $29,453 OPERATING BUDGET (including debt service) $170,647 DEDICATED FUNDS $99,381 GENERAL FUND $71,266"
2006,budget_operating,170.647,musd,"2006-2007 Annual Budget, Volume 1.pdf",58,1,,"CITY OF BOULDER 2006 BUDGET (in $1,000s) TOTAL BUDGET $200,100 CAPITAL BUDGET $29,453 OPERATING BUDGET (including debt service) $170,647 DEDICATED FUNDS $99,381 GENERAL FUND $71,266"
2006,budget_total,200.1,musd,"2006-2007 Annual Budget, Volume 1.pdf",58,1,,"CITY OF BOULDER 2006 BUDGET (in $1,000s) TOTAL BUDGET $200,100 CAPITAL BUDGET $29,453 OPERATING BUDGET (including debt service) $170,647 DEDICATED FUNDS $99,381 GENERAL FUND $71,266"
2012,budget_total,239.0,musd,"2012 Annual Budget, Volume 1.pdf",93,1,,"ity of Boulder CITYWIDE SUMMARIES 2012 Annual Budget Ir The 2012 Approved Budget totals $ 239 million and represents a 3. 4 percent increase over the 2011 Approved Budget for all funds, incl"
2013,budget_total,255.0,musd,"2013 Annual Budget, Volume 1.pdf",97,1,,"City of Boulder CITYWIDE SUMMARIES 2013 Annual Budget The 2013 Annual Budget totals $ 255 million and represents a 9.2 percent increase over the 2012 Approved Budget for all funds, including"
2014,budget_total,270.0,musd,"2014 Annual Budget, Volume 1.pdf",96,1,,"79 City of Boulder CITYWIDESUMMARIES 2014 Annual Budget The 2014 Annual Budget totals $270 million and represents a 5.8 percent increase over the 2013 Approved Budget for all funds, includin"
2015,budget_total,319.0,musd,"2015 Annual Budget, Volume 1.pdf",100,1,,"3 City of Boulder Citywide Summaries 2015 Annual Budget The 2015 Annual Budget totals $ 319 million and represents a 18.4 percent increase over the 2014 Approved Budget for all funds, includ"
2016,budget_total,327.0,musd,"2016 Annual Budget, Volume 1.pdf",18,2,327.0 | 328.0,"nciples, and Capital Improvement Program CIP) guiding principles. The total annual budget of $ 327 million ( excluding transfers) across all funds and areas represents a 2.5 percen"
2016,staffing_fte,1419.0,fte,"2016 Annual Budget, Volume 1.pdf",120,1,,"- time equivalents (FTEs). The 2016 Annual Budget includes a citywide staffing level of 1,419 FTE. As can be seen in the chart below, the city manages staffing levels in connec- ti"
2017,budget_operating,260.0,musd,"2017 Annual Budget, Volume 1.pdf",21,1,,is often a better way to evaluate year-to- year trends. The proposed operating budget of $ 260 million represents just over a 2 percent increase compared to 2016 and includes a ne
2017,budget_total,322.0,musd,"2017 Annual Budget, Volume 1.pdf",102,1,,"3 City of Boulder Citywide Summaries 2017 Annual Budget The 2017 Annual Budget totals $ 322 million and represents a 1.8 percent decrease over the 2016 Annual Budget for all funds, including"
