report,table,line,year,basis,unit,value,ocr,text,status,confirmed,pages
2016,fundbal,Sales and use taxes,2007,actual,thousands,88403,88403,88403,agree,both readings,250-251
2016,fundbal,Sales and use taxes,2008,actual,thousands,84867,84867,84867,agree,both readings,250-251
2016,fundbal,Sales and use taxes,2009,actual,thousands,85457,85457,85457,agree,both readings,250-251
2016,fundbal,Sales and use taxes,2010,actual,thousands,87802,87802,87802,agree,both readings,250-251
2016,fundbal,Sales and use taxes,2011,actual,thousands,92627,92627,92627,agree,both readings,250-251
2016,fundbal,Sales and use taxes,2012,actual,thousands,97397,97397,97397,agree,both readings,250-251
2016,fundbal,Sales and use taxes,2013,actual,thousands,104136,104136,104136,agree,both readings,250-251
2016,fundbal,Sales and use taxes,2014,actual,thousands,116316,116316,116316,agree,both readings,250-251
2016,fundbal,Sales and use taxes,2015,actual,thousands,131323,131323,131323,agree,both readings,250-251
2016,fundbal,Sales and use taxes,2016,actual,thousands,136269,136269,136269,agree,both readings,250-251
2016,fundbal,General property taxes,2007,actual,thousands,20475,20475,20475,agree,both readings,250-251
2016,fundbal,General property taxes,2008,actual,thousands,21865,21865,21865,agree,both readings,250-251
2016,fundbal,General property taxes,2009,actual,thousands,23526,23526,23526,agree,both readings,250-251
2016,fundbal,General property taxes,2010,actual,thousands,26022,26022,26022,agree,both readings,250-251
2016,fundbal,General property taxes,2011,actual,thousands,27462,27462,27462,agree,both readings,250-251
2016,fundbal,General property taxes,2012,actual,thousands,29474,29474,29474,agree,both readings,250-251
2016,fundbal,General property taxes,2013,actual,thousands,29434,29434,29434,agree,both readings,250-251
2016,fundbal,General property taxes,2014,actual,thousands,30353,30353,30353,agree,both readings,250-251
2016,fundbal,General property taxes,2015,actual,thousands,30846,30846,30846,agree,both readings,250-251
2016,fundbal,General property taxes,2016,actual,thousands,36897,36897,36897,agree,both readings,250-251
2016,taxsales,Food Stores,2007,actual,thousands,315876,315876,315876,agree,both readings,252-253
2016,taxsales,Food Stores,2008,actual,thousands,329727,329727,329727,agree,both readings,252-253
2016,taxsales,Food Stores,2009,actual,thousands,328338,328338,328338,agree,both readings,252-253
2016,taxsales,Food Stores,2010,actual,thousands,327796,327796,327796,agree,both readings,252-253
