file,page,table
2016.pdf,250,fundbal
2016.pdf,251,fundbal
2016.pdf,252,taxsales
2016.pdf,253,taxsales
2016.pdf,262,legal
2016.pdf,263,legal
2016.pdf,268,fte
2016.pdf,269,fte
2016.pdf,48,gf
2016.pdf,49,gf
2017.pdf,256,fundbal
2017.pdf,257,fundbal
2017.pdf,258,taxsales
2017.pdf,259,taxsales
2017.pdf,268,legal
2017.pdf,269,legal
2017.pdf,274,fte
2017.pdf,275,fte
2017.pdf,48,gf
2017.pdf,49,gf
2018.pdf,274,fundbal
2018.pdf,275,fundbal
2018.pdf,276,taxsales
2018.pdf,277,taxsales
2018.pdf,286,legal
2018.pdf,287,legal
2018.pdf,292,fte
2018.pdf,293,fte
2018.pdf,48,gf
2018.pdf,49,gf
2019.pdf,276,fundbal
2019.pdf,277,fundbal
2019.pdf,278,taxsales
2019.pdf,279,taxsales
2019.pdf,288,legal
2019.pdf,289,legal
2019.pdf,294,fte
2019.pdf,295,fte
2019.pdf,48,gf
2019.pdf,49,gf
2020.pdf,277,fundbal
2020.pdf,278,fundbal
2020.pdf,279,taxsales
2020.pdf,280,taxsales
2020.pdf,289,legal
2020.pdf,290,legal
2020.pdf,295,fte
2020.pdf,296,fte
2020.pdf,49,gf
2020.pdf,50,gf
2021.pdf,281,fundbal
2021.pdf,282,fundbal
2021.pdf,283,taxsales
2021.pdf,284,taxsales
2021.pdf,293,legal
2021.pdf,294,legal
2021.pdf,299,fte
2021.pdf,300,fte
2021.pdf,49,gf
2021.pdf,50,gf
2022.pdf,279,fundbal
2022.pdf,280,fundbal
2022.pdf,281,taxsales
2022.pdf,282,taxsales
2022.pdf,291,legal
2022.pdf,292,legal
2022.pdf,297,fte
2022.pdf,298,fte
2022.pdf,49,gf
2022.pdf,50,gf
2023.pdf,279,fundbal
2023.pdf,280,fundbal
2023.pdf,281,taxsales
2023.pdf,282,taxsales
2023.pdf,291,legal
2023.pdf,292,legal
2023.pdf,297,fte
2023.pdf,298,fte
2023.pdf,47,gf
2023.pdf,48,gf
2024.pdf,283,fundbal
2024.pdf,284,fundbal
2024.pdf,285,taxsales
2024.pdf,286,taxsales
2024.pdf,295,legal
2024.pdf,296,legal
2024.pdf,301,fte
2024.pdf,302,fte
2024.pdf,49,gf
2024.pdf,50,gf
2025.pdf,263,fundbal
2025.pdf,264,fundbal
2025.pdf,265,taxsales
2025.pdf,272,legal
2025.pdf,277,fte
2025.pdf,278,fte
2025.pdf,43,gf
2025.pdf,44,gf
