year,measure,basis,value,unit,file,page,n_values,conflict,context
2003,budget_general_fund_revenue,actual,87.252,musd,"2005 Annual Budget, Volume 1.pdf",71,1,,"TOTAL General Fund $ 87,252 $ 77,962 $ 80,091 Community Housing Assistance (CHAP) Property Tax $ 1,170 $ 1,2"
2003,staffing_fte,adopted,1290.69,fte,"2005 Annual Budget, Volume 1.pdf",89,1,,"TOTALS 1,290.69 1,200.68 1,212.11 11.43 NOTES: (1) The FTE counts include standard Management, B"
2004,budget_general_fund_revenue,actual,80.27,musd,"2006-2007 Annual Budget, Volume 1.pdf",64,1,,"TOTAL General Fund $ 80,270 $ 80,091 $ 82,637 $ 85,017 CITY OF BOULDER SUMMARY OF SOURCES OF FUNDS (in $1,00"
2004,budget_general_fund_revenue,adopted,77.962,musd,"2005 Annual Budget, Volume 1.pdf",71,1,,"TOTAL General Fund $ 87,252 $ 77,962 $ 80,091 Community Housing Assistance (CHAP) Property Tax $ 1,170 $ 1,2"
2004,budget_total,,188.145,musd,"2005 Annual Budget, Volume 1.pdf",64,1,,"or the City of Boulder is $196,167,000. Overall, the 2005 budget is 4.3% greater than the 2004 budget of $188,145,000 (this amount includes the $5,414,000 in additional funding from the sale"
2004,staffing_fte,adopted,1200.68,fte,"2005 Annual Budget, Volume 1.pdf",89,1,,"TOTALS 1,290.69 1,200.68 1,212.11 11.43 NOTES: (1) The FTE counts include standard Management, B"
2005,budget_capital,,29.108,musd,"2005 Annual Budget, Volume 1.pdf",63,1,,"markdown block row, budget_capital: 29,108 (in $1,000s)"
2005,budget_general_fund_revenue,adopted,80.091,musd,"2005 Annual Budget, Volume 1.pdf",71,1,,"TOTAL General Fund $ 87,252 $ 77,962 $ 80,091 Community Housing Assistance (CHAP) Property Tax $ 1,170 $ 1,2"
2005,budget_operating,,167.059,musd,"2005 Annual Budget, Volume 1.pdf",63,1,,"markdown block row, budget_operating: 167,059 (in $1,000s)"
2005,budget_operating_dedicated,,97.989,musd,"2005 Annual Budget, Volume 1.pdf",63,1,,"markdown block row, budget_operating_dedicated: 97,989 (in $1,000s)"
2005,budget_operating_general,,69.07,musd,"2005 Annual Budget, Volume 1.pdf",63,1,,"markdown block row, budget_operating_general: 69,070 (in $1,000s)"
2005,budget_total,,196.167,musd,"2005 Annual Budget, Volume 1.pdf",63,1,,"markdown block row, budget_total: 196,167 (in $1,000s)"
2005,dept_administrativesvcs,,8.225,musd,"2005 Annual Budget, Volume 1.pdf",64,1,,"pie slice as printed: 'Administrative Svcs' (4.2% of 196,167)"
2005,dept_arts,,0.44,musd,"2005 Annual Budget, Volume 1.pdf",64,1,,"pie slice as printed: 'Arts' (0.2% of 196,167)"
2005,dept_debt,,2.668,musd,"2005 Annual Budget, Volume 1.pdf",64,1,,"pie slice as printed: 'De bt' (1.4% of 196,167)"
2005,dept_fire,,10.996,musd,"2005 Annual Budget, Volume 1.pdf",64,1,,"pie slice as printed: 'Fir e' (5.6% of 196,167)"
2005,dept_generalgovernment,,17.284,musd,"2005 Annual Budget, Volume 1.pdf",64,1,,"pie slice as printed: 'General Governm ent' (8.8% of 196,167)"
2005,dept_housinghumansvcs,,12.753,musd,"2005 Annual Budget, Volume 1.pdf",64,1,,"pie slice as printed: 'Housing/Human Svcs' (6.5% of 196,167)"
2005,dept_library,,5.74,musd,"2005 Annual Budget, Volume 1.pdf",64,1,,"pie slice as printed: 'Library' (2.9% of 196,167)"
2005,dept_openspacerealestate,,20.658,musd,"2005 Annual Budget, Volume 1.pdf",64,1,,"pie slice as printed: 'Open Space/ Real E state' (10.5% of 196,167)"
2005,dept_parksrecreation,,21.06,musd,"2005 Annual Budget, Volume 1.pdf",64,1,,"pie slice as printed: 'Parks & Re cr e ation' (10.7% of 196,167)"
2005,dept_planningdevelopmentservices,,6.233,musd,"2005 Annual Budget, Volume 1.pdf",64,1,,"pie slice as printed: 'Planning & De ve lopm e nt Services' (3.2% of 196,167)"
2005,dept_police,,22.68,musd,"2005 Annual Budget, Volume 1.pdf",64,1,,"pie slice as printed: 'Police' (11.6% of 196,167)"
2005,dept_publicworks,,67.43,musd,"2005 Annual Budget, Volume 1.pdf",64,1,,"pie slice as printed: 'Public Works' (34.4% of 196,167)"
2005,staffing_fte,adopted,1212.11,fte,"2005 Annual Budget, Volume 1.pdf",89,1,,"TOTALS 1,290.69 1,200.68 1,212.11 11.43 NOTES: (1) The FTE counts include standard Management, B"
2006,budget_capital,,29.453,musd,"2006-2007 Annual Budget, Volume 1.pdf",58,1,,"markdown block row, budget_capital: 29,453 (in $1,000s)"
2006,budget_general_fund,actual,89.123,musd,"2008 Annual Budget, Volume 1.pdf",87,1,,"Total General Fund Uses89, 12389, 65094, 23895, 883 CommunityHousingAssistance Operating270364359370 2, 4801, 324"
2006,budget_general_fund_revenue,adopted,82.637,musd,"2006-2007 Annual Budget, Volume 1.pdf",64,1,,"TOTAL General Fund $ 80,270 $ 80,091 $ 82,637 $ 85,017 CITY OF BOULDER SUMMARY OF SOURCES OF FUNDS (in $1,00"
2006,budget_operating,,170.647,musd,"2006-2007 Annual Budget, Volume 1.pdf",58,1,,"markdown block row, budget_operating: 170,647 (in $1,000s)"
2006,budget_operating_dedicated,,99.381,musd,"2006-2007 Annual Budget, Volume 1.pdf",58,1,,"markdown block row, budget_operating_dedicated: 99,381 (in $1,000s)"
2006,budget_operating_general,,71.266,musd,"2006-2007 Annual Budget, Volume 1.pdf",58,1,,"markdown block row, budget_operating_general: 71,266 (in $1,000s)"
2006,budget_total,,200.1,musd,"2006-2007 Annual Budget, Volume 1.pdf",58,2,200.034 | 200.1,"markdown block row, budget_total: 200,100 (in $1,000s)"
2006,dept_administrativesvcs,,9.849,musd,"2006-2007 Annual Budget, Volume 1.pdf",59,1,,"pie slice as printed: 'Administrative Svcs' (4.9% of 200,100)"
2006,dept_arts,,0.451,musd,"2006-2007 Annual Budget, Volume 1.pdf",59,1,,"pie slice as printed: 'Arts' (0.2% of 200,100)"
2006,dept_debt,,2.317,musd,"2006-2007 Annual Budget, Volume 1.pdf",59,1,,"pie slice as printed: 'De bt' (1.2% of 200,100)"
2006,dept_fire,,11.258,musd,"2006-2007 Annual Budget, Volume 1.pdf",59,1,,"pie slice as printed: 'Fire' (5.6% of 200,100)"
2006,dept_generalgovernment,,17.208,musd,"2006-2007 Annual Budget, Volume 1.pdf",59,1,,"pie slice as printed: 'General Governm e nt' (8.6% of 200,100)"
2006,dept_housinghumansvcs,,13.339,musd,"2006-2007 Annual Budget, Volume 1.pdf",59,1,,"pie slice as printed: 'Housing/Human Svcs' (6.7% of 200,100)"
2006,dept_library,,5.977,musd,"2006-2007 Annual Budget, Volume 1.pdf",59,1,,"pie slice as printed: 'Library' (3.0% of 200,100)"
2006,dept_openspacemountainparks,,22.188,musd,"2006-2007 Annual Budget, Volume 1.pdf",59,1,,"pie slice as printed: 'Open Space/ Mountain Parks' (11.1% of 200,100)"
2006,dept_parksrecreation,,20.899,musd,"2006-2007 Annual Budget, Volume 1.pdf",59,1,,"pie slice as printed: 'Parks & Re cr e ation' (10.4% of 200,100)"
2006,dept_planningdevelopmentservices,,6.465,musd,"2006-2007 Annual Budget, Volume 1.pdf",59,1,,"pie slice as printed: 'Planning & Development Services' (3.2% of 200,100)"
2006,dept_police,,23.415,musd,"2006-2007 Annual Budget, Volume 1.pdf",59,1,,"pie slice as printed: 'Police' (11.7% of 200,100)"
